Organism,Tudortblastn,PWWPtblastn,MutS,Tudor_domain,Tudor_dist,PWWP_domain,PWWP_dist,Tudor_call,PWWP_call,tipcolor,Genus
Clarias gariepinus,3442106,1118,1,0,Inf,2,8198,Absent,Present,PWWP,Clarias
Clarias magur,Inf,10977,1,0,Inf,1,18464,Absent,Present,PWWP,Clarias
Clathrus columnatus,371304,198967,1,0,Inf,0,Inf,Absent,Absent,None,Clathrus
Claussenomyces sp. TS43310,Inf,214994,1,0,Inf,0,Inf,Absent,Absent,None,Claussenomyces
Claviceps aff. humidiphila group G2b,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps aff. purpurea,Inf,6185,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps africana,19068,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps arundinis,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps capensis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps cyperi,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps digitariae,Inf,70274,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps lovelessii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps maximensis,54977,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps monticola,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps pazoutovae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps purpurea,10917,6189,23,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps purpurea 20.1,817297,6200,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps pusilla,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps sorghi,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps sp. Clav32 group G5,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps sp. Clav50 group G5,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps sp. LM218 group G6,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps sp. LM454 group G7,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps sp. LM458 group G5,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps sp. LM77 group G4,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps sp. LM78 group G4,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Claviceps sp. LM84 group G4,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Claviceps
Clavispora lusitaniae,5731,25052,7,0,368370,0,735468,Absent,Absent,None,Clavispora
Clavulina sp. PMI_390,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Clavulina
Cloeon dipterum,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Cloeon
Clohesyomyces aquaticus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Clohesyomyces
Clonorchis sinensis,26571262,6849432,3,0,99845478,0,6855465,Absent,Absent,None,Clonorchis
Clonostachys chloroleuca,503585,275053,1,0,Inf,0,Inf,Absent,Absent,None,Clonostachys
Clonostachys rosea,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Clonostachys
Clonostachys rosea f. rosea IK726,1250234,741627,1,0,Inf,0,Inf,Absent,Absent,None,Clonostachys
Clonostachys solani,Inf,538761,1,0,Inf,0,1225179,Absent,Absent,None,Clonostachys
Closterium sp. NIES-64,2082,Inf,1,2,999,0,Inf,Present,Absent,Tudor,Closterium
Closterium sp. NIES-65,2090,Inf,1,2,10708,0,Inf,Present,Absent,Tudor,Closterium
Closterium sp. NIES-67,1692,Inf,1,2,11033,0,Inf,Present,Absent,Tudor,Closterium
Closterium sp. NIES-68,1691,52879,1,2,11016,0,Inf,Present,Absent,Tudor,Closterium
Closterium sp. Naga37s-1,1831,Inf,2,4,1014,0,Inf,Present,Absent,Tudor,Closterium
Closterium sp. Yama58-4,1942,Inf,1,2,13811,0,Inf,Present,Absent,Tudor,Closterium
Clunio marinus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Clunio
Clupea harengus,26520991,1759,2,0,Inf,4,1586,Absent,Present,PWWP,Clupea
Clydaea vesicula,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Clydaea
Cnemophilus loriae,Inf,4234,1,0,Inf,2,21,Absent,Present,PWWP,Cnemophilus
Coccidioides immitis,91965,114812,1,0,667730,0,1404103,Absent,Absent,None,Coccidioides
Coccidioides immitis H538.4,94541,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coccidioides
Coccidioides immitis RMSCC 3703,90089,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coccidioides
Coccidioides immitis RS,94151,89090,2,0,776359,0,1904933,Absent,Absent,None,Coccidioides
Coccidioides posadasii C735 delta SOWgp,28225,412534,2,0,552049,0,Inf,Absent,Absent,None,Coccidioides
Coccidioides posadasii RMSCC 3488,28283,599793,1,0,949263,0,1958959,Absent,Absent,None,Coccidioides
Coccidioides posadasii str. Silveira,28230,364828,2,0,464964,0,464653,Absent,Absent,None,Coccidioides
Coccinella septempunctata,Inf,1255371,1,0,Inf,0,34665818,Absent,Absent,None,Coccinella
Coccomyxa sp. Obi,1077,65595,1,2,443,0,Inf,Present,Absent,Tudor,Coccomyxa
Coccomyxa subellipsoidea C-169,978,30673,2,4,48,0,Inf,Present,Absent,Tudor,Coccomyxa
Cochlearius cochlearius,Inf,4752,1,0,Inf,2,12902,Absent,Present,PWWP,Cochlearius
Cocos nucifera,482970,1148765,1,0,Inf,0,Inf,Absent,Absent,None,Cocos
Coelomomyces lativittatus,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Coelomomyces
Coemansia aciculifera,Inf,196473,6,0,Inf,0,198389,Absent,Absent,None,Coemansia
Coemansia asiatica,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia biformis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia brasiliensis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia furcata,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia helicoidea,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia interrupta,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia javaensis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia linderi,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia mojavensis,37645,427168,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia nantahalensis,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia pectinata,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. 'formosensis',Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. BCRC 34301,Inf,76197,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. BCRC 34490,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. BCRC 34962,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. Benny D115,Inf,20393,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. Benny D160-2,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. Cherry 401B,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. D1744,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. IMI 203386,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. IMI 209127,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1085,37651,62820,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1086,37648,62807,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1199,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1200,Inf,34413,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1250,37667,62878,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1285,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1287,Inf,61280,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1290,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1358,Inf,48285,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1365,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1591,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1646,Inf,96025,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1694,Inf,35154,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1721,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1722,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1752,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1804,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1813,Inf,96022,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1821,37652,62813,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1824,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1836,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1843,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1853,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1878,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1933,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1935,Inf,19433,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1937,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1938,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1939,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 1972,Inf,44124,1,0,Inf,0,41077,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2049,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2050,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2052,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2167,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2320,Inf,102024,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2322,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2336,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2337,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2399,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2424,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2440,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 25,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2523,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2524,Inf,61542,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2530,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2531,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2559,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2598,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2599,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2603,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2607,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2610,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2611,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2618,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2671,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2673,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2675,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2681,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2702,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2703,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2704,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2705,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2706,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2708,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 2711,38177,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 353,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 355,Inf,19329,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 370,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 371,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 376,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 451,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 454,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 455,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 475,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 485,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 486,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 487,Inf,96022,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 518,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 521,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 522,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 530,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 532,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 551,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 560,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 562,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 637,Inf,19433,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 638,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 678,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 720,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 788,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 921,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 922,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 986,Inf,96056,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 988,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 989,Inf,62809,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. RSA 990,37649,62854,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. S100,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. S142-1,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. S146,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. S155-1,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. S16,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. S17,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. S2,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. S3946,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. S610,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. S680,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia sp. S85,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia spiralis,Inf,48258,4,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia thaxteri,Inf,102024,2,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coemansia umbellata,Inf,48285,1,0,Inf,0,Inf,Absent,Absent,None,Coemansia
Coffea arabica,2017,2714545,2,4,9765,0,43918248,Present,Absent,Tudor,Coffea
Coffea canephora,2009,1188712,1,2,9753,0,1187891,Present,Absent,Tudor,Coffea
Coffea eugenioides,2017,2561214,1,2,9767,0,Inf,Present,Absent,Tudor,Coffea
Cokeromyces recurvatus,31529,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Cokeromyces
Coleophoma crateriformis,92318,235295,1,0,Inf,0,1020725,Absent,Absent,None,Coleophoma
Coleophoma cylindrospora,52764,499841,1,0,Inf,0,1352081,Absent,Absent,None,Coleophoma
Colias croceus,6790860,2981028,2,0,Inf,0,Inf,Absent,Absent,None,Colias
Colinus virginianus,Inf,2632,1,0,Inf,2,24,Absent,Present,PWWP,Colinus
Colius striatus,Inf,5089,2,0,Inf,4,0,Absent,Present,PWWP,Colius
Collariella sp. IMI 366227,17109,23972,1,0,Inf,0,18685,Absent,Absent,None,Collariella
Colletes gigas,94387,1878965,1,0,Inf,0,2739096,Absent,Absent,None,Colletes
Colletotrichum abscissum,Inf,52022,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum aenigma,343372,52581,2,0,1103342,0,3870843,Absent,Absent,None,Colletotrichum
Colletotrichum asianum,Inf,52374,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum camelliae,Inf,52439,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum chlorophyti,Inf,53346,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum chrysophilum,Inf,52460,4,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum filicis,Inf,60443,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum fioriniae,4211958,45061,3,0,4214753,0,749862,Absent,Absent,None,Colletotrichum
Colletotrichum fioriniae PJ7,23776,52108,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum fructicola,363164,52460,7,0,596115,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum fructicola Nara gc5,370413,52492,1,0,599973,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum gloeosporioides,102170,52458,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum gloeosporioides 23,351486,52508,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum graminicola,457377,50000,1,0,522836,0,1140399,Absent,Absent,None,Colletotrichum
Colletotrichum graminicola M1.001,460008,50002,2,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum higginsianum,426691,44913,4,0,482841,0,464902,Absent,Absent,None,Colletotrichum
Colletotrichum higginsianum IMI 349063,426734,53031,1,0,772873,0,466759,Absent,Absent,None,Colletotrichum
Colletotrichum incanum,227412,40205,2,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum karsti,Inf,51841,2,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum limetticola,Inf,52007,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum liriopes,994550,51476,1,0,993502,0,248512,Absent,Absent,None,Colletotrichum
Colletotrichum lupini,650007,53031,2,0,Inf,0,2354324,Absent,Absent,None,Colletotrichum
Colletotrichum musicola,Inf,50775,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum noveboracense,Inf,52512,3,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum nupharicola,Inf,52422,2,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum nymphaeae SA-01,Inf,52078,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum orbiculare MAFF 240422,200727,773133,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum orchidophilum,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum plurivorum,172408,50748,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum salicis,Inf,14994,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum scovillei,214946,52100,5,0,213914,0,700626,Absent,Absent,None,Colletotrichum
Colletotrichum shisoi,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum siamense,203337,52445,6,0,589829,0,660083,Absent,Absent,None,Colletotrichum
Colletotrichum sidae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum simmondsii,Inf,52071,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sojae,Inf,24917,1,0,Inf,0,27677,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR 10_65,Inf,52480,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR 10_66,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR 10_70,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR 10_71,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR 10_75,Inf,52527,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR 10_76,Inf,52445,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR 10_77,Inf,52463,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR 10_86,Inf,52445,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR 10_96,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR 10_98,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR 10_99,Inf,36334,1,0,Inf,0,33578,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR11_239,135690,10063,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR11_240,Inf,52463,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR11_57,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sp. SAR11_59,Inf,52375,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum spaethianum,174089,52857,2,0,171300,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum sublineola,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum tanaceti,Inf,50692,2,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum tofieldiae,280708,51108,4,0,Inf,0,246988,Absent,Absent,None,Colletotrichum
Colletotrichum trifolii,127118,53938,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum tropicale,Inf,52521,2,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum truncatum,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Colletotrichum viniferum,Inf,52451,1,0,Inf,0,Inf,Absent,Absent,None,Colletotrichum
Collybiopsis confluens,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Collybiopsis
Collybiopsis luxurians FD-317 M1,475180,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Collybiopsis
Colobus angolensis palliatus,Inf,8081,2,0,Inf,0,16635,Absent,Absent,None,Colobus
Colocasia esculenta,4836,Inf,1,2,291,0,Inf,Present,Absent,Tudor,Colocasia
Colossoma macropomum,Inf,2318,1,0,Inf,2,11953,Absent,Present,PWWP,Colossoma
Columba livia,Inf,4620,3,0,Inf,5,0,Absent,Present,PWWP,Columba
Columbina picui,Inf,5505,1,0,Inf,2,21,Absent,Present,PWWP,Columbina
Condylostylus longicornis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Condylostylus
Condylura cristata,Inf,6137,3,0,Inf,6,0,Absent,Present,PWWP,Condylura
Conger conger,Inf,1936,1,0,Inf,2,1486,Absent,Present,PWWP,Conger
