GC protein
GCA_002994745.2 PRQ21660.1
GCA_005286985.1 TKW33070.1
GCA_000149405.2 EED94258.1
GCA_016881025.1 KAG3267347.1
GCA_016881025.1 KAG3267348.1
GCA_000002875.2 CAM72898.1
GCA_029852925.1 KAJ8709240.1
GCA_018446385.1 KAG6494425.1
GCA_001625215.1 KZM95072.1
GCA_902201215.1 VVA25334.1
GCA_000004555.3 CAP33361.2
GCA_000165345.1 EAZ51223.1
GCA_021901695.1 KAH9471192.1
GCA_902850365.2 CAH0402470.1
GCA_902850365.2 CAH2985945.1
GCA_902829305.4 CAH0677937.1
GCA_022985175.1 KAI2658119.1
GCA_018687715.1 KAG6647992.1
GCA_003573695.1 RZC88137.1
GCA_029721355.1 KAJ8321867.1
GCA_029721355.1 KAJ8321863.1
GCA_029721355.1 KAJ8321860.1
GCA_029721355.1 KAJ8321864.1
GCA_029721355.1 KAJ8321862.1
GCA_001876935.1 ONK60807.1
GCA_001876935.1 ONK67179.1
GCA_016808095.1 KAG2406531.1
GCA_004193775.2 RZB49092.1
GCA_025999795.1 BDD58603.1
GCA_025999795.1 BDD58604.1
GCA_016771965.1 KAG2297578.1
GCA_016771965.1 KAG2331234.1
GCA_000803125.3 KAB1266792.1
GCA_026262505.1 KAI5489272.1
GCA_905115235.1 CAD7081514.1
GCA_020310875.1 KAH7428807.1
GCA_020310875.1 KAH7428809.1
GCA_020310875.1 KAH7428806.1
GCA_020310875.1 KAH7428808.1
GCA_020310875.1 KAH7428805.1
GCA_019176455.1 KAG7512093.1
GCA_019176455.1 KAG7512092.1
GCA_013339765.2 KAH9374422.1
GCA_004355905.1 TLD06296.1
GCA_026652325.1 KAJ1156999.1
GCA_917627325.4 CAG9807033.1
GCA_003952965.2 KAB1223457.1
GCA_001865875.1 OIW13414.1
GCA_001865875.1 OIV95524.1
GCA_000165395.2 EDO05524.1
GCA_030254885.1 KAJ9696648.1
GCA_030254885.1 KAJ9696646.1
GCA_030254885.1 KAJ9696647.1
GCA_907165135.1 CAG5094775.1
GCA_010015445.1 KAF1375858.1
GCA_927797965.1 CAH1248136.1
GCA_007210705.1 TRY78012.1
GCA_000165365.1 EAN33429.2
GCA_023525715.1 KAI3679539.1
GCA_009771035.1 KAE9598219.1
GCA_009771035.1 KAE9594016.1
GCA_000180635.4 KAF8366795.1
GCA_020875875.1 KAH7655889.1
GCA_020875875.1 KAH7655890.1
GCA_020875875.1 KAH7655891.1
GCA_000757645.3 TMS36353.1
GCA_019776745.2 KAH9320155.1
GCA_022539455.1 KAI0523266.1
GCA_001879085.1 OIT20505.1
GCA_000209165.1 EAZ63116.2
GCA_000006355.3 CAA9988785.1
GCA_000002845.2 CAM43968.2
GCA_949782905.1 CAI9174254.1
GCA_010183535.1 KAF1770295.1
GCA_004837865.1 THU67592.1
GCA_003604175.2 KAG5451779.1
GCA_009739505.2 KAF6205210.1
GCA_001298625.1 KOH00948.1
GCA_001531365.2 KVI12447.1
GCA_001672515.1 OBR10678.1
GCA_000303195.2 EKJ69247.1
GCA_023525745.1 KAI3773197.1
GCA_911865555.2 CAH2072047.1
GCA_019321725.1 KAI3449400.1
GCA_018290095.1 KAG5670949.1
GCA_900059795.1 CDP17077.1
GCA_912172775.2 CAI9774281.1
GCA_025413875.1 KAI8574828.1
GCA_025413875.1 KAI8547020.1
GCA_025413875.1 KAI8547026.1
GCA_025413875.1 KAI8547003.1
GCA_025413875.1 KAI8547001.1
GCA_928085145.1 CAH1400935.1
GCA_019202805.1 KAG7619330.1
GCA_019202805.1 KAG7557916.1
GCA_016835505.1 KAG2467036.1
GCA_014281875.1 KAG8000032.1
GCA_013401445.1 KAF5741530.1
GCA_001040885.1 CEF66240.1
GCA_019925795.1 KAH0467039.1
GCA_020536995.1 KAH3713464.1
GCA_020536995.1 KAH3713469.1
GCA_020536995.1 KAH3713470.1
GCA_002211085.2 PAN12331.1
GCA_000310025.1 CBJ25567.1
GCA_001653235.2 OAQ63610.1
GCA_028583565.1 KAI4547004.1
GCA_000234665.4 CBZ26043.1
GCA_905067625.1 CAD6504571.1
GCA_029531755.1 KAJ8020293.1
GCA_000699445.3 KAH9583178.1
GCA_027726005.1 KAJ3677409.1
GCA_024703715.1 KAI6246574.1
GCA_918026875.4 CAH0760592.1
GCA_003711565.2 TWW78734.1
GCA_023974075.1 KAI4812540.1
GCA_026586065.1 KAJ0987201.1
GCA_029030765.1 KAJ6343741.1
GCA_001601855.1 KYO01486.1
GCA_015680905.1 KAF9607275.1
GCA_019097595.1 KAG7334314.1
GCA_020497125.1 KAH1173049.1
GCA_019609905.1 KAG8666535.1
GCA_020623625.1 KAH3901887.1
GCA_014871385.1 KAG0554941.1
GCA_014871385.1 KAG0554943.1
GCA_014871385.1 KAG0554940.1
GCA_014871385.1 KAG0554942.1
GCA_014871385.1 KAG0554939.1
GCA_014871385.1 KAG0554937.1
GCA_014871385.1 KAG0554938.1
GCA_030169165.1 KAJ9547738.1
GCA_017589495.2 KAG5266675.1
GCA_019447015.1 KAG8443652.1
GCA_029228465.1 KAJ6674999.1
GCA_000342415.1 AFZ80397.1
GCA_023525975.1 KAI3800903.1
GCA_023525975.1 KAI3741753.1
GCA_014805685.1 KAF7710987.1
GCA_021442195.1 KAH8952520.1
GCA_021442195.1 KAH8952522.1
GCA_021442195.1 KAH8952523.1
GCA_021442195.1 KAH8952521.1
GCA_012432095.1 KAF4106131.1
GCA_009078335.1 KAB5527376.1
GCA_029891385.1 KAJ8900415.1
GCA_029891385.1 KAJ8899067.1
GCA_029891385.1 KAJ8899053.1
GCA_029891385.1 KAJ8900413.1
GCA_029891385.1 KAJ8900406.1
GCA_019845555.1 KAG9457908.1
GCA_029379385.1 KAJ7973051.1
GCA_019202795.1 KAG7553277.1
GCA_019202795.1 KAG7614834.1
GCA_001625195.1 KYK54398.1
GCA_002563875.1 PFH32037.1
GCA_014851425.1 KAF7818144.1
GCA_014851425.1 KAF7804917.1
GCA_944472135.2 CAH8855771.1
GCA_013167095.2 KAI9561065.1
GCA_028052125.1 KAJ4727793.1
GCA_028052125.1 KAJ4727792.1
GCA_028052125.1 KAJ4727794.1
GCA_025200985.1 KAI8037797.1
GCA_015143295.1 KAF8387740.1
GCA_008369825.1 KAA0718310.1
GCA_918026865.1 CAG9855365.1
GCA_011114355.1 KAF3324197.1
GCA_014282245.1 KAF7154553.1
GCA_014282245.1 KAF7137757.1
GCA_026979955.1 KAJ1520643.1
GCA_004329165.1 TKY61722.1
GCA_005393395.2 KAA3458880.1
GCA_020921065.1 KAH7862176.1
GCA_023973825.1 KAI4839764.1
GCA_023653495.1 KAI4341662.1
GCA_023653495.1 KAI4341663.1
GCA_029783415.1 KAJ8565841.1
GCA_029783415.1 KAJ8573706.1
GCA_017918235.1 KAG5490069.1
GCA_017916335.1 KAG5464759.1
GCA_017916325.1 KAG5464021.1
GCA_900074765.1 SCW04281.1
GCA_944472155.2 CAH8855811.1
GCA_944472155.2 CAH8855814.1
GCA_017916305.1 KAG5465494.1
GCA_013339685.2 KAH6935578.1
GCA_013339685.2 KAH6935575.1
GCA_023690525.1 KAI4468294.1
GCA_007726485.1 TVU09494.1
GCA_019512145.1 KAG8584178.1
GCA_019512145.1 KAG8584179.1
GCA_009733165.1 KAG8123092.1
GCA_944470395.2 CAH8514668.1
GCA_944470395.2 CAH8297804.1
GCA_944470395.2 CAH8291140.1
GCA_015883425.2 KAI1240493.1
GCA_002271885.2 PHT60316.1
GCA_004359215.2 TDH64825.1
GCA_000277815.3 AFM99164.1
GCA_000321355.1 GAB67011.1
GCA_023701675.1 KAI4587200.1
GCA_023701675.1 KAI4583133.1
GCA_020496765.1 KAH1130324.1
GCA_018127125.1 KAG5567823.1
GCA_018127125.1 KAG5540260.1
GCA_018127125.1 KAG5543965.1
GCA_019925095.2 KAJ0172174.1
GCA_019176425.1 KAG7462668.1
GCA_015731905.1 KAF9669270.1
GCA_015731905.1 KAF9682540.1
GCA_015731905.1 KAF9682541.1
GCA_014529385.2 KAI5077327.1
GCA_007990325.1 TYG61482.1
GCA_007990325.1 TYH10073.1
GCA_007990325.1 TYH10074.1
GCA_029204025.1 KAJ6223278.1
GCA_012411365.1 KAF4090065.1
GCA_008009225.1 TXG63313.1
GCA_028009165.1 KAJ4163543.1
GCA_019915245.1 KAG9506266.1
GCA_018924745.1 KAG7098886.1
GCA_017499595.2 KAH9478697.1
GCA_019426215.1 KAG8389557.1
GCA_019426215.1 KAG8370216.1
GCA_008932095.1 KAB2597255.1
GCA_008932095.1 KAB2605072.1
GCA_008932095.1 KAB2616323.1
GCA_008932095.1 KAB2597256.1
GCA_025200525.1 KAI7991020.1
GCA_025200525.1 KAI8009608.1
GCA_025200525.1 KAI8027686.1
GCA_025200525.1 KAI8031803.1
GCA_028583405.1 KAJ4949472.1
GCA_029465975.1 KAJ7987524.1
GCA_020080835.1 KAH0568272.1
GCA_020080835.1 KAH0568096.1
GCA_020080835.1 KAH0568095.1
GCA_900005765.1 CRH00614.1
GCA_029718625.1 KAJ8359742.1
GCA_018127085.1 KAG5518960.1
GCA_024868665.2 KAI7805215.1
GCA_029204005.1 KAJ6400974.1
GCA_029228605.1 KAJ6723351.1
GCA_010411085.1 KAF4016288.1
GCA_008782695.1 KAB0361100.1
GCA_008782695.1 KAB0343815.1
GCA_000280035.2 AFN83874.1
GCA_014858505.1 KAF8006661.1
GCA_933207985.1 CAH2255007.1
GCA_006937295.1 KAE8009369.1
GCA_006937295.1 KAB8337133.1
GCA_025370935.1 KAI8437534.1
GCA_026184515.1 KAI9908695.1
GCA_026184515.1 KAI9918979.1
GCA_022758105.1 MCI4376690.1
GCA_001602025.1 KYO02250.1
GCA_949775105.1 CAI9105506.1
GCA_027725995.1 KAJ3705799.1
GCA_022829145.1 KAI1894508.1
GCA_028095005.1 KAJ4801094.1
GCA_028095005.1 KAJ4760259.1
GCA_028095005.1 KAJ4812736.1
GCA_028095005.1 KAJ4745974.1
GCA_028095005.1 KAJ4733294.1
GCA_028095005.1 KAJ4730458.1
GCA_028095005.1 KAJ4730796.1
GCA_944470415.2 CAH8597836.1
GCA_944470415.2 CAH8597867.1
GCA_944470415.2 CAH8597853.1
GCA_944470415.2 CAH8597898.1
GCA_944470415.2 CAH8597883.1
GCA_027562975.1 KAJ1701403.1
GCA_921882275.1 CAH0731816.1
GCA_921882275.1 CAH0731815.1
GCA_029851415.1 KAJ8674770.1
GCA_029851415.1 KAJ8674769.1
GCA_944470205.2 CAH8574956.1
GCA_902729315.2 CAA7388969.1
GCA_030435675.1 KAK0396739.1
GCA_030435675.1 KAK0396738.1
GCA_030435675.1 KAK0396740.1
GCA_030435675.1 KAK0396737.1
GCA_933534255.1 CAH2054352.1
GCA_944470555.2 CAH8589315.1
GCA_944470555.2 CAH8589323.1
GCA_944470555.2 CAH8589301.1
GCA_944470555.2 CAH8589336.1
GCA_025433545.1 KAI8657250.1
GCA_022379115.2 KAI4349732.1
GCA_944470375.2 CAH8572103.1
GCA_944470375.2 CAH8572119.1
GCA_946903255.1 CAI2730301.1
GCA_025433615.1 KAI8714094.1
GCA_008638375.1 KAA8543035.1
GCA_917834065.1 CAG9766738.1
GCA_007844105.2 KAF3436536.1
GCA_944470365.2 CAH8560427.1
GCA_944470365.2 CAH8560443.1
GCA_944470365.2 CAH8560467.1
GCA_020887355.1 BDA45429.1
GCA_944474815.3 CAH8574556.1
GCA_944474815.3 CAH8574583.1
GCA_944474815.3 CAH8574569.1
GCA_900090045.1 SBT86707.1
GCA_944470405.2 CAH8551288.1
GCA_944470405.2 CAH8551304.1
GCA_918026855.4 CAG9816577.1
GCA_026225825.1 KAJ0051666.1
GCA_004337975.1 TLD28325.1
GCA_918026665.1 CAG9832099.1
GCA_029692045.1 KAJ8250672.1
GCA_009650685.1 KAE8543045.1
GCA_004026145.2 TNM99836.1
GCA_014905635.1 KAF8072792.1
GCA_900097015.1 SOV11574.1
GCA_018691285.1 KAG6593236.1
GCA_900074745.1 SCV04295.1
GCA_019343175.1 KAG8184513.1
GCA_017918215.1 KAG5489337.1
GCA_017918225.1 KAG5488595.1
GCA_020631695.1 KAH6609072.1
GCA_028583415.1 KAJ4956317.1
GCA_900074735.1 SCU87385.1
GCA_029204225.1 KAJ7532274.1
GCA_029204225.1 KAJ7532272.1
GCA_029204225.1 KAJ7532277.1
GCA_029204225.1 KAJ7532273.1
GCA_029204225.1 KAJ7532275.1
GCA_029204225.1 KAJ7532276.1
GCA_029204225.1 KAJ7535428.1
GCA_029204225.1 KAJ7563611.1
GCA_026229545.1 KAJ0111764.1
GCA_027704905.1 KAJ3610880.1
GCA_900095595.1 SOS76988.1
GCA_900097035.1 SOV74299.1
GCA_004337985.1 TLS24783.1
GCA_014466175.1 KAF7408933.1
GCA_029228625.1 KAJ6635780.1
GCA_022985145.1 MCJ8730863.1
GCA_009746105.1 KAE9464139.1
GCA_009746105.1 KAE9459255.1
GCA_020142125.1 KAH0622844.1
GCA_019857665.1 KAG9484464.1
GCA_019857665.1 KAG9484465.1
GCA_019857665.1 KAG9484466.1
GCA_013677275.1 MBA0847488.1
GCA_013467495.1 MBA0732617.1
GCA_013467465.1 MBA0757824.1
GCA_013487665.1 MBA0674785.1
GCA_000002855.2 CAK44621.1
GCA_003032435.1 PTQ40051.1
GCA_000150675.2 EGY17510.1
GCA_000006425.1 EAL36933.1
GCA_002157705.1 GAW81500.1
GCA_000151355.1 EEU38173.1
GCA_000167675.2 EGR48449.1
GCA_003025095.1 PTB48257.1
GCA_003025105.1 PTB37671.1
GCA_000002515.1 CAH01843.1
GCA_000002545.2 CAG59643.1
GCA_000002525.1 CAG78722.1
GCA_000003745.2 CBI36942.3
GCA_004379255.2 KAG6415255.1
GCA_004379255.2 KAG6417772.1
GCA_000149035.1 EFQ31958.1
GCA_001890705.1 OJJ64067.1
GCA_004022145.1 RWQ98650.1
GCA_001661405.1 ODV72383.1
GCA_001641265.1 OAF60727.1
GCA_001890905.1 OJK03889.1
GCA_000293215.1 EJT46755.1
GCA_000149685.1 EDK42126.1
GCA_000150705.2 EEH41615.2
GCA_000150705.2 EEH33703.2
GCA_000223485.1 EGW32474.1
GCA_000223465.1 EGV61451.1
GCA_001890125.1 OJI98154.1
GCA_022830035.1 KAI1951002.1
GCA_001661265.1 ODQ51221.1
GCA_001890805.1 OJJ89270.1
GCA_001664035.1 OBA18022.1
GCA_028828155.1 KAJ5891668.1
GCA_001563125.1 KXH64464.1
GCA_001661245.1 ODV96572.1
GCA_000149645.4 EAW25294.1
GCA_000221225.1 EGS22253.1
GCA_000409485.1 EPE27414.1
GCA_000150035.1 EDO14726.1
GCA_003426965.1 KAA8649006.1
GCA_013036055.1 KAF7672214.1
GCA_000835505.1 KIW61974.1
GCA_001078395.2 GIC91085.1
GCA_002104945.1 ORX46028.1
GCA_002104975.1 ORY51174.1
GCA_025201335.1 KAI8073459.1
GCA_009176365.1 KAB8239679.1
GCA_002104895.1 ORX76754.1
GCA_024610275.1 KAI5948811.1
GCA_001563135.1 KXH52500.1
GCA_000517465.1 ETS59918.1
GCA_001720205.1 ODN76137.1
GCA_000835455.1 KIW80058.1
GCA_000003125.1 EED20412.1
GCA_025118155.1 KAI7900009.1
GCA_000002715.1 EAW10298.1
GCA_000181695.1 EDP42719.1
GCA_000835555.1 KIX00439.1
GCA_001661475.1 ODV91803.1
GCA_000365165.2 ETI29197.1
GCA_001661235.1 ODQ45504.1
GCA_003184835.1 RAK86781.1
GCA_010093935.1 KAF2161698.1
GCA_001720155.1 ODO02093.1
GCA_003184625.1 PYH36319.1
GCA_003184865.1 RAL15956.1
GCA_000004155.2 EPY51367.1
GCA_000263375.1 EIM20126.1
GCA_003184785.1 RAH82753.1
GCA_003184765.1 RAH74179.1
GCA_001661395.1 ODV67102.1
GCA_001204775.2 KNG83044.1
GCA_001664025.1 OBA28534.1
GCA_025094155.1 KAI7879177.1
GCA_001883825.1 OJD19919.1
GCA_002849105.1 PLB54588.1
GCA_002847465.1 PKX92964.1
GCA_025201355.1 KAI8098718.1
GCA_025766325.1 KAI9481212.1
GCA_022578975.1 KAI1393068.1
GCA_002105095.1 ORY57769.1
GCA_025331425.1 KAI8377990.1
GCA_025331425.1 KAI8377991.1
GCA_003144295.1 PWN88139.1
GCA_000338955.1 EMC94639.1
GCA_024610255.1 KAI5950965.1
GCA_000721765.1 KEQ70790.1
GCA_000512605.2 OCF53046.1
GCA_000512585.2 OCF27376.1
GCA_001299255.1 KPI45530.1
GCA_024521655.1 KAI5857414.1
GCA_021052385.1 KAH8082554.1
GCA_003184525.1 PWY93535.1
GCA_025330725.1 KAI8335064.1
GCA_002104995.1 ORX70774.1
GCA_025766245.1 KAI9471166.1
GCA_010093505.1 KAF2486648.1
GCA_003184535.1 PWY67014.1
GCA_024610245.1 KAI5966782.1
GCA_000721755.1 KEQ91804.1
GCA_025526975.1 KAI8824787.1
GCA_000585585.1 EXJ95802.1
GCA_025558095.1 KAI9025500.1
GCA_000938715.1 CEP63302.1
GCA_003184925.1 PYH73740.1
GCA_002105155.1 ORZ09752.1
GCA_000585515.1 EXJ65224.1
GCA_003184545.1 PWY86004.1
GCA_003144245.1 PWN29977.1
GCA_003144205.1 PWN33880.1
GCA_000835475.1 KIW98700.1
GCA_000512565.2 OBR88577.1
GCA_000365145.2 ETN38592.1
GCA_000709125.1 KEF53816.1
GCA_000507465.3 OCF69696.1
GCA_003357145.1 RDL29783.1
GCA_010094035.1 KAF2255087.1
GCA_003184755.1 RAH57096.1
GCA_022829205.1 KAI1858510.1
GCA_019669845.1 KAG9258396.1
GCA_010015735.1 KAF2009289.1
GCA_006535985.1 TPX35274.1
GCA_008629635.1 KAA5530759.1
GCA_000585535.1 EXJ75855.1
GCA_003144135.1 PWN23307.1
GCA_025602895.1 KAI9201827.1
GCA_000576695.1 CDK25412.1
GCA_025024155.1 KAI7818742.1
GCA_001619985.1 KZF26251.1
GCA_000400465.1 EOR01925.1
GCA_023376865.1 KAI3533840.1
GCA_025766255.1 KAI9490449.1
GCA_009193525.1 KAE8324929.1
GCA_003184825.1 RAK80592.1
GCA_010094085.1 KAF2275797.1
GCA_000497045.1 EST04905.2
GCA_003184845.1 RAL05952.1
GCA_010015565.1 KAF1827130.1
GCA_003184745.1 PYH78425.1
GCA_001883845.1 OJD33739.1
GCA_009193505.1 KAE8320290.1
GCA_003184695.1 RAH51385.1
GCA_009176405.1 KAB8215324.1
GCA_001792695.1 OGM47099.1
GCA_010093815.1 KAF2755000.1
GCA_025765615.1 KAI9359283.1
GCA_010093625.1 KAF2632620.1
GCA_003369625.1 RDW81383.1
GCA_003144195.1 PWN40848.1
GCA_001661335.1 ODQ78802.1
GCA_010093825.1 KAF2765679.1
GCA_022497145.1 KAI1086784.1
GCA_024628925.1 KAI5969348.1
GCA_024628925.1 KAI5967653.1
GCA_009193645.1 KAE8404277.1
GCA_001890105.1 OJJ44601.1
GCA_010093595.1 KAF2815507.1
GCA_001661415.1 ODV77979.1
GCA_010015585.1 KAF1817391.1
GCA_002572885.1 PGH10333.1
GCA_007821495.1 TVY28791.1
GCA_023343755.1 KAI3405668.2
GCA_002850765.1 PLN82957.1
GCA_022478815.1 KAI1800340.1
GCA_009193665.1 KAE8414120.1
GCA_029851405.1 KAJ8660221.1
GCA_010094145.1 KAF1934058.1
GCA_009193595.1 KAE8382952.1
GCA_000711695.1 KDN37684.1
GCA_010093885.1 KAF2140821.1
GCA_003711515.1 ROT36318.1
GCA_010093535.1 KAF2476637.1
GCA_009193585.1 KAE8363050.1
GCA_025688805.1 KAI9371952.1
GCA_002261195.1 OZJ02922.1
GCA_000292625.1 EJU02177.1
GCA_000968595.1 KKA22577.1
GCA_001447935.2 KRZ99654.1
GCA_001447935.2 KRZ99655.1
GCA_009193565.1 KAE8355631.1
GCA_027604725.1 KAJ3354466.1
GCA_025201845.1 KAI8325127.1
GCA_027478445.1 KAJ1648337.1
GCA_021432655.1 KAH8919876.1
GCA_005350895.1 TKW57867.1
GCA_000760515.2 KGG52134.1
GCA_025201705.1 KAI8604248.1
GCA_025201865.1 KAI8866042.1
GCA_003325435.1 RCH93286.1
GCA_003325435.1 RCH94972.1
GCA_027604665.1 KAJ3422918.1
GCA_000611645.1 KIY94643.1
GCA_000611645.1 KIY92197.1
GCA_027579525.1 KAJ2812018.1
GCA_027579525.1 KAJ2813639.1
GCA_001889945.1 OJJ71211.1
GCA_003184635.1 PYI04079.1
GCA_003184685.1 PYI34756.1
GCA_010015725.1 KAF2007267.1
GCA_001661425.1 ODV83458.1
GCA_010015655.1 KAF1973037.1
GCA_003184645.1 PYH93555.1
GCA_001574975.1 KXS11873.1
GCA_010093945.1 KAF2202503.1
GCA_001692735.1 OCK86084.1
GCA_000193285.1 KLU88677.1
GCA_028827825.1 KAJ5731303.1
GCA_028828255.1 KAJ5503357.1
GCA_028829455.1 KAJ5824172.1
GCA_016097325.1 KAH8428580.1
GCA_028829775.1 KAJ6125149.1
GCA_028827245.1 KAJ5280770.1
GCA_902498895.1 VVT50467.1
GCA_028827645.1 KAJ5580644.1
GCA_014898465.1 KAF7913714.1
GCA_903819665.1 CAD0093255.1
GCA_014898435.1 KAF7892714.1
GCA_903819635.1 CAD0083910.1
GCA_903853725.1 CAD0110394.1
GCA_014905795.1 KAF8000222.1
GCA_024043165.1 KAI4911837.1
GCA_024043155.1 KAI4951024.1
GCA_014898295.1 KAF7939408.1
GCA_027923505.1 GKY92700.1
GCA_000835435.1 KIW72163.1
GCA_000835435.1 KIW72164.1
GCA_002077065.1 OQO12877.1
GCA_002077065.1 OQO08549.1
GCA_030039215.1 KAJ9119383.1
GCA_001773325.1 OGE51701.1
GCA_020536065.1 KAH3665402.1
GCA_001646965.1 OAL38434.1
GCA_024291825.1 KAI5375660.1
GCA_001642475.1 OAG42651.1
GCA_001662655.1 OBT95271.1
GCA_021653875.1 KAH9386850.1
GCA_004154925.1 RYO93762.1
GCA_024364755.1 KAI5476724.1
GCA_003946995.1 RSM12094.1
GCA_015844325.1 KAF9888783.1
GCA_013396195.1 KAF5632399.1
GCA_030512305.1 KAK0669902.1
GCA_027602005.1 KAJ3147570.1
GCA_002573605.1 PGH14078.1
GCA_027576975.1 KAJ1993212.1
GCA_004918325.1 TIA90037.1
GCA_008704595.1 KAA8901253.1
GCA_004931855.1 TID23874.1
GCA_013421405.2 KAF5863649.1
GCA_004154915.1 RYO79938.1
GCA_013396025.1 KAF5544797.1
GCA_013781345.1 KAF5986366.1
GCA_027579435.1 KAJ2925237.1
GCA_001696595.2 KAF7597240.1
GCA_013396165.1 KAF5700181.1
GCA_027575805.1 KAJ1921262.1
GCA_013395995.1 KAF5607316.1
GCA_018360045.1 KAG5917327.1
GCA_018360065.1 KAG5937171.1
GCA_018360055.1 KAG5935364.1
GCA_003589665.1 RJE23377.1
GCA_027575765.1 KAJ1907253.1
GCA_027575765.1 KAJ1925094.1
GCA_002794465.1 PJF19800.1
GCA_012184295.1 KAF3938858.1
GCA_027579115.1 KAJ2782997.1
GCA_018873745.1 KAG6957313.1
GCA_001969505.1 OMH83414.1
GCA_005059865.1 TKA68916.1
GCA_005059865.1 TKA76760.1
GCA_024243835.1 KAI5148998.1
GCA_005059845.1 TKA74011.1
GCA_910592215.1 CAG8510519.1
GCA_910592215.1 CAG8436379.1
GCA_001050175.1 OTA05159.1
GCA_001660665.1 OAX82380.1
GCA_027596845.1 KAJ3091283.1
GCA_015679605.1 KAF9427910.1
GCA_006783085.1 TQN65470.1
GCA_027595825.1 KAJ1733544.1
GCA_027579315.1 KAJ2793752.1
GCA_027478575.1 KAJ1677940.1
GCA_003789085.1 ROT78075.1
GCA_003789085.1 ROT78081.1
GCA_000223135.1 EGW01204.1
GCA_000280675.1 EJP70430.1
GCA_000209065.1 EAN99652.1
GCA_002754855.1 PIK37037.1
GCA_016745375.1 KAG1958364.1
GCA_000189635.1 EAR96989.1
GCA_000189635.1 EAR93556.2
GCA_000189635.1 EAR90816.1
GCA_000189635.1 EAS01389.2
GCA_001642055.1 OAG26543.1
GCA_000142945.1 EEY65825.1
GCA_000142945.1 EEY62876.1
GCA_000208925.2 EAL46564.1
GCA_000171015.2 EHK40105.1
GCA_000146945.2 EDO01860.1
GCA_000002995.5 VIO96026.1
GCA_014466165.1 KAF7426360.1
GCA_000225605.1 EGX91935.1
GCA_020744495.1 KAH7240590.1
GCA_023343905.1 KAI3430702.1
GCA_000149755.2 EGZ28190.1
GCA_000149755.2 EGZ10543.1
GCA_002284615.2 KAF5838281.1
GCA_002284615.2 KAF5838282.1
GCA_021015755.1 KAH7878096.1
GCA_000149615.1 EAU34434.1
GCA_011800055.1 KAF3810462.1
GCA_028827035.1 KAJ5228459.1
GCA_904066235.2 CAG9085201.1
GCA_000504015.1 EYU46804.1
GCA_903112645.1 CAB4291929.1
GCA_002217175.1 OXA52904.1
GCA_025594305.2 KAJ4427665.1
GCA_000478725.1 ESQ37858.1
GCA_000478725.1 ESQ55376.1
GCA_030144725.1 KAJ9507138.1
GCA_000337935.1 EMC84167.1
GCA_000182765.2 CCE41626.1
GCA_000439145.3 POG59185.1
GCA_000151425.1 EGD90680.2
GCA_012934285.1 KAF4507651.1
GCA_000182895.1 EAU89431.2
GCA_000721785.1 KEQ84061.1
GCA_000524195.1 EUB63669.1
GCA_001417965.1 KXJ07099.1
GCA_000769745.1 KGO53644.1
GCA_000165425.1 CAK58417.1
GCA_000165425.1 CAK88143.1
GCA_000165425.1 CAK84370.1
GCA_000165425.1 CAK58721.1
GCA_000165425.1 CAK92048.1
GCA_000165425.1 CAK70083.1
GCA_000143185.2 KAI5888378.1
GCA_000225545.1 EGX54098.1
GCA_021218885.2 KAI6068786.1
GCA_009771025.1 KAE9580012.1
GCA_001661255.1 ODQ60833.1
GCA_907166875.3 CAH1377767.1
GCA_012971845.1 KAF4540707.1
GCA_001185155.1 KMZ67126.1
GCA_003704095.1 RMX47670.1
GCA_000334495.1 ELV12486.1
GCA_000230375.1 CBX94709.1
GCA_000493195.1 ESR57723.1
GCA_001974825.2 OMO82133.1
GCA_017312745.1 GLH02763.1
GCA_000006295.1 EEB13691.1
GCA_000170995.2 EHK19322.1
GCA_000313135.1 ELR15471.1
GCA_000313135.1 ELR16653.1
GCA_024305405.1 MCP9260407.1
GCA_011503125.2 KAF4311484.1
GCA_013340325.1 GFN13019.1
GCA_000143455.1 EFJ45822.1
GCA_000827475.1 KIJ14719.1
GCA_002708625.1 PHZ10792.1
GCA_014176215.1 KAF6448069.1
GCA_014176215.1 KAF6448070.1
GCA_014176215.1 KAF6448067.1
GCA_014176215.1 KAF6448068.1
GCA_014176215.1 KAF6448066.1
GCA_009761285.1 KAE9544457.1
GCA_009761285.1 KAE9544209.1
GCA_009761285.1 KAE9544376.1
GCA_008403515.1 KAF0973586.1
GCA_001653265.1 OAQ85245.1
GCA_000341285.1 EME30065.1
GCA_000341285.1 EME30066.1
GCA_002113885.2 OWF44615.1
GCA_900332095.2 VFQ91581.1
GCA_000186865.1 EGB10779.1
GCA_000325575.1 ELK14719.1
GCA_000281125.4 KYO41209.1
GCA_000230625.1 EHY52552.1
GCA_002117355.1 OSX60838.1
GCA_002117355.1 OSX60854.1
GCA_027580185.1 KAJ2954741.1
GCA_028827155.1 KAJ5222487.1
GCA_008692225.1 KAA8576114.1
GCA_002269645.1 PAA80328.1
GCA_002269645.1 PAA85398.1
GCA_002269645.1 PAA68290.1
GCA_900659725.1 VEN54106.1
GCA_000733215.1 KFM28138.1
GCA_000147415.1 EFN52031.1
GCA_000149335.2 EAS30079.2
GCA_000359705.1 EOA81739.1
GCA_000149305.1 EIE86449.1
GCA_000143565.1 EDR08253.1
GCA_000698965.1 KFV75249.1
GCA_000721775.1 KEQ63626.1
