qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,GC,name
XP_017630899.1,AED91842.1,67.64,411,114,8,1,409,1,394,0,528,GCF_025698485.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_017630900.1,AED91842.1,67.07,413,114,8,1,408,1,396,0,525,GCF_025698485.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_017641629.2,AED95551.1,59.046,1614,619,15,1,1602,1,1584,0,1844,GCF_025698485.1,binding protein [Arabidopsis thaliana]
XP_017641630.2,AED95551.1,59.082,1613,619,14,1,1601,1,1584,0,1849,GCF_025698485.1,binding protein [Arabidopsis thaliana]
XP_017649490.1,ANM59181.1,63.128,1074,353,12,12,1061,27,1081,0,1313,GCF_025698485.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_052873960.1,AED91842.1,70.073,411,104,9,1,409,1,394,0,548,GCF_025698485.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_052879730.1,AED91842.1,68.646,421,105,10,1,419,1,396,0,544,GCF_025698485.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_052883177.1,AEE75156.1,62.393,351,99,7,5,347,1,326,2.35e-134,386,GCF_025698485.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_052883726.1,AEE85972.1,41.17,940,469,19,1,923,1,873,1.59e-170,519,GCF_025698485.1,transcriptional regulator [Arabidopsis thaliana]
XP_052883727.1,AEE85972.1,41.17,940,469,19,1,923,1,873,1.59e-170,519,GCF_025698485.1,transcriptional regulator [Arabidopsis thaliana]
XP_052883728.1,AEE85972.1,41.17,940,469,19,1,923,1,873,1.59e-170,519,GCF_025698485.1,transcriptional regulator [Arabidopsis thaliana]
XP_052883729.1,AEE85972.1,41.17,940,469,19,1,923,1,873,1.59e-170,519,GCF_025698485.1,transcriptional regulator [Arabidopsis thaliana]
XP_052883730.1,AEE85972.1,41.17,940,469,19,1,923,1,873,1.59e-170,519,GCF_025698485.1,transcriptional regulator [Arabidopsis thaliana]
XP_052884145.1,AED91842.1,67.312,413,116,8,1,411,1,396,0,529,GCF_025698485.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_052884146.1,AED91842.1,67.312,413,116,8,1,411,1,396,0,529,GCF_025698485.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_052884147.1,AED91842.1,67.397,411,112,8,1,406,1,394,0,524,GCF_025698485.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_052885411.1,AEC10383.1,69.315,365,108,2,1,363,1,363,3.4e-169,476,GCF_025698485.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_052885412.1,AEC10383.1,69.855,345,100,2,1,343,21,363,5.17e-160,452,GCF_025698485.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_052885505.1,AEE85973.1,44.019,836,345,18,1,812,1,737,0,549,GCF_025698485.1,transcriptional regulator [Arabidopsis thaliana]
XP_052885506.1,AEE85973.1,44.019,836,345,18,1,812,1,737,0,549,GCF_025698485.1,transcriptional regulator [Arabidopsis thaliana]
XP_052886480.1,AEE85972.1,42.208,770,364,21,1,729,1,730,2.97e-159,492,GCF_025698485.1,transcriptional regulator [Arabidopsis thaliana]
XP_039790438.1,AEE85972.1,50,248,121,2,14,259,6,252,5.13e-74,259,GCF_016808335.1,transcriptional regulator [Arabidopsis thaliana]
XP_039790439.1,AEE85972.1,50,248,121,2,14,259,6,252,1.68e-74,259,GCF_016808335.1,transcriptional regulator [Arabidopsis thaliana]
XP_039790440.1,AEE85973.1,50,248,121,2,14,259,6,252,1.91e-74,259,GCF_016808335.1,transcriptional regulator [Arabidopsis thaliana]
XP_039790441.1,AEE85972.1,52.941,187,84,3,1,184,67,252,4.15e-58,212,GCF_016808335.1,transcriptional regulator [Arabidopsis thaliana]
XP_039794555.1,ANM59181.1,57.32,888,346,13,160,1026,202,1077,0,1018,GCF_016808335.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_039794556.1,ANM59181.1,57.32,888,346,13,160,1026,202,1077,0,1018,GCF_016808335.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_039794557.1,ANM59181.1,55.72,813,328,12,160,952,202,1002,0,903,GCF_016808335.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_039794558.1,ANM59181.1,55.72,813,328,12,160,952,202,1002,0,903,GCF_016808335.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_039794559.1,ANM59181.1,52.997,734,313,12,160,873,202,923,0,767,GCF_016808335.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_039795152.1,AEE82119.1,51.286,1361,556,21,3,1311,4,1309,0,1251,GCF_016808335.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_039795153.1,AEE82119.1,52.759,1323,556,20,3,1273,4,1309,0,1270,GCF_016808335.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_039805240.1,AED95553.1,46.276,1638,759,33,5,1575,7,1590,0,1350,GCF_016808335.1,binding protein [Arabidopsis thaliana]
XP_039805241.1,AED95551.1,46.898,1612,760,32,5,1550,7,1588,0,1359,GCF_016808335.1,binding protein [Arabidopsis thaliana]
XP_039805242.1,AED95551.1,46.989,1611,759,32,5,1549,7,1588,0,1363,GCF_016808335.1,binding protein [Arabidopsis thaliana]
XP_039810005.1,ANM59181.1,57.883,888,341,12,156,1022,202,1077,0,1027,GCF_016808335.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_039810013.1,ANM59181.1,57.883,888,341,12,156,1022,202,1077,0,1027,GCF_016808335.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_039811248.1,AEE86091.1,32.929,1400,768,42,228,1558,242,1539,5.19e-167,545,GCF_016808335.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_039811249.1,AEE86090.1,33.024,1399,765,43,228,1556,242,1538,1.06e-167,547,GCF_016808335.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_039811498.1,ANM59181.1,57.883,888,341,12,156,1022,202,1077,0,1027,GCF_016808335.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_039816591.1,AEE82119.1,53.118,1299,533,19,3,1252,4,1275,0,1264,GCF_016808335.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_039839578.1,AEE74631.1,42.13,864,374,24,1,824,1,778,0,614,GCF_016808335.1,PHD finger family protein [Arabidopsis thaliana]
XP_039839579.1,AEE74631.1,41.898,864,375,25,1,823,1,778,0,603,GCF_016808335.1,PHD finger family protein [Arabidopsis thaliana]
XP_039843345.1,AED95553.1,46.546,1607,771,30,5,1546,7,1590,0,1347,GCF_016808335.1,binding protein [Arabidopsis thaliana]
XP_039843346.1,AED95553.1,46.7,1606,769,31,5,1545,7,1590,0,1350,GCF_016808335.1,binding protein [Arabidopsis thaliana]
XP_039846260.1,AEE86091.1,33.572,1394,742,48,233,1547,251,1539,1.13e-167,547,GCF_016808335.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_039846261.1,AEE86091.1,33.572,1394,742,48,233,1547,251,1539,1.13e-167,547,GCF_016808335.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_039849410.1,AEE85972.1,50.403,248,120,2,14,259,6,252,3.46e-74,259,GCF_016808335.1,transcriptional regulator [Arabidopsis thaliana]
XP_039849419.1,AEE85972.1,50.403,248,120,2,14,259,6,252,9.17e-75,260,GCF_016808335.1,transcriptional regulator [Arabidopsis thaliana]
XP_039849427.1,AEE85972.1,50.403,248,120,2,14,259,6,252,9.66e-75,260,GCF_016808335.1,transcriptional regulator [Arabidopsis thaliana]
XP_011073172.1,ANM59347.1,38.298,376,217,6,25,397,10,373,1.46e-69,238,GCF_000512975.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_011073173.1,ANM59347.1,38.298,376,217,6,25,397,10,373,1.46e-69,238,GCF_000512975.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_011073174.1,ANM59347.1,38.298,376,217,6,25,397,10,373,1.46e-69,238,GCF_000512975.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_011073175.1,ANM59347.1,38.298,376,217,6,25,397,10,373,1.15e-69,238,GCF_000512975.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_011073330.1,ANM59347.1,33.654,624,328,13,14,576,10,608,4.98e-88,289,GCF_000512975.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_011073331.1,ANM59347.1,33.654,624,328,13,14,576,10,608,4.98e-88,289,GCF_000512975.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_011073332.1,ANM59347.1,33.654,624,328,13,14,576,10,608,4.98e-88,289,GCF_000512975.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_011073337.1,ANM67502.1,25.5,200,133,6,128,321,197,386,5.39e-12,66.6,GCF_000512975.1,phospholipase-like protein (PEARLI 4) family protein [Arabidopsis thaliana]
XP_011073822.1,ANM59181.1,57.304,1061,403,14,59,1100,51,1080,0,1169,GCF_000512975.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_011078834.1,AED91842.1,46.89,418,167,11,1,390,1,391,1.43e-108,326,GCF_000512975.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_011078835.1,AED91842.1,46.667,420,169,11,1,392,1,393,1.12e-108,326,GCF_000512975.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_011078836.1,AED91842.1,46.917,373,144,10,1,346,46,391,1.39e-97,296,GCF_000512975.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_011079564.1,AEE82119.1,60.633,1359,469,16,1,1331,1,1321,0,1563,GCF_000512975.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_011080198.1,AEC10383.1,65.489,368,119,3,1,366,1,362,1.3e-154,439,GCF_000512975.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_011080199.1,AEC10383.1,65.489,368,119,3,1,366,1,362,1.3e-154,439,GCF_000512975.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_011080200.1,AEC10383.1,65.489,368,119,3,1,366,1,362,1.3e-154,439,GCF_000512975.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_011080202.1,AEC10383.1,65.489,368,119,3,1,366,1,362,1.3e-154,439,GCF_000512975.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_011081489.1,AEE85972.1,40.551,799,372,24,5,764,4,738,4.72e-146,454,GCF_000512975.1,transcriptional regulator [Arabidopsis thaliana]
XP_011081490.1,AEE85972.1,40.551,799,372,24,5,764,4,738,4.72e-146,454,GCF_000512975.1,transcriptional regulator [Arabidopsis thaliana]
XP_011081867.1,AEE86090.1,35.779,1772,839,52,1,1712,1,1533,0,854,GCF_000512975.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_011082306.1,ANM59347.1,30.868,703,396,20,13,678,9,658,2.05e-82,276,GCF_000512975.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_011082315.1,ANM59347.1,30.956,701,396,20,13,676,9,658,1.57e-82,276,GCF_000512975.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_011083133.1,AEC10383.1,64.946,368,121,3,1,366,1,362,2.29e-155,441,GCF_000512975.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_011086271.1,AED95552.1,55.226,1617,673,19,1,1591,1,1592,0,1655,GCF_000512975.1,binding protein [Arabidopsis thaliana]
XP_011086272.1,AED95552.1,55.26,1616,673,19,1,1590,1,1592,0,1655,GCF_000512975.1,binding protein [Arabidopsis thaliana]
XP_011087115.1,AED91842.1,59.145,421,144,9,1,420,1,394,1.42e-163,466,GCF_000512975.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_011087826.1,AEE74631.1,48.848,868,332,19,1,849,1,775,0,766,GCF_000512975.1,PHD finger family protein [Arabidopsis thaliana]
XP_011087833.1,AEE74631.1,48.789,867,332,19,1,847,1,775,0,764,GCF_000512975.1,PHD finger family protein [Arabidopsis thaliana]
XP_011088123.1,AEE86090.1,47.27,641,291,13,1607,2233,931,1538,3.44e-158,532,GCF_000512975.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_011093386.1,AED91842.1,56.974,423,152,10,1,422,1,394,4.35e-156,447,GCF_000512975.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_011093387.1,AED91842.1,56.818,396,144,9,3,397,25,394,1.23e-145,420,GCF_000512975.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_011096143.1,AED95552.1,54.6,1674,670,19,1,1659,1,1599,0,1716,GCF_000512975.1,binding protein [Arabidopsis thaliana]
XP_020550173.1,AEC10383.1,65.489,368,119,3,1,366,1,362,1.3e-154,439,GCF_000512975.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_020550223.1,AEE85972.1,40.551,799,372,24,5,764,4,738,4.72e-146,454,GCF_000512975.1,transcriptional regulator [Arabidopsis thaliana]
XP_020551771.1,AEC10420.1,58.869,389,148,7,21,403,46,428,7.89e-150,432,GCF_000512975.1,Emsy N Terminus (ENT) domain-containing protein [Arabidopsis thaliana]
XP_020553622.1,AED91842.1,57.059,340,121,8,6,344,79,394,8.67e-121,354,GCF_000512975.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_020553970.1,AED95552.1,54.573,1673,671,19,1,1658,1,1599,0,1714,GCF_000512975.1,binding protein [Arabidopsis thaliana]
XP_020553971.1,AED95552.1,58.642,1458,567,13,1,1445,1,1435,0,1682,GCF_000512975.1,binding protein [Arabidopsis thaliana]
XP_027068076.1,AED91842.1,52.604,384,148,11,9,377,30,394,6.08e-115,342,GCF_003713225.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_027068077.1,AED91842.1,52.604,384,148,11,9,377,30,394,5.82e-115,342,GCF_003713225.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_027068078.1,AED91842.1,52.742,383,147,11,9,375,30,394,6.53e-114,340,GCF_003713225.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_027071627.1,AEE29387.1,47.619,63,32,1,123,184,560,622,1.99e-11,63.5,GCF_003713225.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027071676.1,AEE29387.1,47.619,63,32,1,123,184,560,622,1.99e-11,63.5,GCF_003713225.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027071730.1,AEE29387.1,47.619,63,32,1,123,184,560,622,1.99e-11,63.5,GCF_003713225.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027072258.1,AED91842.1,52.073,386,145,11,10,377,31,394,6.49e-115,342,GCF_003713225.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_027072259.1,AED91842.1,52.185,389,142,12,10,380,31,393,5.39e-115,343,GCF_003713225.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_027072260.1,AED91842.1,51.139,395,133,12,10,375,31,394,5.81e-115,342,GCF_003713225.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_027074216.1,AEC10383.1,63.415,369,125,4,1,365,1,363,7.26e-153,435,GCF_003713225.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_027074225.1,AEC10383.1,65.689,341,107,4,2,338,29,363,1.47e-146,418,GCF_003713225.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_027074233.1,AEC10383.1,63.415,369,125,4,1,365,1,363,7.26e-153,435,GCF_003713225.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_027081180.1,AEE86090.1,37.276,1733,834,48,1,1690,1,1523,0,875,GCF_003713225.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_027081181.1,AEE86090.1,37.276,1733,834,48,1,1690,1,1523,0,875,GCF_003713225.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_027081182.1,AEE86090.1,37.276,1733,834,48,1,1690,1,1523,0,875,GCF_003713225.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_027081183.1,AEE86090.1,37.955,1702,838,48,1,1663,1,1523,0,884,GCF_003713225.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_027084769.1,AEE86090.1,37.056,1719,829,48,1,1676,1,1509,0,873,GCF_003713225.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_027084770.1,AEE86090.1,37.056,1719,829,48,1,1676,1,1509,0,873,GCF_003713225.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_027084771.1,AEE86090.1,37.056,1719,829,48,1,1676,1,1509,0,873,GCF_003713225.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_027084772.1,AEE86090.1,37.737,1688,833,48,1,1649,1,1509,0,882,GCF_003713225.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_027085120.1,AEE85972.1,42.578,768,376,21,7,750,4,730,3.52e-146,454,GCF_003713225.1,transcriptional regulator [Arabidopsis thaliana]
XP_027085121.1,AEE85972.1,42.578,768,376,21,7,750,4,730,3.52e-146,454,GCF_003713225.1,transcriptional regulator [Arabidopsis thaliana]
XP_027085122.1,AEE85972.1,42.578,768,375,20,7,749,4,730,4.47e-147,457,GCF_003713225.1,transcriptional regulator [Arabidopsis thaliana]
XP_027085123.1,AEE85972.1,42.578,768,375,20,7,749,4,730,4.47e-147,457,GCF_003713225.1,transcriptional regulator [Arabidopsis thaliana]
XP_027085124.1,AEE85972.1,42.578,768,374,21,7,748,4,730,2.5e-146,455,GCF_003713225.1,transcriptional regulator [Arabidopsis thaliana]
XP_027086449.1,AED91614.1,51.562,64,31,0,223,286,20,83,2.12e-17,82.8,GCF_003713225.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027086450.1,ANM59347.1,33.226,623,340,12,86,651,9,612,1.48e-89,294,GCF_003713225.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027088118.1,AEE29387.1,31.433,684,345,17,8,640,13,623,1.1e-79,278,GCF_003713225.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027088119.1,AEE29387.1,32.042,671,345,16,8,627,13,623,1.83e-83,288,GCF_003713225.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027089309.1,ANM59347.1,38.182,385,215,5,16,389,9,381,3.42e-70,241,GCF_003713225.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027099310.1,AEE82119.1,60.432,1342,464,17,1,1297,1,1320,0,1535,GCF_003713225.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_027106877.1,AEE74631.1,50.553,904,311,22,1,896,1,776,0,802,GCF_003713225.1,PHD finger family protein [Arabidopsis thaliana]
XP_027113642.1,AED91842.1,57.143,427,147,11,1,424,1,394,1.1e-156,449,GCF_003713225.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_027113748.1,AEE74631.1,50.553,904,311,22,1,896,1,776,0,802,GCF_003713225.1,PHD finger family protein [Arabidopsis thaliana]
XP_027117144.1,ANM59181.1,59.623,1008,346,13,183,1163,107,1080,0,1189,GCF_003713225.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_027117146.1,ANM59181.1,59.623,1008,346,13,183,1163,107,1080,0,1189,GCF_003713225.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_027117147.1,ANM59181.1,59.623,1008,346,13,183,1163,107,1080,0,1189,GCF_003713225.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_027117148.1,ANM59181.1,59.623,1008,346,13,183,1163,107,1080,0,1189,GCF_003713225.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_027118401.1,AEE82119.1,60.209,1342,467,17,1,1297,1,1320,0,1529,GCF_003713225.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_027119369.1,ANM59181.1,61.317,972,334,11,202,1163,141,1080,0,1200,GCF_003713225.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_027119370.1,ANM59181.1,61.317,972,334,11,202,1163,141,1080,0,1200,GCF_003713225.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_027119371.1,ANM59181.1,61.317,972,334,11,202,1163,141,1080,0,1200,GCF_003713225.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_057765094.1,AED95551.1,52.064,1696,707,22,1,1688,1,1598,0,1636,GCF_028751815.1,binding protein [Arabidopsis thaliana]
XP_057765095.1,AED95551.1,52.187,1692,706,23,1,1683,1,1598,0,1637,GCF_028751815.1,binding protein [Arabidopsis thaliana]
XP_057766940.1,AEC10383.1,64.362,376,118,4,1,374,1,362,7.71e-156,443,GCF_028751815.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_057766942.1,AEC10383.1,65.054,372,114,4,1,366,1,362,2.9e-156,444,GCF_028751815.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_057766943.1,AEC10383.1,65.763,295,88,2,21,315,81,362,3.12e-129,373,GCF_028751815.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_057766944.1,AEC10383.1,66.667,291,84,2,21,307,81,362,1.38e-129,374,GCF_028751815.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_057768785.1,AED91842.1,45.794,428,167,11,1,394,1,397,3.05e-104,316,GCF_028751815.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_057768786.1,AED91842.1,45.885,401,152,11,19,385,28,397,4.83e-98,300,GCF_028751815.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_057768787.1,AED91842.1,45.519,424,168,10,1,392,1,393,5.78e-104,314,GCF_028751815.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_057768788.1,AED91842.1,45.477,398,154,10,18,383,27,393,5.67e-98,298,GCF_028751815.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_057768836.1,AED91842.1,45.283,424,169,10,1,392,1,393,2.87e-103,312,GCF_028751815.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_057768837.1,AED91842.1,45.226,398,155,10,18,383,27,393,4.67e-97,296,GCF_028751815.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_057779455.1,ANM59181.1,53.44,1061,440,15,42,1079,51,1080,0,1080,GCF_028751815.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_057782207.1,AEE82119.1,60.254,1341,437,16,1,1278,1,1308,0,1552,GCF_028751815.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_057791500.1,AEE85972.1,52.308,65,31,0,426,490,605,669,1.15e-16,84,GCF_028751815.1,transcriptional regulator [Arabidopsis thaliana]
XP_057799460.1,AEE86090.1,35.952,1744,839,48,1,1680,1,1530,0,830,GCF_028751815.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_057799462.1,AEE86090.1,35.952,1744,839,48,1,1680,1,1530,0,830,GCF_028751815.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_057800451.1,AED91842.1,59.33,418,144,11,1,416,1,394,9.85e-160,456,GCF_028751815.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_057803846.1,AEE85972.1,62.903,248,91,1,5,252,4,250,9.79e-102,338,GCF_028751815.1,transcriptional regulator [Arabidopsis thaliana]
XP_004287196.1,AEC10383.1,68.464,371,107,4,1,369,1,363,3.38e-166,469,GCF_000184155.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_004288600.1,AEC10383.1,68.464,371,107,4,1,369,1,363,3.69e-166,469,GCF_000184155.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_004291952.1,AEE85972.1,37.627,986,469,26,1,961,1,865,1.48e-151,471,GCF_000184155.1,transcriptional regulator [Arabidopsis thaliana]
XP_004292962.1,AEE86090.1,41.494,1687,809,45,1,1659,1,1537,0,1062,GCF_000184155.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_004293403.1,AED95553.1,57.533,1686,616,18,3,1670,2,1605,0,1837,GCF_000184155.1,binding protein [Arabidopsis thaliana]
XP_004295143.1,AED91842.1,67.64,411,114,8,1,409,1,394,0,516,GCF_000184155.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_004298031.1,ANM59181.1,60.945,1101,371,15,4,1072,8,1081,0,1286,GCF_000184155.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_004300462.1,AEE82119.1,60.242,1323,394,16,3,1237,4,1282,0,1518,GCF_000184155.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_004303245.1,AEE85973.1,52.525,297,127,3,1,287,1,293,1.22e-89,306,GCF_000184155.1,transcriptional regulator [Arabidopsis thaliana]
XP_004304373.1,AED91842.1,51.825,411,147,13,1,377,1,394,2.38e-125,368,GCF_000184155.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_004306498.1,AED91842.1,54.801,427,161,9,1,425,1,397,5.42e-146,422,GCF_000184155.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_004307215.1,AEE74631.1,53.678,870,299,19,1,857,1,779,0,836,GCF_000184155.1,PHD finger family protein [Arabidopsis thaliana]
XP_027901926.1,AEE85973.1,45.627,789,355,25,1,766,1,738,9.22e-170,515,GCF_004118075.2,transcriptional regulator [Arabidopsis thaliana]
XP_027902165.1,AED91842.1,54.087,416,167,9,1,414,1,394,1.19e-136,397,GCF_004118075.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_027902173.1,AEC10420.1,47.419,310,150,8,33,335,121,424,2.6e-84,262,GCF_004118075.2,Emsy N Terminus (ENT) domain-containing protein [Arabidopsis thaliana]
XP_027902902.1,AEE85972.1,43.112,784,382,21,1,765,1,739,8.01e-160,491,GCF_004118075.2,transcriptional regulator [Arabidopsis thaliana]
XP_027903967.1,AEE85973.1,40.654,765,324,23,4,671,5,736,9.06e-135,425,GCF_004118075.2,transcriptional regulator [Arabidopsis thaliana]
XP_027904206.1,AEE86090.1,40.394,1728,804,47,1,1701,1,1529,0,1027,GCF_004118075.2,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
