GC PWWPtblastn Tudortblastn
GCA_027725995.1 714084 1376
GCA_022829145.1 1725 13252034
GCA_028095005.1 13435787 881
GCA_944470415.2 894186 Inf
GCA_027562975.1 766356 883
GCA_921882275.1 4598868 Inf
GCA_029851415.1 6441229 Inf
GCA_944470205.2 4368945 22064359
GCA_902729315.2 33232 801
GCA_030435675.1 593972 10438818
GCA_933534255.1 5403351 Inf
GCA_944470555.2 2723673 1093135
GCA_025433545.1 392900 244057
GCA_022379115.2 804515 1339
GCA_944470375.2 1512622 Inf
GCA_946903255.1 4674815 250651
GCA_025433615.1 101659 250138
GCA_008638375.1 9654084 1150
GCA_917834065.1 1821129 Inf
GCA_025433565.1 68393 239842
GCA_007844105.2 936247 1293
GCA_944470365.2 2350242 9062102
GCA_020887355.1 65595 1077
GCA_944474815.3 4609716 22116536
GCA_006247105.1 1055 5256
GCA_900090045.1 35682 554749
GCA_944470405.2 7262891 Inf
GCA_918026855.4 730382 Inf
GCA_026225825.1 303409 1132
GCA_004337975.1 379976 320978
GCA_918026665.1 27317876 Inf
GCA_029692045.1 1936 Inf
GCA_009650685.1 80136 19335
GCA_004026145.2 839 Inf
GCA_927349885.1 Inf Inf
GCA_014905635.1 88492 1587
GCA_900097015.1 Inf Inf
GCA_018691285.1 588916 1340
GCA_900074745.1 25104 48049
GCA_019343175.1 3273052 Inf
GCA_017918215.1 111787 Inf
GCA_017918225.1 66406 291491
GCA_020631695.1 1600681 78038
GCA_028583415.1 1807974 1529
GCA_900074735.1 35213 423
GCA_029204225.1 3652167 10236
GCA_026229545.1 1343198 1134
GCA_027704905.1 1235 Inf
GCA_900095595.1 Inf Inf
GCA_900097035.1 Inf Inf
GCA_004337985.1 332738 299115
GCA_014466175.1 120829 Inf
GCA_029228625.1 51619 Inf
GCA_022985145.1 1213 Inf
GCA_009746105.1 101717 1404
GCA_020142125.1 7811 21563901
GCA_019857665.1 2524 Inf
GCA_013677275.1 18063952 1420
GCA_013467495.1 15077192 1410
GCA_013467465.1 1696206 1438
GCA_013467485.1 5011730 1444
GCA_013487665.1 19794140 1443
GCA_013511315.1 4407693 2859
GCA_013677265.1 21966401 1496
GCA_000002855.2 159376 1975286
GCA_003032435.1 352853 1509
GCA_000150675.2 32036 1071839
GCA_000006425.1 2982 Inf
GCA_002157705.1 Inf Inf
GCA_000151355.1 567209 854683
GCA_018446365.1 9650 Inf
GCA_000167675.2 273403 729073
GCA_003025095.1 Inf 132851
GCA_003025105.1 314119 75742
GCA_000149425.1 2569 3601
GCA_000002515.1 63633 48741
GCA_000002545.2 134365 125944
GCA_000002525.1 23622 360114
GCA_000003745.2 210173 1079
GCA_004379255.2 1350655 1216
GCA_000003225.1 337203 390848
GCA_000149035.1 50002 460008
GCA_001890705.1 1041 734903
GCA_004022145.1 315639 220071
GCA_001661405.1 1097 Inf
GCA_001641265.1 247351 Inf
GCA_001890905.1 43096 699331
GCA_000293215.1 16933 2288120
GCA_000149685.1 308868 8779
GCA_001278385.1 24732 147231
GCA_000150705.2 Inf 805862
GCA_000223485.1 176231 336092
GCA_000223465.1 82283 56687
GCA_001890125.1 230351 45355
GCA_022830035.1 258472 22943
GCA_001661265.1 77859 1028636
GCA_001890805.1 685698 Inf
GCA_001664035.1 300066 15482
GCA_028828155.1 635715 742592
GCA_000747765.1 181027 Inf
GCA_001563125.1 14994 Inf
GCA_001661245.1 14894 351456
GCA_000149645.4 7420 175456
GCA_000221225.1 155434 53731
GCA_000409485.1 230562 168576
GCA_000150035.1 35759 Inf
GCA_003426965.1 41283 294211
GCA_013036055.1 450626 90
GCA_000835505.1 10460 115662
GCA_001078395.2 587114 287825
GCA_002104945.1 495126 Inf
GCA_002104975.1 Inf Inf
GCA_025201335.1 56599 Inf
GCA_009176365.1 Inf Inf
GCA_002104895.1 Inf Inf
GCA_024610275.1 116439 Inf
GCA_001563135.1 52071 Inf
GCA_000517465.1 30172 Inf
GCA_001720205.1 247945 164967
GCA_000835455.1 11413 614986
GCA_000003125.1 1283252 249043
GCA_025118155.1 Inf 31529
GCA_000002715.1 394701 52900
GCA_000181695.1 102104 Inf
GCA_000835555.1 9718 176849
GCA_001661475.1 13983 312526
GCA_000365165.2 9970 1240729
GCA_001661235.1 28842 29651
GCA_003184835.1 66074 40521
GCA_010093935.1 23246 351307
GCA_001720155.1 151490 231258
GCA_003184625.1 58983 42698
GCA_003184865.1 45064 Inf
GCA_000004155.2 88448 426946
GCA_000263375.1 14796 64119
GCA_003184785.1 42999 283177
GCA_003184765.1 296860 Inf
GCA_001661395.1 357766 166969
GCA_001204775.2 Inf Inf
GCA_001664025.1 Inf Inf
GCA_025094155.1 Inf Inf
GCA_001883825.1 Inf Inf
GCA_002849105.1 589889 91069
GCA_002847465.1 45454 813549
GCA_025201355.1 220119 13466
GCA_025766325.1 93271 2172328
GCA_022578975.1 74219 266169
GCA_002105095.1 84277 126594
GCA_025331425.1 143066 884761
GCA_003144295.1 347770 76201
GCA_000338955.1 22402 32047
GCA_022496945.1 73807 1950638
GCA_024610255.1 1738 292943
GCA_000721765.1 319028 209025
GCA_000512605.2 101964 897252
GCA_000512585.2 112351 83603
GCA_001299255.1 42741 108
GCA_024521655.1 82836 152270
GCA_021052385.1 3860 Inf
GCA_003184525.1 218060 243706
GCA_025330725.1 Inf Inf
GCA_002104995.1 4359 221021
GCA_025766245.1 427168 37645
GCA_010093505.1 64894 41518
GCA_003184535.1 Inf Inf
GCA_024610245.1 2004 377800
GCA_000721755.1 176709 139379
GCA_025526975.1 163677 700061
GCA_000585585.1 8638 169228
GCA_025558095.1 40668 14601
GCA_000938715.1 66472 Inf
GCA_003184925.1 416949 64993
GCA_002105155.1 Inf Inf
GCA_000585515.1 6133 95848
GCA_003184545.1 54582 21756
GCA_003144245.1 497664 2218
GCA_003144205.1 65385 477953
GCA_000835475.1 9763 193023
GCA_000512565.2 290380 178091
GCA_000365145.2 82772 25607
GCA_000709125.1 382673 79813
GCA_000507465.3 49267 Inf
GCA_003357145.1 27844 223240
GCA_010094035.1 17851 Inf
GCA_003184755.1 1449836 85463
GCA_022829205.1 127622 158383
GCA_019669845.1 902819 106409
GCA_010015735.1 90812 408867
GCA_006535985.1 55830 Inf
GCA_008629635.1 228675 461185
GCA_010015815.1 221402 979120
GCA_000585535.1 9951 Inf
GCA_003144135.1 10101 12106
GCA_025602895.1 Inf 187680
GCA_000576695.1 204161 10965
GCA_025024155.1 13435 Inf
GCA_001619985.1 9624 Inf
GCA_000400465.1 42869 57800
GCA_023376865.1 60443 Inf
GCA_025766255.1 Inf Inf
GCA_009193525.1 191891 75790
GCA_003184825.1 43299 96540
GCA_010094085.1 146150 744781
GCA_000497045.1 177123 Inf
GCA_003184845.1 208557 111609
GCA_010015565.1 526492 59193
GCA_003184745.1 Inf 90129
GCA_001883845.1 528192 359511
GCA_009193505.1 192325 68538
GCA_003184695.1 152190 96658
GCA_009176405.1 202343 72027
GCA_001792695.1 59466 146265
GCA_010093815.1 91976 167016
GCA_025765615.1 Inf 28094
GCA_010093625.1 46558 Inf
GCA_003369625.1 320069 10155
GCA_003144195.1 Inf Inf
GCA_001661335.1 31785 212264
GCA_010093825.1 Inf 102116
GCA_022497145.1 75411 734
GCA_024628925.1 34426 Inf
GCA_009193645.1 109316 Inf
GCA_001890105.1 1230712 Inf
GCA_010093595.1 553876 51310
GCA_001661415.1 10873 158845
GCA_010015585.1 1222938 210988
GCA_002572885.1 25981 Inf
GCA_007821495.1 9890 Inf
GCA_023343755.1 Inf 135453
GCA_002850765.1 Inf Inf
GCA_022478815.1 Inf Inf
GCA_009193665.1 Inf Inf
GCA_029851405.1 Inf Inf
GCA_010094145.1 35092 Inf
GCA_009176345.1 Inf Inf
GCA_009193595.1 Inf Inf
GCA_000711695.1 Inf 112937
GCA_010093885.1 279656 189129
GCA_003711515.1 929178 Inf
GCA_010093535.1 69534 Inf
GCA_009193585.1 64837 186187
GCA_019202705.1 1861 Inf
GCA_025688805.1 Inf Inf
GCA_002261195.1 9525 Inf
GCA_000292625.1 Inf Inf
GCA_000968595.1 Inf Inf
GCA_001447935.2 411 16063
GCA_009193565.1 Inf Inf
GCA_027604725.1 Inf Inf
GCA_025201845.1 Inf Inf
GCA_027478445.1 Inf Inf
GCA_021432655.1 Inf Inf
GCA_005350895.1 50692 Inf
GCA_000760515.2 5936 81504
GCA_003144235.1 Inf Inf
GCA_025201705.1 Inf Inf
GCA_025201865.1 Inf Inf
GCA_003325435.1 Inf Inf
GCA_027604665.1 Inf Inf
GCA_000611645.1 Inf 3115
GCA_027579525.1 Inf Inf
GCA_001889945.1 168157 901339
GCA_003184635.1 Inf 125319
GCA_003184685.1 Inf Inf
GCA_010015725.1 259472 Inf
GCA_001661425.1 55821 12036
GCA_010015655.1 Inf Inf
GCA_003184645.1 Inf Inf
GCA_001574975.1 Inf 10587
GCA_010093945.1 Inf Inf
GCA_001692735.1 Inf Inf
GCA_000193285.1 245299 592083
GCA_028827825.1 378274 161113
GCA_028828255.1 90715 16988
GCA_028829455.1 66819 169742
GCA_016097325.1 88165 183664
GCA_028829775.1 489588 632190
GCA_028827245.1 762857 180910
GCA_902498895.1 20706 1217110
GCA_028827645.1 208861 208458
GCA_014898465.1 129633 Inf
GCA_903819665.1 254295 21253
GCA_014898435.1 128316 1594920
GCA_903819635.1 455796 29794
GCA_903853725.1 753543 16305
GCA_014905795.1 63862 823549
GCA_024043165.1 77900 90
GCA_023758025.1 152785 90
GCA_024043155.1 78097 126
GCA_023758065.1 1656952 90
GCA_014898295.1 165684 Inf
GCA_023758075.1 48193 90
GCA_024043175.1 796156 90
GCA_027923505.1 570769 723
GCA_023758015.1 852697 90
GCA_023757995.1 1494446 90
GCA_023758085.1 894670 90
GCA_000835435.1 10419 672769
GCA_023757985.1 Inf 90
GCA_002077065.1 62933 682828
GCA_030039215.1 136677 Inf
GCA_001773325.1 803060 45281
GCA_020536065.1 35080 54445
GCA_001646965.1 13885 502608
GCA_024291825.1 Inf 90
GCA_001642475.1 13256 Inf
GCA_001662655.1 10912 111174
GCA_021653875.1 2300 26853
GCA_004154925.1 33577 229166
GCA_028584115.1 32309 41055
GCA_024364755.1 Inf Inf
GCA_003946995.1 Inf Inf
GCA_015844325.1 133390 329317
GCA_013396195.1 Inf Inf
GCA_030512305.1 263510 27837
GCA_027602005.1 136681 Inf
GCA_002573605.1 Inf Inf
GCA_027576975.1 48285 Inf
GCA_012932015.1 Inf Inf
GCA_004918325.1 36354 53499
GCA_008704595.1 Inf Inf
GCA_013396175.1 118047 Inf
GCA_013396205.1 59587 Inf
GCA_004931855.1 Inf 86995
GCA_000313485.1 Inf 48398
GCA_013421405.2 Inf Inf
GCA_004154915.1 32983 Inf
GCA_024244105.1 Inf 68843
GCA_013396025.1 Inf 21287
GCA_012932025.1 10976 Inf
GCA_013781345.1 Inf Inf
GCA_027579435.1 Inf Inf
GCA_001696595.2 63147 Inf
GCA_013396165.1 Inf 26402
GCA_027575805.1 Inf 20194
GCA_013395995.1 Inf Inf
GCA_018360045.1 Inf Inf
GCA_018360065.1 Inf Inf
GCA_004366825.1 53693 200906
GCA_013266185.1 Inf Inf
GCA_018360055.1 Inf Inf
GCA_003589665.1 Inf Inf
GCA_027575765.1 69883 Inf
GCA_002794465.1 10863 47348
GCA_012184295.1 71506 45880
GCA_027579115.1 Inf Inf
GCA_018873745.1 Inf Inf
GCA_001969505.1 15176 Inf
GCA_005059865.1 Inf Inf
GCA_024243835.1 23565 Inf
GCA_005059845.1 Inf Inf
GCA_910592215.1 Inf Inf
GCA_001050175.1 Inf Inf
GCA_001660665.1 Inf Inf
GCA_027596845.1 Inf Inf
GCA_015679605.1 Inf Inf
GCA_006783085.1 Inf Inf
GCA_027595825.1 Inf Inf
GCA_027579315.1 Inf Inf
GCA_027478575.1 Inf Inf
GCA_003789085.1 5124 Inf
GCA_000223135.1 5203 Inf
GCA_000280675.1 503524 90292
GCA_000209065.1 Inf Inf
GCA_002754855.1 13778 Inf
GCA_016745375.1 1699 Inf
GCA_000189635.1 Inf Inf
GCA_001642055.1 1185810 90
GCA_000142945.1 1976907 883258
GCA_000208925.2 Inf Inf
GCA_000171015.2 874382 86704
GCA_000146945.2 130321 265455
GCA_000320785.2 106174 263315
GCA_000002995.5 618698 10753422
GCA_014466165.1 66104 36381
GCA_000225605.1 40744 996196
GCA_020744495.1 563002 Inf
GCA_023343905.1 33634 1222
GCA_000149755.2 363130 536968
GCA_002284615.2 Inf 9493
GCA_021015755.1 267770 Inf
GCA_000149615.1 1080437 126416
GCA_011800055.1 52458 102170
GCA_028827035.1 36435 480065
GCA_904066235.2 1476939 1890230
GCA_000504015.1 815907 1111
GCA_021604985.1 168784 1606
GCA_903112645.1 686172 1897
GCA_002217175.1 397165 Inf
GCA_025594305.2 39020 Inf
GCA_000478725.1 1432256 769
GCA_030144725.1 2779464 5139
GCA_000337935.1 4620 Inf
GCA_000182765.2 189990 559198
GCA_000439145.3 Inf Inf
GCA_000151425.1 30658 Inf
GCA_012934285.1 1643136 363542
GCA_000372725.1 Inf 3743
GCA_000182895.1 371846 116578
GCA_000721785.1 227280 12650
GCA_000524195.1 Inf Inf
GCA_018991925.1 14665 Inf
GCA_001417965.1 5054 Inf
GCA_000769745.1 Inf Inf
GCA_000165425.1 194946 222895
GCA_000143185.2 242737 1174163
GCA_000225545.1 250055 Inf
GCA_000003835.1 25056 5741
GCA_021218885.2 5150 Inf
GCA_009771025.1 52460 598918
GCA_001661255.1 487199 149970
GCA_907166875.3 2006237 7000706
GCA_012971845.1 94288 214168
GCA_001185155.1 Inf 1516
GCA_003704095.1 4115 Inf
GCA_000334495.1 Inf Inf
GCA_000230375.1 298230 23613
GCA_000375325.1 418174 736
GCA_000493195.1 1422970 1445
GCA_001974825.2 Inf 1411
GCA_017312745.1 7255 Inf
GCA_000006295.1 1079 Inf
GCA_000170995.2 179260 97087
GCA_000313135.1 379269 71728
GCA_000240725.1 Inf 765
GCA_024305405.1 Inf Inf
GCA_011503125.2 18483 1093486
GCA_013340325.1 Inf 86453
GCA_000143455.1 1081229 445136
GCA_000827475.1 1451 33486
GCA_002708625.1 644116 107925
GCA_014176215.1 3755 Inf
GCA_009761285.1 1814720 Inf
GCA_008403515.1 68660 Inf
GCA_001653265.1 264057 1098450
GCA_000341285.1 39052 Inf
GCA_002113885.2 8061 Inf
GCA_900332095.2 Inf 1169
GCA_000186865.1 35277 741
GCA_000325575.1 3731 Inf
GCA_000711775.1 Inf Inf
GCA_000281125.4 14717 Inf
GCA_024762085.1 Inf 1025
GCA_000230625.1 8702 Inf
GCA_000260195.2 55949 554734
GCA_002117355.1 81800 Inf
GCA_027580185.1 492479 Inf
GCA_028827155.1 222491 208495
GCA_008692225.1 282208 96416
GCA_002269645.1 5306 Inf
GCA_900659725.1 Inf Inf
GCA_000733215.1 7820 887
GCA_000147415.1 108329 1644
GCA_000149335.2 89090 94151
GCA_000359705.1 61001 102
GCA_000149305.1 11120 Inf
GCA_000143565.1 Inf 259613
GCA_000698965.1 4736 Inf
GCA_000354255.1 56093 102
GCA_000721775.1 70191 Inf
GCA_000151145.1 119430 35311
GCA_000149925.1 Inf 446280
GCA_000469725.3 1283733 Inf
GCA_004000055.1 182336 2242134
GCA_008690995.1 254340 63863
GCA_003444635.2 147370 Inf
GCA_026225935.1 981 Inf
GCA_003344945.1 1210700 1436288
GCA_014773135.1 81126 Inf
GCA_001949185.1 223710 116146
GCA_010799875.2 Inf Inf
GCA_013365045.1 9470 Inf
GCA_009735665.1 Inf Inf
GCA_001605985.2 2454040 16725859
GCA_014905375.1 Inf 1209
GCA_000180735.1 832 Inf
GCA_002897195.1 1565070 1472
GCA_000298355.1 4473 Inf
GCA_005959815.1 Inf Inf
GCA_000507365.1 Inf Inf
GCA_000516915.1 5936 Inf
GCA_010203745.1 250997 1222208
GCA_018691715.1 195153 Inf
GCA_015533775.1 970824 Inf
GCA_021307395.1 165687 99029
GCA_000004985.1 Inf Inf
GCA_000988165.1 Inf 47389
GCA_000151645.1 Inf Inf
GCA_000204055.1 2429469 Inf
GCA_000143365.1 15549 919747
GCA_000330505.1 172371 Inf
GCA_001477535.1 Inf Inf
GCA_000149985.1 702337 105
GCA_001632365.1 61031 76545
GCA_025594325.1 255799 1642165
GCA_001990825.1 372742 779207
GCA_905146905.1 4688 Inf
GCA_017607445.1 602683 2887575
GCA_012980535.1 63975 809186
GCA_006381635.2 Inf 1162
GCA_019207475.1 100479 36376
GCA_014235925.1 Inf Inf
GCA_022814885.1 Inf 3077725
GCA_019722365.1 Inf 1215
GCA_000151665.1 160710 776
GCA_002738505.1 2001549 2346
GCA_000764305.4 13196 Inf
GCA_012274485.2 Inf 743
GCA_000181795.2 Inf Inf
GCA_024362625.1 1127 Inf
GCA_000220395.1 Inf Inf
GCA_001839685.1 Inf Inf
GCA_900660405.1 Inf Inf
GCA_000708225.1 4750 Inf
GCA_900000015.1 1383223 350831
GCA_000183805.3 Inf Inf
GCA_001598015.1 Inf Inf
GCA_001675575.1 425 Inf
GCA_019648995.1 11364 Inf
GCA_900157425.1 561130 642784
GCA_000258705.1 30673 978
GCA_001664045.1 4541 14841
GCA_002116315.1 354842 1033628
GCA_016758905.1 106291 17985
GCA_000143105.2 67667 465524
GCA_001638985.2 Inf 588471
GCA_000218685.1 240221 94067
GCA_000146915.2 464502 Inf
GCA_000151315.2 64131 68519
GCA_000961545.1 184772 892432
GCA_000151125.2 28326 Inf
GCA_000003525.2 2088340 Inf
GCA_000403515.1 Inf 922135
GCA_001636725.1 188948 1632613
GCA_000523455.1 Inf 102
GCA_000350065.2 773133 200727
GCA_000247585.2 Inf 278527
GCA_000855695.1 43100 19626
GCA_014108235.1 738 Inf
GCA_020809275.1 182936 Inf
GCA_029747655.1 807887 2584
GCA_020744515.1 195478 510043
GCA_024500475.1 Inf Inf
GCA_001561935.1 261743 41946
GCA_017655625.1 31362 288893
GCA_903632075.3 17621 Inf
GCA_004011695.1 120031 736337
GCA_001683735.1 233048 194834
GCA_008065275.1 38871 22530
GCA_904845875.1 5922981 972
GCA_013621035.1 10977 Inf
GCA_002006685.2 736317 Inf
GCA_944317955.1 Inf Inf
GCA_029204205.1 11415 Inf
GCA_024036415.1 3847 Inf
GCA_006386115.1 Inf 143736
GCA_003025115.1 71580 385949
GCA_025331445.1 Inf Inf
GCA_000150275.1 2367 Inf
GCA_003724135.2 39750 Inf
GCA_013340265.1 9421 Inf
GCA_030674165.1 4742 23952811
GCA_902728275.1 165981 958574
GCA_010087175.1 4810 Inf
GCA_000708835.1 Inf 1439
GCA_001718145.1 1241 Inf
GCA_008360955.1 52896 Inf
GCA_001974805.1 Inf 1411
GCA_000414095.2 Inf 1570
GCA_001939145.1 Inf Inf
GCA_009835225.1 Inf Inf
GCA_000705375.2 1801 Inf
GCA_000699245.1 3478 Inf
GCA_000690715.1 5089 Inf
GCA_000688135.1 Inf Inf
GCA_000691405.1 4602 Inf
GCA_000709365.1 5068 Inf
GCA_000328365.1 905 Inf
GCA_000499605.1 Inf Inf
GCA_000499425.1 Inf Inf
GCA_000803305.1 Inf Inf
GCA_900537255.1 Inf Inf
GCA_001045655.1 Inf Inf
GCA_000816705.1 Inf Inf
GCA_003336725.1 Inf Inf
GCA_000797555.1 Inf Inf
GCA_024613185.1 1185558 Inf
GCA_026319165.1 45080 Inf
GCA_000226395.1 183098 469654
GCA_024516155.1 Inf Inf
GCA_022478725.1 97038 Inf
GCA_024761355.1 32650 Inf
GCA_000275845.1 311100 Inf
GCA_000145635.1 224650 2142019
GCA_000315625.1 Inf 441
GCA_000150505.2 27371 65984
GCA_910890315.1 296049 101802
GCA_000814965.1 944355 52284
GCA_001692895.1 Inf Inf
GCA_000349005.2 85966 Inf
GCA_003019875.1 129036 293964
GCA_000340215.1 264167 Inf
GCA_000271585.1 90229 1665146
GCA_004565275.1 93638 765
GCA_001329695.1 1363885 53610
GCA_000213175.1 169666 507142
GCA_000150735.2 23872 797281
GCA_001636715.1 71571 Inf
GCA_000006405.1 Inf 521362
GCA_001636745.1 53404 53084
GCA_000320605.2 300181 Inf
GCA_028827555.1 163319 361304
GCA_902825455.1 7966302 Inf
GCA_020740775.1 2075503 783576
GCA_020891255.1 58435 184647
GCA_004156035.1 94243 90
GCA_025770515.1 2252 Inf
GCA_020744475.1 104329 682789
GCA_005784505.1 1182 Inf
GCA_020137385.1 141683 Inf
GCA_000203815.1 14531 79977
GCA_023529315.1 Inf 1304
GCA_030220185.1 22902 Inf
GCA_000732125.1 257798 116018
GCA_026229845.1 94020 568913
GCA_021527685.1 395158 830952
GCA_001511075.1 362743 85247
GCA_025024175.1 16505021 1251426
GCA_019448385.1 101562 228360
GCA_003260565.1 371564 292097
GCA_009731335.1 220568 Inf
GCA_001048715.1 84814 552260
GCA_022606055.1 62194 Inf
GCA_000836115.1 11101 944
GCA_007182795.1 88017 Inf
GCA_008330645.1 Inf 1059
GCA_026026815.1 22635 Inf
GCA_019973155.2 Inf Inf
GCA_030435635.1 20624 520250
GCA_021605075.1 Inf Inf
GCA_001593445.1 2975 6564
GCA_005281655.2 Inf Inf
GCA_021525775.1 107035 Inf
GCA_001447515.1 Inf Inf
GCA_022478865.1 9063 Inf
GCA_023601865.2 Inf Inf
GCA_002072235.1 524412 195948
GCA_021066465.1 Inf 74720
GCA_003070745.1 Inf 92832
GCA_008802855.1 14295 Inf
GCA_000320565.2 32812 21113
GCA_001447645.1 Inf Inf
GCA_003676055.1 4054 Inf
GCA_011392965.1 Inf Inf
GCA_905071765.1 Inf Inf
GCA_013115135.1 Inf Inf
GCA_020080175.1 Inf Inf
GCA_003203535.1 14312 1726
GCA_002204255.1 24042 24399
GCA_000376725.2 Inf Inf
GCA_002249935.1 3229254 Inf
GCA_006547085.1 Inf 104
GCA_027596075.1 Inf Inf
GCA_903772945.1 Inf 741
GCA_013399435.1 4800 Inf
GCA_900604375.1 Inf Inf
GCA_003182015.1 Inf Inf
GCA_008508345.1 Inf Inf
GCA_019974015.1 Inf Inf
GCA_000708025.2 4653 Inf
GCA_008636005.1 Inf 1206
GCA_000797535.1 Inf Inf
GCA_000715545.1 Inf Inf
GCA_000520075.1 Inf 288057
GCA_000188695.1 652668 419071
GCA_000499385.1 Inf Inf
GCA_000143925.2 Inf Inf
GCA_000699145.1 Inf Inf
GCA_000747805.2 5157 Inf
GCA_003991915.1 5310 Inf
GCA_902702965.1 297963 Inf
GCA_000687185.1 4726 Inf
GCA_013400445.1 4159 Inf
GCA_000696875.1 4500 Inf
GCA_000691845.1 4471 Inf
GCA_000690535.1 4651 Inf
GCA_000690775.1 4716 Inf
GCA_000765035.1 Inf Inf
GCA_000687285.1 4632 Inf
GCA_000695765.1 4109 Inf
GCA_000699105.1 4743 2410187
GCA_000700745.2 4207 Inf
GCA_000687375.1 4876 Inf
GCA_000695195.1 4257 Inf
GCA_000695815.1 4592 Inf
GCA_018107945.1 Inf 1218
GCA_001276565.1 1633944 1388465
GCA_003427395.1 Inf 15249
GCA_902706635.1 1257296 1197
GCA_011754075.1 3867 Inf
GCA_026937265.1 Inf Inf
GCA_000816745.1 Inf Inf
GCA_002352805.1 Inf Inf
GCA_004154835.1 Inf 99
GCA_001466705.2 Inf 78260
GCA_000006515.1 36565 384965
GCA_000708205.1 21252 164957
GCA_000516985.1 17076 168578
GCA_000182565.2 27306 144156
GCA_001299535.1 Inf 29033
GCA_000709895.1 4673 Inf
GCA_000710305.1 5258 Inf
GCA_000751175.1 Inf Inf
GCA_000320585.2 425998 977057
GCA_001477545.1 95829 Inf
GCA_000769265.1 Inf Inf
GCA_000271645.1 747578 1061321
GCA_000523435.1 Inf 102
GCA_000739165.1 74947 273354
GCA_000464535.1 4763 48180
GCA_000298775.1 Inf 320141
GCA_932364175.1 Inf 743
GCA_001186125.1 Inf Inf
GCA_000209125.2 Inf Inf
GCA_001636795.1 41605 233372
GCA_002760635.1 258826 729132
GCA_015179015.1 255949 438
GCA_002092935.1 1331968 47396
GCA_000827315.1 20567 Inf
GCA_000827485.1 Inf 464100
GCA_015951145.1 Inf Inf
GCA_000383075.1 11131 Inf
GCA_030270665.1 7610046 706
GCA_943737965.1 3770 Inf
GCA_014108415.1 334 Inf
GCA_014108245.1 6826 Inf
GCA_947459285.1 282230 1110229
GCA_013202065.2 703374 Inf
GCA_020746995.1 10789 25450
GCA_020360975.1 Inf 5233312
GCA_028828655.1 49156 1220854
GCA_013390195.1 52457 203337
GCA_918797485.1 24546 678
GCA_011075155.1 52100 215097
GCA_028828875.1 136043 315089
GCA_023375755.1 544973 198706
GCA_030435815.1 45346 1083822
GCA_026261945.1 2229178 706
GCA_019788955.1 1778 Inf
GCA_024862765.1 54149 59002
GCA_003851025.1 180190 264009
GCA_011823955.1 1203 Inf
GCA_013053245.1 60279 74033
GCA_019364595.1 579792 124513
GCA_903813345.2 5721 Inf
GCA_030407055.1 816837 Inf
GCA_020726555.1 241250 60477
GCA_009299455.1 751576 282391
GCA_014180765.2 664566 1512
GCA_019671135.1 196733 1102670
GCA_022606195.1 85196 Inf
GCA_025882075.1 5499 401988
GCA_020744425.1 108024 35505
GCA_021927905.1 Inf 775509
GCA_029706075.1 1840 Inf
GCA_019787685.1 Inf 6038
GCA_020744185.1 200517 1814848
GCA_020744225.1 29110 Inf
GCA_015342445.1 597389 984
GCA_025504975.1 Inf 60296
GCA_022376465.1 306611 140482
GCA_933666425.1 6776151 Inf
GCA_014898415.1 150171 619949
GCA_026008595.1 4435 146731
GCA_029948375.1 208338 337292
GCA_004522665.1 65358 Inf
GCA_003942205.1 26854 99096
GCA_015698045.1 Inf Inf
GCA_021365365.1 945595 Inf
GCA_021365295.1 63398 398056
GCA_900519145.1 23707 Inf
GCA_022264815.1 174698 296208
GCA_018340605.1 432464 775304
GCA_018397855.1 16072 Inf
GCA_024699855.1 350507 469264
GCA_003942215.1 21261 113527
GCA_025526995.1 57129 Inf
GCA_000835515.1 10423 119105
GCA_001896365.1 81935 Inf
GCA_000836275.1 12056 301562
GCA_018859375.1 10221 Inf
GCA_023159155.1 440253 Inf
GCA_000835495.1 10212 678705
GCA_933228535.1 Inf Inf
GCA_025766275.1 205829 Inf
GCA_013368325.1 1275489 180256
GCA_019973935.1 Inf Inf
GCA_949089665.1 280472 Inf
GCA_022606235.1 219451 49101
GCA_022385695.1 79620 Inf
GCA_020186115.1 Inf 134398
GCA_024613165.1 371187 Inf
GCA_002105105.1 134591 Inf
GCA_003013735.1 70075 248370
GCA_007026445.1 20345 184483
GCA_001481775.2 Inf 81652
GCA_013358835.2 9635 Inf
GCA_018404265.1 987554 69709
GCA_918697745.1 943 Inf
GCA_001642045.1 589759 680300
GCA_018342105.1 Inf Inf
GCA_016628565.1 10686 Inf
GCA_000836295.1 194379 291320
GCA_022495235.1 86677 Inf
GCA_005406025.1 Inf Inf
GCA_001865345.1 Inf 12213
GCA_022478825.1 83812 108872
GCA_009193545.1 53511 83214
GCA_022606075.1 19522 204559
GCA_000006335.3 67096 205584
GCA_000004255.1 190297 727
GCA_000499545.1 Inf Inf
GCA_000203795.1 329691 840578
GCA_000151335.1 412534 28225
GCA_000143415.2 551695 82388
GCA_000471905.1 2096717 3346
GCA_002926055.1 58642 7095
GCA_000182805.2 396219 679155
GCA_000151265.1 807 846
GCA_014805625.1 3323422 Inf
GCA_002926085.1 3291 96627
GCA_000002865.1 267042 Inf
GCA_023376855.1 52022 Inf
GCA_900074885.1 119500 Inf
GCA_014839935.2 Inf Inf
GCA_009193445.1 65344 Inf
GCA_010724455.1 Inf Inf
GCA_000264905.1 209307 230919
GCA_022376515.1 484588 Inf
GCA_003268315.1 345178 102
GCA_025331435.1 323817 Inf
GCA_030512325.1 131977 228318
