GC Protein human_name arabidopsis_name organism
GCF_003327715.1 XP_025787821.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Puma concolor"
GCF_000699245.1 XP_010073462.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Pterocles gutturalis"
GCF_000690715.1 XP_010201418.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Colius striatus"
GCF_000691405.1 XP_009920809.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Haliaeetus albicilla"
GCF_000691405.1 XP_009910837.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Haliaeetus albicilla"
GCF_001652005.2 XP_026673807.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Ceratina calcarata"
GCF_001652005.2 XP_017889034.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Ceratina calcarata"
GCF_000709365.1 XP_009991439.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Tauraco erythrolophus"
GCF_000709365.1 XP_009981253.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Tauraco erythrolophus"
GCF_000732505.1 XP_015231368.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cyprinodon variegatus"
GCF_000499425.1 XP_013249626.1 "DNA mismatch repair protein Msh6" "MUTS homolog 7 [Arabidopsis thaliana]" "Eimeria acervulina"
GCF_000499425.1 XP_013249117.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS-like protein 4 [Arabidopsis thaliana]" "Eimeria acervulina"
GCF_000696425.1 XP_008584424.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Galeopterus variegatus"
GCF_000225785.1 XP_006009848.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Latimeria chalumnae"
GCF_000225785.1 XP_006012929.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Latimeria chalumnae"
GCF_000150735.1 XP_010763729.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Paracoccidioides brasiliensis Pb18"
GCF_014805625.2 XP_037882852.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Glossina fuscipes"
GCF_000006405.1 XP_002765687.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Perkinsus marinus ATCC 50983"
GCF_000006405.1 XP_002775121.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Perkinsus marinus ATCC 50983"
GCF_000006405.1 XP_002782124.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Perkinsus marinus ATCC 50983"
GCF_022079265.1 XP_046925321.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Lynx rufus"
GCF_018153295.1 XP_001988769.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila grimshawi"
GCF_018152505.1 XP_017117082.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila elegans"
GCF_018153845.1 XP_017097136.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila bipectinata"
GCF_027474105.1 XP_054898688.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Poeciliopsis prolifica"
GCF_028827555.1 XP_056808546.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Penicillium brevicompactum"
GCF_028827555.1 XP_056816570.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Penicillium brevicompactum"
GCF_003285905.1 XP_023172222.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila hydei"
GCF_002926085.2 XP_025337133.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "[Candida] duobushaemulonis"
GCF_002926085.2 XP_025337171.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "[Candida] duobushaemulonis"
GCF_003285875.2 XP_030569878.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila novamexicana"
GCF_020744475.1 XP_046049052.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Fusarium redolens"
GCF_020137385.1 XP_044694779.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Morchella sextelata"
GCF_000203815.1 XP_004351969.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Cavenderia fasciculata"
GCF_000203815.1 XP_004357202.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cavenderia fasciculata"
GCF_000732125.1 XP_016644152.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Scedosporium apiospermum"
GCF_026229845.1 XP_052991092.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Diaporthe amygdali"
GCF_026229845.1 XP_052997778.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Diaporthe amygdali"
GCF_902827175.1 XP_034068846.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Gymnodraco acuticeps"
GCF_000612105.2 XP_012276935.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Orussus abietinus"
GCF_000836115.1 XP_016231563.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Exophiala spinifera"
GCF_000836115.1 XP_016237061.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Exophiala spinifera"
GCF_005281655.2 XP_029177484.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Nylanderia fulva"
GCF_005190385.1 XP_029087384.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Monodon monoceros"
GCF_010614865.2 XP_035209912.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Stegodyphus dumicola"
GCF_010614865.2 XP_035209911.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Stegodyphus dumicola"
GCF_004028035.1 XP_027959840.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Eumetopias jubatus"
GCF_023601865.1 XP_052952617.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aspergillus affinis"
GCF_019238085.1 XP_042744557.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Lagopus leucura"
GCF_017639235.1 XP_041907586.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Corvus kubaryi"
GCF_002072235.1 XP_040817863.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Penicillium solitum"
GCF_008802855.1 XP_031334825.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Photinus pyralis"
GCF_000320565.1 XP_016760514.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Sphaerulina musiva SO2202"
GCF_000320565.1 XP_016758990.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS-like protein 4 [Arabidopsis thaliana]" "Sphaerulina musiva SO2202"
GCF_003676075.3 XP_027790230.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Marmota flaviventris"
GCF_003676075.3 XP_027790231.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Marmota flaviventris"
GCF_001604755.1 XP_017693326.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Lepidothrix coronata"
GCF_001604755.1 XP_017668280.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Lepidothrix coronata"
GCF_000952055.2 XP_012329152.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aotus nancymaae"
GCF_000955945.1 XP_011925724.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cercocebus atys"
GCF_000955945.1 XP_011925725.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cercocebus atys"
GCF_000955945.1 XP_011925723.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cercocebus atys"
GCF_001431845.1 XP_014817855.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Calidris pugnax"
GCF_011392965.1 XP_043520712.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Frieseomelitta varia"
GCF_907164565.1 XP_055475474.1 "DNA mismatch repair protein Msh6" "MUTS homolog 7 [Arabidopsis thaliana]" "Psammomys obesus"
GCF_907164565.1 XP_055475435.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Psammomys obesus"
GCF_025091365.1 XP_050523143.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Daktulosphaira vitifoliae"
GCF_009176505.1 XP_055296791.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Sitodiplosis mosellana"
GCF_000696695.1 XP_008529130.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Equus przewalskii"
GCF_030028575.1 XP_057239969.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Malurus melanocephalus"
GCF_030028575.1 XP_057239970.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Malurus melanocephalus"
GCF_000671375.1 XP_023233110.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Centruroides sculpturatus"
GCF_000806365.1 XP_011305124.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Fopius arisanus"
GCF_000708025.1 XP_009893154.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Charadrius vociferus"
GCF_000164805.1 XP_021575176.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Carlito syrichta"
GCF_000956235.1 XP_011703269.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Wasmannia auropunctata"
GCF_000243295.1 XP_004369541.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Trichechus manatus latirostris"
GCF_000715545.1 XP_009165692.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Opisthorchis viverrini"
GCF_000520075.1 XP_009841765.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aphanomyces astaci"
GCF_000520075.1 XP_009844097.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 6 [Arabidopsis thaliana]" "Aphanomyces astaci"
GCF_001698545.2 XP_017703511.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Rhinopithecus bieti"
GCF_000188695.1 XP_004989716.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Salpingoeca rosetta"
GCF_000188695.1 XP_004995392.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Salpingoeca rosetta"
GCF_001723895.1 XP_019404893.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Crocodylus porosus"
GCF_900005855.1 XP_028528586.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Plasmodium gallinaceum"
GCF_900005855.1 XP_028530834.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Plasmodium gallinaceum"
GCF_000499385.1 XP_013439064.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Eimeria necatrix"
GCF_000699145.1 XP_019329280.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aptenodytes forsteri"
GCF_000747805.2 XP_010003301.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Chaetura pelagica"
GCF_001313825.1 XP_014488445.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Dinoponera quadriceps"
GCF_000687185.1 XP_035759547.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Egretta garzetta"
GCF_000181295.1 XP_023367831.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Otolemur garnettii"
GCF_000696875.1 XP_010013428.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Nestor notabilis"
GCF_000696875.1 XP_010011477.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Nestor notabilis"
GCF_000691845.1 XP_008933992.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Merops nubicus"
GCF_000690535.1 XP_009705270.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cariama cristata"
GCF_000690535.1 XP_009698903.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cariama cristata"
GCF_000690775.1 XP_010154515.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Eurypyga helias"
GCF_000687285.1 XP_010295501.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Phaethon lepturus"
GCF_000695765.1 XP_010179280.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Mesitornis unicolor"
GCF_018167655.1 XP_041487019.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Microtus oregoni"
GCF_943737965.1 XP_051031186.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Phodopus roborovskii"
GCF_028551555.1 XP_054146160.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Melozone crissalis"
GCF_014108415.1 XP_036119004.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Molossus molossus"
GCF_014108415.1 XP_036119005.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Molossus molossus"
GCF_014108415.1 XP_036119003.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Molossus molossus"
GCF_018152535.1 XP_017026253.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila kikkawai"
GCF_026119805.1 XP_052538089.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Tympanuchus pallidicinctus"
GCF_009764315.1 XP_033031679.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Trachypithecus francoisi"
GCF_025592945.1 XP_051639540.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Manacus candei"
GCF_018152115.1 XP_016990077.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila rhopaloa"
GCF_018152695.1 XP_017002944.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila takahashii"
GCF_014108245.1 XP_036291137.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Pipistrellus kuhlii"
GCF_014108245.1 XP_036291140.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Pipistrellus kuhlii"
GCF_018152265.1 XP_017044054.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila ficusphila"
GCF_019054845.1 XP_042531426.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Dipodomys spectabilis"
GCF_013123115.1 XP_043252756.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Colletes gigas"
GCF_020360975.1 XP_044715544.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Hirsutella rhossiliensis"
GCF_028828655.1 XP_057078704.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Penicillium verrucosum"
GCF_013390195.1 XP_036496775.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Colletotrichum siamense"
GCF_013390195.1 XP_036501187.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Colletotrichum siamense"
GCF_011075155.1 XP_035327545.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Colletotrichum scovillei"
GCF_011075155.1 XP_035335447.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Colletotrichum scovillei"
GCF_018151105.1 XP_022223308.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila obscura"
GCF_028554395.1 XP_057256053.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Pezoporus wallicus"
GCF_003851025.1 XP_027618428.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Sparassis crispa"
GCF_003851025.1 XP_027609097.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Sparassis crispa"
GCF_011952255.1 XP_033361589.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Bombus vosnesenskii"
GCF_011952255.1 XP_033361588.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Bombus vosnesenskii"
GCF_011952255.1 XP_033361586.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Bombus vosnesenskii"
GCF_011952255.1 XP_033361585.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Bombus vosnesenskii"
GCF_011952255.1 XP_033361584.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Bombus vosnesenskii"
GCF_011952255.1 XP_033361590.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Bombus vosnesenskii"
GCF_020726555.1 XP_046003091.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Boeremia exigua"
GCF_020726555.1 XP_045999141.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Boeremia exigua"
GCF_018153835.1 XP_017068158.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila eugracilis"
GCF_025882075.1 XP_052943359.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Dioszegia hungarica"
GCF_003945595.2 XP_027568821.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Pipra filicauda"
GCF_003942205.1 XP_028479828.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Apiotrichum porosum"
GCF_003942205.1 XP_028475497.1 "DNA mismatch repair protein Msh2" "MUTS homolog 6 [Arabidopsis thaliana]" "Apiotrichum porosum"
GCF_021365365.1 XP_046105647.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Ilyonectria robusta"
GCF_021365365.1 XP_046112373.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Ilyonectria robusta"
GCF_900519145.1 XP_041410120.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Ustilago hordei"
GCF_022264815.1 XP_047777565.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Rhodofomes roseus"
GCF_022264815.1 XP_047778094.1 "DNA mismatch repair protein Msh6" "MUTS homolog 2 [Arabidopsis thaliana]" "Rhodofomes roseus"
GCF_018340605.1 XP_043158354.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aspergillus pseudoviridinutans"
GCF_000835515.1 XP_016257562.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Exophiala oligosperma"
GCF_001896365.1 XP_040728745.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Talaromyces amestolkiae"
GCF_010416935.1 XP_043502900.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Polistes fuscatus"
GCF_010416935.1 XP_043502899.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Polistes fuscatus"
GCF_010416935.1 XP_043502902.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Polistes fuscatus"
GCF_000836275.1 XP_016227855.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Exophiala mesophila"
GCF_000835495.1 XP_016248203.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cladophialophora immunda"
GCF_013122585.1 XP_039248324.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Styela clava"
GCF_029017545.1 XP_054793833.1 "DNA mismatch repair protein Msh6" "MUTS homolog 7 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054791375.1 "DNA mismatch repair protein Msh6" "MUTS homolog 7 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054805696.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054805697.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054814711.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054788928.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054801971.1 "DNA mismatch repair protein Msh2" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054801975.1 "DNA mismatch repair protein Msh6" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054801969.1 "DNA mismatch repair protein Msh2" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054801976.1 "DNA mismatch repair protein Msh6" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054801970.1 "DNA mismatch repair protein Msh2" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054801974.1 "DNA mismatch repair protein Msh6" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_029017545.1 XP_054801972.1 "DNA mismatch repair protein Msh6" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Prosopis cineraria"
GCF_002105105.1 XP_040726512.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Protomyces lactucae-debilis"
GCF_002105105.1 XP_040725146.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS-like protein 4 [Arabidopsis thaliana]" "Protomyces lactucae-debilis"
GCF_003013735.1 XP_024714438.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "[Candida] pseudohaemulonii"
GCF_003013735.1 XP_024714478.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "[Candida] pseudohaemulonii"
GCF_001481775.2 XP_018664794.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Trichoderma gamsii"
GCF_001481775.2 XP_018660991.1 "DNA mismatch repair protein Msh2" "MUTS homolog 6 [Arabidopsis thaliana]" "Trichoderma gamsii"
GCF_018404265.1 XP_043124610.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aspergillus viridinutans"
GCF_001642045.1 XP_018033752.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Paraphaeosphaeria sporulosa"
GCF_001642045.1 XP_018039440.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Paraphaeosphaeria sporulosa"
GCF_000836295.1 XP_016212880.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Verruconis gallopava"
GCF_000836295.1 XP_016213903.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Verruconis gallopava"
GCF_003009895.1 XP_039101880.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Hyaena hyaena"
GCF_001865345.1 XP_028875081.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cryptosporidium ubiquitum"
GCF_022478825.1 XP_047790667.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Daldinia caldariorum"
GCF_022478825.1 XP_047789176.1 "DNA mismatch repair protein Msh6" "MUTS homolog 2 [Arabidopsis thaliana]" "Daldinia caldariorum"
GCF_014066325.1 XP_043804328.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Apis laboriosa"
GCF_004348235.1 XP_032266919.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Phoca vitulina"
GCF_004348235.1 XP_032266918.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Phoca vitulina"
