Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Non-coding
GCA_011762595.1	mTurTru1.mat.Y	Tursiops truncatus					mTurTru1	male		2378505825	Chromosome	3/27/20	JAAOMD01	9729386	108430135							PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA608726	SAMN12326775				
GCA_901000725.2	fTakRub1.2	Takifugu rubripes								384110215	Chromosome	6/5/19	CAAJGN02	3136617	16705553								SC	PRJEB31988	SAMEA104384834				
GCA_001640805.2	TLL_Latcal_v3	Lates calcarifer					ASB-BC8	male		673797687	Chromosome	8/1/22	LLXD02	1379868	25538952							Illumina HiSeq; PacBio	Temasek Life Sciences Laboratory	PRJNA294489	SAMN04026617				
GCA_902201215.1	ALMONDv2	Prunus dulcis							Annotation submitted by CNAG	227599157	Chromosome	10/10/19	CABIKO01	115182	24375383								CNAG	PRJEB32994	SAMEA5704668	109390	27984		6457
GCA_000004555.3	CB4	Caenorhabditis briggsae		AF16					Annotation submitted by The C.briggsae Sequencing Consortium	108384165	Chromosome	7/2/14	CAAC03	45098	727881								The C.briggsae Sequencing Consortium	PRJNA10731	SAMEA3138181	22739	21934		805
GCA_016801865.2	TS_CPP_V2	Culex pipiens pallens					TS	female		566339288	Chromosome	8/5/22	JADCQB02	794805	186194774							PacBio Sequel	Shandong First Medical University	PRJNA668557	SAMN16414976				
GCA_003704035.3	HU_Pman_2.1.3	Peromyscus maniculatus bairdii					BW	female		2512423440	Chromosome	9/17/20	RCWR01	30111	115033041							Illumina HiSeq	Harvard University / Howard Hughes Medical Institute	PRJNA494228	SAMN10150431				
GCA_000165345.1	ASM16534v1	Cryptosporidium parvum Iowa II					Iowa type II		Annotation submitted by Univ. Minnesota	9102324	Chromosome	2/26/07	AAEE01	1014526	1104417								Univ. Minnesota	PRJNA144	SAMN02952908	3887	3805		81
GCA_017639315.2	ASM1763931v2	Drosophila ananassae		14024-0371.13				pooled male and female		213817545	Chromosome	7/16/21	JACRYV02	26427416	26427416							PacBio Sequel II; Oxford Nanopore MinION	"University of Maryland, Baltimore"	PRJNA602597	SAMN13901672				
GCA_028641065.1	Leri_hhj_1	Leucoraja erinacea				New England				2190844947	Chromosome	2/22/23	JAMYXN01	5310386	57189699							Illumina; PacBio Sequel	Okinawa Institute of Science and Technology	PRJNA783899	SAMN23457310				
GCA_002021735.2	Okis_V2	Oncorhynchus kisutch					150728-3	female		2375894934	Chromosome	11/4/19	MPKV02	1159298	68265700							PacBio Sequel; Illumina HiSeq; PacBio RSII	University of Victoria	PRJNA352719	SAMN05991263				
GCA_002706865.3	ASM270686v3	Spodoptera litura		Ishihara				male		429567674	Chromosome	10/25/17	MTZO01	68785	929586							Illumina HiSeq	Southwest University	PRJNA344815	SAMN05845584				
GCA_000633615.2	Guppy_female_1.0+MT	Poecilia reticulata		Guanapo				female		731605743	Chromosome	4/28/14	AZHG01	41913	5270359							Illumina GAII	Max Planck Institute for Developmental Biology	PRJNA238429	SAMN02404645				
GCA_000346735.1	P.mume_V1.0	Prunus mume					4			233872527	Chromosome	3/18/13	AOHF01	32259	636887							Illumina Hiseq2000	BGI	PRJNA171605	SAMN02981503				
GCA_021901695.1	Pst134E36_v1_pri	Puccinia striiformis f. sp. tritici		134E16A+17+33+					Annotation submitted by Australian National University	89491239	Chromosome	2/3/22	JAIUNB01	759712	4700190							Oxford Nanopore MinION; Illumina NextSeq; HiC	Australian National University	PRJNA749614	SAMN20585433	17813	17118		695
GCA_004115265.3	mRhiFer1_v1.p	Rhinolophus ferrumequinum					MPI-CBG mRhiFer1	female		2075768562	Chromosome	5/17/19	RXPC01	31900497	88025743							PacBio Sequel; 10X Genomics linked reads; Bionano Genomics 2 enzyme; Phase Genomics HiC	Vertebrate Genomes Project	PRJNA489106	SAMN09948510				
GCA_902850365.2	PGI_CHILSU_V6	Chilo suppressalis							Annotation submitted by ROTHAMSTED RESEARCH	783446955	Chromosome	9/9/22	CADHSE02	20158388	28297866								ROTHAMSTED RESEARCH	PRJEB37827	SAMEA6714139	11366	11366		
GCA_902829305.4	PGI_SPEXI_v6	Spodoptera exigua							Annotation submitted by ROTHAMSTED RESEARCH	450885128	Chromosome	10/8/22	CADEPN05	15037799	15192570							PacBio Sequel I	ROTHAMSTED RESEARCH	PRJEB36598	SAMEA6531805	13002	13002		
GCA_022985175.1	IGBB_LRoh.1.0	Labeo rohita		BAU-BD-2019				male	Annotation submitted by Mississippi State University	1126541939	Chromosome	4/19/22	JACTAM01	1265157	37901974							Oxford Nanopore GridION; Illumina HiSeq	Mississippi State University	PRJNA650519	SAMN15716776	31274	25501	5773	
GCA_002007445.3	ASM200744v3	Ailuropoda melanoleuca					Jingjing	female		2440260518	Chromosome	4/20/20	LNAT02	127687	129245720							Illumina; 10X Genomics; Flow-sorted chromosome sequencing	"Institute of Zoology, Chinese Academy of Sciences"	PRJNA588422	SAMN04193337				
GCA_000090745.2	AnoCar2.0	Anolis carolinensis								1799126364	Chromosome	1/10/11	AAWZ02	79867	4033265							ABI	Broad Institute	PRJNA18787	SAMN02981230				
GCA_018687715.1	C.illinoinensisPawnee_v1	Carya illinoinensis			Pawnee				Annotation submitted by DOE Joint Genome Institute	674272338	Chromosome	6/3/21	JAEDWW01	26032966	26527444							PacBio Sequel2	DOE Joint Genome Institute	PRJNA680556	SAMN16882287	32267	32267		
GCA_016746365.2	Prin_Dyak_Tai18E2_2.1	Drosophila yakuba		Tai18E2				female		147883098	Chromosome	7/30/21	JAEDAC02	18744361	25180761							PacBio RSII; Illumina HiSeq	Princeton University	PRJNA647028	SAMN15573791				
GCA_018812025.1	ASM1881202v1	Megalobrama amblycephala					DHTTF-2021	female		1109871993	Chromosome	6/9/21	JAGTWI01	2576066	42265598							PacBio RSII	Huazhong Agricultural University	PRJNA343584	SAMN18522313				
GCA_010993605.1	kPetMar1.pri	Petromyzon marinus					kPetMar1	male		1089034212	Chromosome	2/24/20	JAAIYE01	2540784	12997950							PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA562011	SAMN12629506				
GCA_003573695.1	ASM357369v1	Papaver somniferum			HN1				Annotation submitted by Xi'an Jiaotong University	2715377404	Chromosome	9/18/18	PUWZ01	1773300	204470928							Illumina HiSeq; PacBio; 10X Genomics; Oxford Nanopore	Xi'an Jiaotong University	PRJNA435796	SAMN08604995	51212	51212		
GCA_003073045.1	ASM307304v1	Pomacea canaliculata					SZHN2017	female	"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	440143917	Chromosome	5/11/18	PZQS01	1072857	31531291							Illumina HiSeq; PacBio	"Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	PRJNA427478	SAMN08443704	21725	21383	148	194
GCA_029721355.1	KUTeg	Tegillarca granosa					Teg-2019		Annotation submitted by Korea University	915485251	Chromosome	4/18/23	JARBDR01	463414	45661362							PacBio Sequel; Illumina NovaSeq	Korea University	PRJNA670820	SAMN16521156	25076	25076		
GCA_014839805.1	JHU_Msex_v1.0	Manduca sexta					Smith_Timp_Sample1			470021481	Chromosome	10/2/20	JACVES01	424948	14248853							Oxford Nanopore MinION; Illumina NovaSeq	Johns Hopkins University	PRJNA658700	SAMN15881793				
GCA_001876935.1	Aspof.V1	Asparagus officinalis						male	Annotation submitted by University of Georgia	1187538024	Chromosome	2/6/17	MPDI01	46553	131339754							Illumina HiSeq	University of Georgia	PRJNA317340	SAMN04606231	27986	27395		591
GCA_016808095.1	ASM1680809v1	Vigna angularis			LongXiaoDou No.4				Annotation submitted by Heilongjiang Academy of Agricultural Sciences	447806493	Chromosome	2/4/21	JABFOF01	16516761	41033850							PacBio Sequel	Heilongjiang Academy of Agricultural Sciences	PRJNA629451	SAMN14776547	25941	25910		
GCA_018350195.2	P.tigris_Pti1_mat1.1	Panthera tigris					Pti1	female		2408678698	Chromosome	5/13/21	JAEQMW01	74391967	146942463							PacBio Sequel 2	Texas A&M University	PRJNA684344	SAMN17054330				
GCA_000147395.3	OglaRS2	Oryza glaberrima								347321046	Chromosome	3/10/21	ADWL02	15217274	15217274							PacBio	The Oryza Map Alignment Project (OMAP)	PRJNA13765	SAMN02981267				
GCA_027358585.1	fPanHyp1.pri	Pangasianodon hypophthalmus					fPanHyp1			764974446	Chromosome	12/28/22	JAPZKW01	13007371	26128932							PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA914796	SAMN32348883				
GCA_004193775.2	ASM419377v2	Glycine soja			W05				Annotation submitted by The Chinese University of Hong Kong	1013211804	Chromosome	2/21/19	QZWG01	3331191	50696784							PacBio RSII; Illumina HiSeq	The Chinese University of Hong Kong	PRJNA486704	SAMN09862384	55539	55539		
GCA_025999795.1	ASM2599979v1	Monascus purpureus		KUPM5					Annotation submitted by The United Graduate School of Agricultural Sciences Kagoshima University	24475985	Chromosome	10/6/22		3075987	3075987							MinION; Illumina Novaseq 6000	The United Graduate School of Agricultural Sciences Kagoshima University	PRJDB11993	SAMD00393899	9270	9151		119
GCA_013340165.1	LBDM_Dsuz_2.1.pri	Drosophila suzukii		WT3_2.0						268012156	Chromosome	6/15/20	WWNF01	2609782	2609782							PacBio Sequel	Institut de Biologie du Developpement de Marseille	PRJNA594550	SAMN13521054				
GCA_016771965.1	ASM1677196v1	Brassica carinata					sxm20200214		Annotation submitted by North China University of Science and Technology	1086987601	Chromosome	1/29/21	JAAMPC01	1386329	58891064							Illumina; Nanopore; Hi-C	North China University of Science and Technology	PRJNA605599	SAMN14072354	97148	97148		
GCA_000803125.3	CamDro3	Camelus dromedarius	African				Drom800	female	Annotation submitted by Vetmeduni Vienna	2169346739	Chromosome	10/7/19	JWIN03	236391	70369702							Illumina HiSeq; Dovetail Hi-C and Chicago; PacBio Sequel	Vetmeduni Vienna	PRJNA269274	SAMN03252735	22223	22223		
GCA_009731565.1	Dplex_v4	Danaus plexippus plexippus					F-2	female		248676414	Chromosome	12/11/19	DUEA01	108026	9209872							Illumina HiSeq	Princeton University	PRJNA564985	SAMN01758044				
GCA_026262505.1	NYU_TvagG3_2	Trichomonas vaginalis G3		G3					Annotation submitted by New York University	181466644	Chromosome	11/21/22	JAOSJJ01	541230	27737965							PacBio; Illumina; Hi-C	New York University	PRJNA885811	SAMN31107788	88188	72290	15274	624
GCA_020171115.1	ASM_NN_V1	Neogale vison					M4711	female		2681198719	Chromosome	9/29/21	JAIAWX01	220349319	220349319							PacBio Sequel; Illumina HiSeq	Dalhousie University	PRJNA741394	SAMN19764019				
GCA_028408465.1	idAnaLude1.1	Anastrepha ludens					Willacy	male		820766187	Chromosome	2/6/23	JAKYJY01	78300995	131385309							PacBio Sequel	United States Department of Agriculture	PRJNA803324	SAMN25644084				
GCA_028554725.2	idZeuCucr1.2	Zeugodacus cucurbitae					PBARC_wt_2022May	male		439243742	Chromosome	2/9/23	JAQFWH01	74843483	75513634							PacBio Sequel	United States Department of Agriculture	PRJNA906626	SAMN31932898				
GCA_902635505.1	mSarHar1.11	Sarcophilus harrisii								3086657325	Chromosome	11/7/19	CACPPN01	62339597	611347268								SC	PRJEB35073	SAMEA6099886				
GCA_003369695.2	UOA_Brahman_1	Bos indicus x Bos taurus	Angus x Brahman F1 hybrid					male		2680953056	Chromosome	11/30/18	PUFS02	26764281	104466507							PacBio Sequel; PacBio RSII; Illumina NextSeq	University of Adelaide	PRJNA432857	SAMN08473802				
GCA_943734745.1	idAnoDarlMG_H_01	Anopheles darlingi								181637336	Chromosome	6/24/22	CALSDZ01	19203082	94951917								WELLCOME SANGER INSTITUTE	PRJEB53253	SAMEA12928218				
GCA_905115235.1	iHerIll2.2.curated.20191125	Hermetia illucens							Annotation submitted by CAM	1004932590	Chromosome	11/21/20	CAJHNG01	16011611	180357958								CAM	PRJEB37575	SAMEA6847289	16478	16472	6	
GCA_020283565.1	ARS_RC_1.1	Trifolium pratense			HEN17-A07					413578898	Chromosome	10/13/21	JAIHMJ01	3204466	57907604							PacBio Sequel	USDA ARS	PRJNA754186	SAMN20750279				
GCA_900634795.4	fBetSpl5.4	Betta splendens								426984265	Chromosome	3/10/23	CAAAFW04	2574972	19821211							"PacBio,Illumina"	Wellcome Sanger Institute	PRJEB30365	SAMEA104381735				
GCA_020310875.1	C.richardii_v2	Ceratopteris richardii			Hn-n		Whitten #5841		Annotation submitted by Open Green Genomes Project	7462456809	Chromosome	11/5/21	JAIKUY01	2271383	2273607							PacBio Sequel	Open Green Genomes Project	PRJNA729743	SAMN19646020	36816	36816		
GCA_019176455.1	IFAPA_SoseM_1	Solea senegalensis					Sse05_10M	male	Annotation submitted by IFAPA	603518608	Chromosome	7/9/21	JAGKHQ01	1188264	26091242							Oxford Nanopore MinION	IFAPA	PRJNA643826	SAMN15430148	27173	27173		
GCA_013339765.2	BIME_HaeL_1.3	Haemaphysalis longicornis					HaeL-2018		Annotation submitted by TIGMIC Group	2554731864	Chromosome	6/16/20	JABSTR01	740000	204922340							PacBio Sequel	TIGMIC Group	PRJNA633311	SAMN14941058	25651	25651		
GCA_003590095.1	tn1	Trichoplusia ni					ovarian cell line Hi5			368211209	Chromosome	9/24/18	NKQN01	621965	14205900							PacBio; Illumina NextSeq	University of Massachusetts Medical School	PRJNA336361	SAMN07304761				
GCA_026875155.2	ASM2687515v2	Cherax quadricarinatus					HC-2022	male		5247605071	Chromosome	12/14/22	JAPQEV01	146379	45061517							Illumina HiSeq; PacBio Sequel	Zhejiang Academy of Agricultural Sciences	PRJNA905544	SAMN31875550				
GCA_000317375.1	MicOch1.0	Microtus ochrogaster					Prairie Vole_2	female		2287340943	Chromosome	12/7/12	AHZW01	21250	17270019							Illumina Hi-Seq	Broad Institute	PRJNA72443	SAMN00727831				
GCA_004355905.1	PgNI	Pyricularia grisea		NI907					Annotation submitted by Academia Sinica	44557582	Chromosome	3/19/19	RRCK01	298533	5912490							Illumina HiSeq	Academia Sinica	PRJNA507314	SAMN10496230	12441	12441		
GCA_013100865.1	CAS_Tse_1.0	Trachemys scripta elegans					TJP31775			2126182493	Chromosome	5/15/20	VIRI01	204575	140411086							Illumina NovaSeq; PacBio	California Academy of Sciences	PRJNA552319	SAMN12189062				
GCA_029281585.1	NHGRI_mGorGor1-v1.1-0.2.freeze_pri	Gorilla gorilla gorilla					KB3781	male		3600562452	Chromosome	3/20/23	JARGGP01	118427599	151559850							PacBio Sequel; Oxford Nanopore PromethION	"National Human Genome Research Institute, National Institutes of Health"	PRJNA942267	SAMN04003007				
GCA_026652325.1	ASM2665232v1	Pleurodeles waltl					20211129_DDA	female	Annotation submitted by The Max Planck Institute of Molecular Cell Biology and Genetics	20300781645	Chromosome	12/5/22	JANPWB01	45590032	1237754594							PacBio Sequel; Illumina NovaSeq	The Max Planck Institute of Molecular Cell Biology and Genetics	PRJNA847026	SAMN28911188	13359	13359		
GCA_015237465.2	rCheMyd1.pri.v2	Chelonia mydas					rCheMyd1	male		2134358617	Chromosome	7/15/21	JADCQM02	39415510	134428053							PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561941	SAMN12612360				
GCA_020085105.1	ASM2008510v1	Siniperca chuatsi					FFG_IHB_CAS	female		718804017	Chromosome	9/24/21	JAHXMP01	20478450	30013189							Illumina HiSeq; Oxford Nanopore	Chinese Academy of Sciences	PRJNA738969	SAMN19768590				
GCA_917627325.4	PGI_CHIRRI_v4	Chironomus riparius							Annotation submitted by ROTHAMSTED RESEARCH	191837449	Chromosome	10/18/22	CAKJTK04	19590381	58906861							PacBio Sequel II	ROTHAMSTED RESEARCH	PRJEB47883	SAMEA10256955	15185	15184	1	
GCA_025698545.1	ASM2569854v1	Gossypium raimondii					GPD5lz			750205487	Chromosome	10/17/22	JAOWAE01	17043680	57716579							Oxford Nanopore; Illumina	Huazhong Agricultural University	PRJNA788082	SAMN30903775				
GCA_030445035.1	mDasNov1.hap2	Dasypus novemcinctus					mDasNov1	male		3570966115	Chromosome	7/13/23	JAUJUA01	14295626	130056132							PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA923800	SAMN32738980				
GCA_905147795.1	ilPieRapa1.1	Pieris rapae								256355036	Chromosome	1/28/21	CAJHWY01	10651053	10651053								Wellcome Sanger Institute	PRJEB41952	SAMEA7523164				
GCA_009819705.1	fHipHip1.pri	Hippoglossus hippoglossus					fHipHip1	male		596775069	Chromosome	12/31/19	WOYB01	7020318	26312018							PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA562001	SAMN12629501				
GCA_018143015.1	Lvar_3.0	Lytechinus variegatus					NC3	female		869582435	Chromosome	4/29/21	JAFCXN01	5852084	45571165							PacBio Sequel; BGISEQ500	Duke University	PRJNA657258	SAMN15823010				
GCA_020615455.1	ASM2061545v1	Coregonus clupeaformis					EN_2021a	female		2753270621	Chromosome	11/4/21	JAJAFO01	2177185	52021072							Oxford Nanopore PromethION	Laval University	PRJNA767633	SAMN21920801				
GCA_947172395.1	ilBicAnyn1.1	Bicyclus anynana								457159770	Chromosome	10/28/22	CAMWEB01	1166575	17439807							"PacBio,Arima2"	WELLCOME SANGER INSTITUTE	PRJEB56893	SAMEA9252597				
GCA_013339695.2	BIME_Rsan_1.4	Rhipicephalus sanguineus					Rsan-2018		Annotation submitted by TIGMIC Group	2365502231	Chromosome	6/24/22	JABSTV01	541094	208696187							PacBio Sequel	TIGMIC Group	PRJNA633311	SAMN14941062	25722	25712	10	
GCA_006149115.2	Oner_1.1	Oncorhynchus nerka					On170113-E2	female		1925195863	Chromosome	6/7/19	SZNR01	330763	1063416							Illumina HiSeq; PacBio Sequel	Fisheries and Oceans Canada	PRJNA530256	SAMN11519041				
GCA_003952965.2	Mru_ZJU_2	Morella rubra			Y2012-145			female	Annotation submitted by Zhejiang University	313008583	Chromosome	9/23/20	RXIC02	192611	35745824							Illumina; PacBio	Zhejiang University	PRJNA398601	SAMN07510764	29351	29351		
GCA_001865875.1	LupAngTanjil_v1.0	Lupinus angustifolius			Tanjil				Annotation submitted by CSIRO	609203021	Chromosome	11/16/16	MLAU01	48365	702610							Illumina HiSeq 2500	CSIRO	PRJNA299755	SAMN04215042	33074	33074		
GCA_000165395.2	ASM16539v2	Babesia bovis T2Bo		T2Bo					Annotation submitted by The J. Craig Venter Institute	8195476	Chromosome	5/26/21	AAXT02	1797577	1797577							Sanger and PacBio	The J. Craig Venter Institute	PRJNA18731	SAMN02953679	3980	3956		24
GCA_943734845.1	idAnoFuneDA-416_04	Anopheles funestus								250698078	Chromosome	6/24/22	CALSEJ01	24104831	84636641								WELLCOME SANGER INSTITUTE	PRJEB53266	SAMEA12928227				
GCA_023375685.2	Billie_1.0	Ictalurus furcatus		D&B				female		825459183	Chromosome	6/2/22	JAMCCP01	16772172	30432001							PacBio CLR; Illumina	"USDA, Agricultural Research Service"	PRJNA834118	SAMN28041099				
GCA_004115215.4	mOrnAna1.pri.v4	Ornithorhynchus anatinus					Pmale09	male		1859264908	Chromosome	11/6/20	RZJT02	15146802	83338043							PacBio RSII; 10X Genomics linked reads; Bionano Genomics DLS; Dovetail Genomics HiC; Arima Genomics	Vertebrate Genomes Project	PRJNA489114	SAMN08537700				
GCA_011397635.1	E.fuscoguttatus.final_Chr_v1	Epinephelus fuscoguttatus								1046995804	Chromosome	2/20/20		13857438	44419306							Oxford Nanopore sequencing technology	Epinephelus fuscoguttatus	PRJDB9224	SAMD00201013				
GCA_022539315.2	serCan2020	Serinus canaria					serCan28SL12	female		1050336073	Chromosome	8/25/22	JAKSEN01	12206373	72083177							pacbio sequel; Illumina	"Max Planck Institute for Biological Intelligence, in foundation, Seewiesen"	PRJNA807488	SAMN25990113				
GCA_030254885.1	VITMroCarlos_v1.3	Vitis rotundifolia			Carlos				Annotation submitted by University of Tennessee	414839711	Chromosome	6/12/23	JARBHA01	11342296	20785847							PacBio HiFi	University of Tennessee	PRJNA935741	SAMN33325381	27334	27334		
GCA_907165135.1	OKI2018_I68_1.0	Oikopleura dioica							Annotation submitted by OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY	64272340	Chromosome	5/17/21	CAJRAX01	4700139	16158756							"Oxford Nanopore MinION, Illumina MiSeq"	OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY	PRJEB40135	SAMEA7282646	17260	17220	40	
GCA_010015445.1	GENO_Pfluv_1.0	Perca fluviatilis						male	Annotation submitted by SEX'PERCH	951345774	Chromosome	1/30/20	VHII01	4197643	39550354							Illumina HiSeq; Oxford Nanopore GridION	SEX'PERCH	PRJNA549142	SAMN12071746	27915	24326	1332	2257
GCA_027580225.1	HAU_Mang_1.0	Misgurnus anguillicaudatus					BS_2022a	female		1104569478	Chromosome	1/9/23	JALDXJ01	3833009	42952821							Illumina HiSeq; PacBio	Huazhong Agriculture University	PRJNA812369	SAMN26377316				
GCA_004664715.2	UCI_PerLeu_2.1	Peromyscus leucopus	LL Stock					female		2475164510	Chromosome	10/2/20	NMRJ02	3487364	114273790							Illumina; PacBio; HiC-Illumina	University of California Irvine	PRJNA281425	SAMN03488028				
GCA_902652985.1	xPecMax1.1	Pecten maximus								918306378	Chromosome	11/26/19	CACRWE01	1258799	44824366								SC	PRJEB35330	SAMEA994736				
GCA_029448725.1	ASM2944872v1	Salvelinus fontinalis					EN_2023a	female		2496185110	Chromosome	3/28/23	JAQYZX01	1231776	50983633							PacBio Sequel	Laval University	PRJNA922922	SAMN32676627				
GCA_927797965.1	BraLan3	Branchiostoma lanceolatum							Annotation submitted by lausanne university	474791770	Chromosome	2/2/22	CAKMNS01	1191949	23752511								lausanne university	PRJEB49647	SAMEA11998880	26468	26395	73	
GCA_003073215.2	Tu2.1	Triticum urartu			G1812					4849077157	Chromosome	4/30/18	MKGO01	278604	661480603							Illumina HiSeq; PacBio	Institute of Genetics and Developmental Biology Chinese Academy of Sciences	PRJNA337888	SAMN05513572				
GCA_009727055.1	ASM972705v1	Benincasa hispida			B227					912951219	Chromosome	12/3/19	WEIL01	144985	69945952							Illumina	Chinese Academy of Agricultural Sciences	PRJNA430006	SAMN08364809				
GCA_001649575.2	ASM164957v2	Kryptolebias marmoratus					JLee-2015	hermaphrodite		680638340	Chromosome	11/16/20	LWHD02	57646	28170849							Illumina HiSeq	Washington State University	PRJNA626665	SAMN04622665				
GCA_007210705.1	Tcal_SD_v2.1	Tigriopus californicus		San Diego					Annotation submitted by Scripps Institution of Oceanography	191142546	Chromosome	7/29/19	VCGU01	44438	15806032							Illumina; PacBio RSII	Scripps Institution of Oceanography	PRJNA237968	SAMN02640207	15577	15577		
GCA_023065955.2	UrsArc2.0	Ursus arctos				North America	Adak	male		2423401459	Chromosome	5/22/23	JALAAU02	35674000	71981430							PacBio; Illumina NovaSeq	Washington State University	PRJNA807323	SAMN25977855				
GCA_000165365.1	ASM16536v1	Theileria parva strain Muguga		Muguga					Annotation submitted by TIGR	8308027	Chromosome	6/30/05	AAGK01	1971884	1971884							Sanger	TIGR	PRJNA16138	SAMN02953620	4129	4051		78
GCA_003369915.2	D.miranda_PacBio2.1	Drosophila miranda		MSH22				male		287096000	Chromosome	9/23/19	QNQS02	11978448	35263383							PacBio	"Bachtrog Lab, UC Berkeley"	PRJNA474939	SAMN09375764				
GCA_022581195.1	ilHelZeax1.1	Helicoverpa zea					HzStark_Cry1AcR	male		375165593	Chromosome	3/18/22	JAKYJW01	10871041	12841304							PacBio Sequel II CLR; Illumina NovaSeq	United States Department of Agriculture	PRJNA807638	SAMN25818888				
GCA_023525715.1	ASM2352571v1	Cichorium intybus			Punajuju				"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	1278752569	Chromosome	5/24/22	JAKNSD01	9445615	126222701							PacBio HiFi	"Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	PRJNA798105	SAMN25047112	53946	43721	10225	
GCA_009771035.1	CNRS_Lalb_1.0	Lupinus albus			Amiga				Annotation submitted by White lupin genome	449991378	Chromosome	12/20/19	WOCE01	8734267	17349171							Illumina HiSeq; PacBio Sequel; BioNano Genomics Iris	White lupin genome	PRJNA575804	SAMN12906581	41385	38255	26	3104
GCA_007565055.1	ASM756505v1	Rhinopithecus roxellana					Shanxi Qingling	male		3038460517	Chromosome	7/29/19	VMRL01	5723610	144559847							PacBio Sequel	Northwest University	PRJNA524949	SAMN11039125				
GCA_000180635.4	El Paco v. 4	Pristionchus pacificus		PS312					Annotation submitted by Washington University (WashU)	158478356	Chromosome	11/2/20	ABKE04	4619064	23915096							PacBio	Washington University (WashU)	PRJNA12644	SAMN02953718	28149	28149		
GCA_020875875.1	Dalata_v2	Dioscorea alata			TDa95/00328				Annotation submitted by University of California Berkeley	480026477	Chromosome	11/16/21	JAFBII01	4491430	23984514							PacBio RSII	University of California Berkeley	PRJNA666450	SAMN16294114	25189	25189		
GCA_004354835.1	PFLA_1.0	Perca flavescens					YP-PL-M2	male	Annotation submitted by INRA (Fish Physiology and Genomics laboratory)	877439799	Chromosome	3/19/19	SCKG01	4268950	37412490							Oxford Nanopore; Illumina HiSeq	INRA (Fish Physiology and Genomics laboratory)	PRJNA514308	SAMN10722690	24486	21723	1048	1715
GCA_000757645.3	ASM75764v3	Steinernema carpocapsae		ALL				pooled male and female	Annotation submitted by California Institute of Technology	84512609	Chromosome	6/5/19	AZBU02	4209505	7362381							Illumina NextSeq; PacBio RSII	California Institute of Technology	PRJNA202318	SAMN03032171	30825	30821	4	
GCA_019776745.2	Ta-2021	Taxus chinensis					Ta-2019	female	Annotation submitted by Chinese academy of agriculture sciences	10237952243	Chromosome	1/26/22	JAHRHJ02	2434892	903737476							PacBio Sequel	Chinese academy of agriculture sciences	PRJNA730337	SAMN19228971	44770	44770		
GCA_902713615.1	sScyCan1.1	Scyliorhinus canicula								4220389930	Chromosome	12/17/20	CACTIT01	1862211	198790641								SC	PRJEB35945	SAMEA994730				
GCA_022539455.1	Dnobile	Dendrobium nobile						hermaphrodite	Annotation submitted by Guangzhou Medical University	1199116975	Chromosome	3/10/22	JAGYWB01	1618306	64459299							PacBio Sequel; MGISEQ-2000	Guangzhou Medical University	PRJNA725550	SAMN18951225	29476	29043	433	
GCA_019279795.1	PAN1.0	Protopterus annectens					FY-2018-M	male		40054324612	Chromosome	7/20/21	JAGYFI01	1603140	1974114035							Oxford Nanopore	Northwestern Polytechnical University	PRJNA701604	SAMN17890435				
GCA_009363875.1	ASM936387v1	Mikania micrantha					NLD-2019		Annotation submitted by Agricultural Genomics institute at Shenzhen	1790643622	Chromosome	10/28/19	SZYD01	1353263	86674320							PacBio RSII; PacBio Sequel	Agricultural Genomics institute at Shenzhen	PRJNA528368	SAMN11180626	46351	46329	22	
