a,c,d,e,f,g,k,l,m,n,q,r,s,t,v,w,y,h,i,p,GC,u,x,j,z,b
475324,53965,253805,275302,155590,341221,192450,404681,88739,139698,177147,312993,349502,255881,285251,65493,113827,105319,182142,309557,GCA_000226115.1,,,,,
581811,85230,388313,411757,254047,451199,327512,605566,149924,251677,273747,391458,553120,390750,405851,100206,185547,159493,348674,389030,GCA_019565615.1,,,,,
521545,77342,363405,382244,245538,421913,298798,574196,132180,249836,260041,365625,532015,381793,389000,94879,183543,152828,333753,361737,GCA_013368755.1,,,,,
490337,66396,315580,347723,203094,370678,288594,480469,123729,211998,235567,330433,447848,334734,334349,82133,157658,135542,271701,339595,GCA_023920165.1,,,,,
374382,45454,240636,241688,139499,260399,194719,358363,86714,142935,180083,246980,329103,256694,245817,55303,111244,99546,195932,226205,GCA_001592805.2,,,,,
83109,55803,201695,242511,160121,110308,393412,272434,66426,426242,95940,89889,247054,148488,126767,16990,185118,66588,326449,79472,GCA_900681995.1,,,,,
145949,33467,147954,169167,111571,133916,176943,242148,53278,140811,102151,118458,229192,140277,146709,26406,83618,54679,159526,105589,GCA_013402915.1,,,,,
69842,24398,87731,108376,75608,69040,127622,155528,32418,94842,57337,72390,139839,77627,75724,16997,58353,34914,131808,58245,GCA_017301755.1,,,,,
529438,70835,351258,373338,222896,408821,295764,531584,135004,225905,247226,354075,497133,348920,363634,86299,164815,141081,303643,359496,GCA_020045945.2,,,,,
331472,38735,217620,252840,127841,267114,201556,338921,83839,139727,164883,236305,376303,224081,223165,46302,95344,91437,176878,199623,GCA_026210745.1,,,,,
1286931,173307,830019,915094,513761,976052,701031,1316257,309439,537876,571021,941451,1232662,898217,922413,226218,403428,370348,728511,1014905,GCA_016906575.1,,,,,
540477,69751,342700,359928,205756,405443,286319,500959,127636,212056,256291,354588,470548,356929,351839,85343,161747,141676,271558,340386,GCA_024114885.1,,,,,
175339,29757,128013,148897,88311,132671,126874,224515,48903,92242,96291,128847,179282,122670,145005,25093,73761,52884,113137,109185,GCA_000412225.2,,,,,
218743,23597,114508,125262,63278,119846,73562,201961,52913,51592,87976,139595,149404,115311,137736,29340,51435,59721,72232,131181,GCA_029542865.1,,,,,
315122,28415,141570,127609,69376,173679,66296,216380,50379,51958,85051,182457,155276,125023,162497,30655,53108,65908,69800,154831,GCA_029542825.1,,,,,
145828,32616,141571,164669,102453,130728,160652,234577,50159,119474,99184,124357,206394,130465,146971,25998,77952,49947,143031,102628,GCA_013694445.1,,,,,
154965,35027,185588,197497,134179,156191,221788,276716,60008,200051,114623,120649,279480,164469,162905,29751,108122,62715,211800,127547,GCA_000006445.2,,,,,
154026,34783,163787,183029,123661,141414,203028,265839,57506,168993,109831,123508,249524,162706,156172,28971,92409,59053,181526,120257,GCA_002079055.1,,,,,
143932,32416,164869,186522,121530,134408,202409,266595,60608,172720,112076,119551,238994,172572,151773,28408,91429,57859,186939,122819,GCA_000237345.1,,9,,,
144556,30572,146544,168835,107129,140383,165288,238084,51754,132900,111113,120673,214926,134260,149239,27401,80573,55306,139334,116909,GCA_000026365.1,,,,,
147810,31292,144111,165500,103742,130018,166255,235249,51385,122237,100910,119000,208662,133963,147703,26159,79195,51834,141744,106355,GCA_000243375.1,,90,,,
176063,33545,139823,169171,109536,141960,162269,244716,50381,115340,105896,127759,225159,135595,155395,27278,76813,54799,132376,116467,GCA_000142805.1,,,,,
135793,30835,156324,175126,118931,122898,193659,253989,53839,171755,98249,111769,232792,155504,144436,26324,90383,53218,182700,104316,GCA_000304475.1,,22,,,
136150,32361,172120,178437,125968,127604,216779,273020,57672,234495,115435,112730,275639,185177,140983,27323,99986,60030,219312,123923,GCA_000315915.1,,72,,,
166859,34089,157384,171508,112533,150044,174194,255519,56547,138996,110605,131794,220404,160697,167702,28133,85167,58295,149741,121433,GCA_000348985.1,,196,,,
137956,32410,172107,188218,123594,133559,215008,270257,59954,205898,116211,118328,253715,181467,144989,27688,95760,60911,207366,123736,GCA_000227115.2,,175,,,
148207,34987,127216,155463,109834,117224,153307,235152,49243,124089,90965,115976,224544,131056,143697,26635,81487,53882,146653,112270,GCA_000002945.2,,,,,
150308,31813,176029,192779,131005,151185,219163,274173,53036,199427,133843,112231,267452,183086,161662,28869,105656,62295,211734,133258,GCA_000182965.3,3,164,3,1,4
308999,37965,198778,244174,125922,262465,191645,328263,79649,126011,142859,220968,335676,214387,223192,50925,93786,86735,177450,246889,GCA_000091045.1,,39,,,1
434518,63969,282738,314426,188469,344725,231767,465127,104692,186650,204338,317936,425596,302878,310959,74328,146981,120370,254188,304258,GCA_000011425.1,,,,,
505150,78821,342682,372007,233268,416228,280163,561419,131491,227785,244912,361632,501666,363923,383579,92885,179909,148278,313755,357688,GCA_014117465.1,,,,,
7302500,1625213,4900092,5473312,3291515,6156968,4703642,8496542,2201805,3316845,3273509,5088207,7413147,4292862,5931355,1099085,2364525,2171159,4144373,4605759,GCA_900231445.1,,41662,,,
594644,91839,239984,292587,145801,321222,163632,452799,111339,129488,202084,357347,437368,295943,348883,52848,118115,134170,146956,287982,GCA_000227135.2,,821,,,
132138,28054,142026,162930,107020,122893,166835,243137,44487,128243,100717,109337,213989,136375,145569,24777,79903,51111,152134,107672,GCA_000027005.1,,140,,,
292527,64843,314466,347893,233039,265831,385150,502882,109350,321204,209988,231800,469566,306875,295414,54396,173714,112423,340319,228589,GCA_011022315.1,,,,,
595934,95542,420813,445819,273008,484387,361934,636519,159664,271128,287580,418686,582995,431368,437311,111444,202377,172259,370501,420701,GCA_900079805.1,,15,,,
2034753,634148,1827964,2196016,1475047,2074165,2257179,3198998,822696,1739672,1266857,1645173,3008111,1731528,2182625,430994,975684,841755,1972277,1602238,GCA_030408175.1,,170,,,
736680,198929,620663,776913,470844,733813,718810,1059375,273652,492305,396343,612963,1017212,571740,756251,140423,312462,250628,590549,546103,GCA_905216605.1,,,,,
282783,35384,182278,225249,115613,239922,177529,303569,73658,116247,131266,202658,308434,196423,205594,46295,85587,80176,164869,224744,GCA_000185945.1,,,,,
493982,138350,383518,450560,241719,385248,432543,610857,157597,323569,266715,386644,518939,405944,442325,76271,223740,173876,358754,388486,GCA_902850265.1,,,,,
657577,112205,293448,455969,195135,476023,233451,526952,79761,132503,231472,488440,610190,290926,340517,60220,86881,127362,138059,401391,GCA_000208865.2,,,,,
1021656,298963,785030,938781,544974,807121,773102,1217700,347696,565480,555395,881079,1149056,819411,943419,153790,407280,331835,699554,768327,GCA_030553155.1,,,,,
407384,57202,225030,255040,121388,257658,166269,288937,86336,103652,90985,282911,253522,204343,262860,43049,78629,68342,137252,149913,GCA_000214015.2,,589,,,
157279,30335,168929,185156,123635,149769,202356,260588,52183,164355,127534,117750,252721,163113,163619,27904,98558,63740,182777,126214,GCA_000315875.1,,1446,,,
701943,297702,812708,814557,671762,615352,825387,1420818,305763,912233,726619,758280,1274017,992823,725479,156687,569336,403286,1157423,613004,GCA_021613535.1,,,,,
217652,92217,298417,303347,243413,204365,336940,462129,107525,367942,232894,254820,508511,254394,220931,46450,157702,132942,387042,202796,GCA_020844145.1,,,,,
280134,34441,179920,223512,114657,237912,176423,301549,72806,115451,130981,200237,307934,195615,202839,45820,85151,79236,163588,223467,GCA_002954075.1,,,,,
705115,202768,592825,713940,481387,703922,693275,1063681,275200,518000,398046,561498,990314,534833,713132,141052,316222,261485,615937,534469,GCA_028411795.1,,,,,
79443,33690,92107,88174,70960,78288,114239,158916,35016,101584,52881,69606,133048,85371,87483,15188,63022,38190,127921,61577,GCA_000691945.2,,2,,,
36180,14533,39435,58552,34162,46680,51041,68056,21331,27972,16235,48102,57037,29285,50623,5541,26032,13702,47955,23782,GCA_000091225.2,,,,,
526927,84626,378697,398645,243631,433717,326940,561203,146009,250029,259619,371965,525885,394591,395143,98030,181391,152266,331806,378358,GCA_900007375.1,,,,,
942364,412559,967470,1025474,614331,991431,997144,1339256,407251,807241,671070,834444,1304792,1088494,1080926,175650,528620,423051,881544,753947,GCA_026914265.1,,,,,
365391,75234,254436,297758,170054,264316,254314,422145,120506,170543,186538,261762,367659,268301,323567,51742,117588,108906,200886,194150,GCA_021491655.1,,,,,
194529,58134,162213,206251,122737,173329,209936,284754,74199,133118,108095,188042,262942,162036,176667,40765,81119,78823,158758,164232,GCA_013387185.1,,1625,,,
537053,91989,233613,289797,145288,305271,163570,457338,111562,135181,202594,341249,433136,305341,353096,52950,119723,134329,153328,275861,GCA_000755165.1,1,,,,
27498,12542,35700,56816,33536,40085,55002,62406,19172,29875,15419,38401,52089,27159,42989,4862,25257,11538,50080,20509,GCA_000146465.1,,,,,
457358,37336,234530,215331,126388,271429,171856,347654,74985,120081,169801,254916,383535,230951,233965,46954,87580,101107,148439,244381,GCA_900162835.1,,16166,,,
2524216,637221,1712298,2039478,1264897,2225808,1722690,3150718,779128,1228690,1172711,1992188,2971584,1548609,2108445,418522,824615,829142,1543651,1742250,GCA_023547065.1,,314,,,
159002,74917,222641,294214,166741,219992,367003,313961,84443,307510,128679,174372,300180,186189,204481,26371,162382,99946,236197,129124,GCA_001680005.1,,,,,
191475,32963,173699,195476,129849,164078,190117,296521,60382,146737,111236,129797,255846,173219,191723,31266,98623,63851,168171,133669,GCA_900106115.1,,,,,
124714,28952,124063,140355,90926,118703,145327,210718,46435,113582,91346,103516,190122,119437,133660,23161,73932,48889,132724,94501,GCA_000235365.1,,5,,,
338614,65532,249315,347710,165885,266226,302079,323163,97085,192077,130547,252792,338101,235664,262083,44049,96725,77148,173904,156891,GCA_002220235.1,,5910,,,
501164,181928,504892,648918,357847,477690,718260,807239,201540,530556,387814,425314,714722,525776,546141,90309,300168,213291,558170,459750,GCA_921294245.1,,,,,
373006,52853,259082,303256,167796,321229,248670,393914,101683,186476,179752,274985,401217,275132,265263,61380,125886,108457,242920,279012,GCA_017357885.1,,,,,
1183622,411808,950488,1294757,615657,1263380,986644,1757965,459963,692456,893611,1084292,1626915,1115797,1187748,217853,505178,512926,768762,1165057,GCA_902810595.1,,339,,,
70608,64639,233179,250765,162560,98036,430228,281533,80240,544460,98768,97760,234666,146701,136005,17054,215140,87454,350879,68199,GCA_900257145.2,,6627,,,
964828,305161,938105,1100660,734639,1059535,1098832,1588592,438973,816986,601771,845361,1458825,886443,1097919,218839,489993,430845,983531,817471,GCA_949927565.1,,1489,,,
435243,60742,278562,301192,173850,336380,234804,420368,107686,170928,193087,296835,380828,291141,294223,69835,128177,117020,223449,278863,GCA_000219625.1,,,,,
163316,31447,145724,171841,108896,133583,167250,253433,52136,115628,102295,123342,207939,136290,159083,26782,86725,53032,142671,115364,GCA_000187245.3,,,,,
166898,32789,142710,161764,107856,140921,155931,246041,51221,117239,106022,125728,222666,136759,155006,27335,76388,57319,135143,112007,GCA_900074725.1,,,,,
132133,29777,162863,178081,117717,123035,208139,253475,54560,196312,98129,103797,240265,158713,146224,25167,97388,52017,198248,99984,GCA_000236905.1,,51,,,
164013,33552,144666,164436,109568,136443,164193,246211,52648,122881,109229,122704,226069,139445,154896,27257,77750,55830,139063,111538,GCA_900074755.1,,,,,
167155,32405,140991,161210,106166,134478,157651,241294,50413,116980,107020,123242,219897,136736,154075,26523,74679,55305,129638,109280,GCA_900074715.1,,,,,
1396417,282466,774642,853704,512210,1114124,666232,1369749,347086,485746,486961,1006689,1197521,690131,997121,193790,356511,379560,612225,854982,GCA_001433935.1,,754,,,
2512737,731628,2067179,2521771,1606593,2448513,2393668,3779567,932795,1837950,1503133,1979561,3556401,1901498,2507911,481511,1068014,983092,2052021,1882750,GCA_000004515.5,,,,,
2887830,836780,2314156,2857451,1844137,2831008,2742519,4256006,1070647,2018662,1668665,2288828,4010806,2124974,2794852,548845,1203772,1042553,2325301,2156039,GCA_007990345.1,,6,,,
2451075,707132,2016500,2559936,1612714,2456077,2379531,3640093,937702,1616377,1326457,2142055,3500607,1998756,2581688,489917,1049767,887650,1928366,1884096,GCA_020379485.1,,,,,
867499,300910,788691,940652,695926,912349,982099,1495731,375799,771531,537898,711833,1334231,758506,976931,192667,448364,376676,895123,691434,GCA_003473485.2,,,,,
1735352,385181,1044135,1140447,703702,1375664,963764,1836515,465721,682516,689643,1193841,1624204,938603,1297236,250132,497543,493318,844585,1077492,GCA_000003195.3,,,,,
2462799,190681,607506,695584,289447,1648554,347850,1237322,259342,280233,667536,896466,1117466,684198,883030,166765,243992,304655,280090,1111669,GCA_000002595.3,,315,,,
586969,166226,473906,582172,402320,586059,557687,883754,217711,418429,325331,483164,837101,443340,581269,116092,249947,219297,499068,448192,GCA_000004075.3,,,,,
407933,60771,263408,291467,176001,317374,219214,432902,100381,169774,192038,300292,399099,278961,293981,68629,132532,114603,232833,285706,GCA_000002655.1,,,,,
680013,135553,314616,513548,232224,495812,268570,600741,93316,155402,263738,551183,738626,336345,388975,67654,97268,145402,159071,430868,GCA_000006565.2,,279,,,
1429302,414329,1149194,1411081,894675,1402032,1318110,2126551,510729,966529,831412,1137292,1976368,1042480,1405224,275465,591447,533383,1123632,1052129,GCA_000346465.2,,1,,,
488605,62262,318356,365903,190439,401958,286057,469594,121381,209192,241119,346531,471091,345197,335725,75134,144444,138614,249725,371212,GCA_000182925.2,,,,,
879629,262296,716153,888958,590724,874137,848723,1344267,327507,636990,505705,702838,1244848,680200,903205,174972,382527,347320,729968,660446,GCA_000499845.1,,,,,
536258,72323,326192,335371,199285,423395,268506,484109,129540,199875,231241,364427,464062,335306,357933,81370,143800,131485,248125,360255,GCA_000002495.2,,,,,
360161,98641,222118,306704,161135,289839,203600,416214,103351,159941,168097,307533,350320,248923,332811,48562,110703,109486,175647,213258,GCA_000002445.1,,25,,,
2334658,837409,1934764,2747398,1372223,2210787,2405974,3632654,879592,1625270,1862169,1970282,3344646,2134298,2274695,415123,1069159,986538,1900125,2102783,GCA_000004195.4,,,,,
489617,76817,351544,368531,223484,400732,305776,514748,136402,229261,238966,342414,481340,361366,366068,90109,166578,140285,303327,347588,GCA_000240135.3,,,,,
562921,138941,389514,467359,261227,494493,391490,661539,167451,322345,347753,419257,586035,439081,463500,73694,226998,196986,358881,399962,GCA_000005575.1,,38,,,
1849956,538584,1488752,1877051,1172018,1796569,1753890,2755688,675923,1297174,1080916,1469701,2602496,1323411,1769573,348333,771473,689025,1522976,1343788,GCA_001659605.2,,,,,
889858,208381,590483,738435,426696,787895,624338,1092205,279921,444644,456139,684026,998844,595582,789235,148037,290783,279668,524071,586989,GCA_000002425.2,,134,,,
1925191,443429,1198301,1351474,821473,1570649,1130877,2135672,541043,803714,799096,1387661,1919176,1067314,1464760,285749,566317,560511,994787,1229624,GCA_000005505.4,,,,,
944380,322066,935896,1082164,749379,1044997,1145988,1597029,446506,844269,600199,840053,1426713,877466,1101079,231096,515360,433288,1005374,782572,GCA_002870075.4,,10,,,
264348,120883,299045,318085,215951,254865,319663,544264,114011,377383,240831,283561,564008,350667,308342,56616,182149,160785,362998,264193,GCA_000237925.2,5,2231,,,
412177,76080,285615,294057,180893,309184,224703,456402,108978,182432,197700,297551,405141,296236,330651,65120,123272,119266,217762,251145,GCA_000150955.2,,1,,,
1661113,462448,1338431,1662951,1031168,1647726,1537542,2439492,608102,1140809,972933,1310400,2328570,1211536,1594862,307227,673581,596380,1307958,1234259,GCA_000002775.4,,,,,
527515,190465,482767,624666,378082,482379,643369,839563,189947,465313,377625,468002,690379,532559,581150,98765,291945,217225,526696,477655,GCA_000002335.3,,288,,,
1157642,324416,908492,1123234,742481,1132220,1066913,1711357,415763,806932,654901,893450,1567160,826452,1102473,221316,491102,412143,954816,859611,GCA_030052815.1,,34,,,
1331899,420335,1175401,1349928,956934,1373036,1393691,2058083,566140,1019194,786881,1128616,1830554,1152697,1478857,294961,658054,546637,1193918,1056828,GCA_002127325.2,,29,,,
1540053,465516,1362928,1634493,1074843,1575372,1632058,2380887,606851,1227434,938983,1283901,2201240,1269480,1674544,320299,740779,629579,1425553,1206604,GCA_024323335.2,,496,,,
447051,70976,301951,328820,208829,372607,250870,500027,118536,202153,216198,322472,444000,322628,342284,83081,159911,131140,280141,315016,GCA_000184455.3,,,,,
212948,100188,365588,408941,330994,311873,538473,601329,109881,797679,356434,195190,681126,420957,297983,51088,249014,123685,593029,278076,GCA_000004695.1,6,38,,,
1639025,352774,962269,1076768,654582,1300654,883082,1722573,429894,630154,623495,1127920,1480870,847113,1197443,235404,461704,444265,786564,1005065,GCA_000263155.2,,93,,,
422696,42743,232073,213934,129077,257672,176218,358286,76914,134448,177723,255265,404240,240399,234529,47463,89943,105121,166179,234744,GCA_000328475.2,,,,,
1292935,358595,1064469,1342071,823118,1294707,1233206,1878350,485384,834127,692568,1113867,1819642,1033337,1353447,250704,549507,456555,980976,996798,GCA_000801105.3,,1154,,,
197183,68978,205441,289016,159885,247149,337996,307767,75600,271513,122824,183738,302647,161131,196552,23177,150586,101783,209650,135233,GCA_000002415.2,,101,3,1,3
649139,190644,523817,636847,439031,651044,615886,987852,240080,466900,363043,509599,905836,487364,650772,129757,286964,241573,551536,487878,GCA_020796205.1,,,,,
76946,58081,191723,242043,167162,102693,407020,272198,64279,453013,93169,87289,240333,143532,120873,16960,190478,66093,348135,71303,GCA_900002375.2,4,,,,
5124802,1106512,3145424,3577263,2110449,4111226,2993257,5545849,1380631,2132516,2151013,3656413,4957893,2760395,3802849,744941,1485767,1437330,2641181,3271268,GCA_016808335.1,,,,,
252793,79671,172212,185806,109659,167403,160746,330496,69432,128702,126413,166042,288036,202211,186323,20048,105654,75154,180113,146259,GCA_000002435.2,,,,,
397370,55476,257190,282195,168653,308533,207284,410232,101784,161994,190750,289748,398429,270842,281847,65689,120614,114749,219346,282750,GCA_001723175.3,,,,,
789240,124441,553131,590112,354987,640811,476485,832269,217122,361034,391642,568387,786046,568884,568123,140951,265355,230184,478604,576820,GCA_000149555.1,,,,,
1252001,339491,982016,1204211,767517,1224474,1128027,1773410,446506,819099,697580,969432,1695497,891870,1197673,229966,503035,437732,958745,919334,GCA_015852605.2,,,,,
956862,305378,791380,954822,695896,931151,1008378,1533861,378415,705407,580162,804640,1284890,763060,1010591,224396,464682,413594,867519,725741,GCA_000340665.2,,18785,,,
1056476,286614,774016,944598,606559,999344,829273,1436848,368871,597416,548008,877062,1350514,737050,941137,200218,380110,366614,757430,779298,GCA_029852735.1,,,,,
869290,238226,506032,594102,347257,600020,491648,917589,215816,334270,411084,732425,846248,599875,687927,118648,244980,275601,374459,607792,GCA_013339725.1,,,,,
873228,262217,768368,923364,631597,895763,930736,1378166,345384,719751,530150,711400,1302494,729621,940515,178553,416543,355709,824676,679429,GCA_948472305.1,,,,,
1206239,339019,959381,1176216,761998,1191068,1090192,1780446,435225,802597,678642,979633,1642485,876699,1163167,236830,504913,443760,959461,893331,GCA_001411555.2,,,,,
1734801,492659,1358167,1658538,1104329,1702958,1569403,2534932,633080,1150076,952036,1344527,2354416,1255829,1689748,326889,711569,612740,1360674,1263220,GCA_018804465.1,,,,,
930283,293749,747865,906807,642273,944106,876068,1482849,362557,646479,532053,747385,1290162,716525,955843,201750,420612,351856,787855,691287,GCA_002994745.2,,,,,
1902740,415289,1122319,1266899,767933,1509494,1047067,2018101,507006,746202,749480,1322808,1770304,999243,1392724,274869,535968,527011,928764,1191228,GCA_005286985.1,,,,,
448913,94371,366329,381733,202663,405220,312110,492035,146348,264519,220143,310420,546577,349786,374330,64888,155655,134853,273607,276180,GCA_000149405.2,,,,,
1634623,500581,1161386,1758688,842349,1507995,1403691,2373748,523289,869178,1199031,1361596,2084646,1286411,1418781,273723,609945,623826,1047934,1507292,GCA_016881025.1,,1799,,,
623579,96385,250435,308456,151861,333948,172388,472405,116140,134862,212884,374103,454445,306739,367861,55099,123187,138521,153609,299239,GCA_000002875.2,,61,,,
661112,189850,488334,576462,306055,490763,549272,795243,197128,400775,343493,521049,666230,528859,571347,102105,284323,230062,446780,493533,GCA_029852925.1,,,,,
2357118,593652,1618170,1941555,1276929,2024496,1665079,3075076,733640,1224919,1093702,1806491,2775911,1463087,1993551,405124,817582,751476,1574169,1567764,GCA_018446385.1,,49,,,
839422,233584,694752,814595,526280,820421,792997,1204038,312495,590228,466247,647099,1133832,634527,844996,156846,372722,296945,689467,610840,GCA_001625215.1,,722,,,
897996,250976,710796,869475,561748,883151,825785,1318047,321218,598894,509137,706222,1199142,653167,880143,175028,372476,329686,694851,665628,GCA_902201215.1,,845,,,
542565,171003,460918,597096,407974,465871,561182,738633,230021,420718,362559,468233,702976,504701,534739,97660,271790,198385,520488,442836,GCA_000004555.3,,17249,,,
77563,38864,117557,160212,111033,106653,176461,218239,43353,184553,82299,90426,226333,107796,104871,20039,83036,41831,201520,78437,GCA_000165345.1,,346,3,1,5
472237,91030,389807,410665,255447,398072,386991,660260,136995,325365,325346,389534,689790,435858,359388,83111,169001,200888,390116,449777,GCA_021901695.1,,,,,
538061,158944,417915,502546,261262,421119,480820,683073,168628,361033,296337,431686,579082,438084,478807,83902,238748,191102,395126,422708,GCA_902850365.2,,,,,
551974,148109,420393,500095,256480,429223,466677,660816,169135,348092,297758,431109,571403,440608,481109,81563,236846,188263,378065,431980,GCA_902829305.4,,,,,
957492,325717,685160,914473,514785,798385,771707,1351190,313716,516400,652514,812266,1271777,813426,907067,176043,356950,402404,623111,886577,GCA_022985175.1,,,,,
1364095,386546,1074736,1328016,853515,1350170,1228417,2015691,495873,901327,766334,1110632,1855849,987337,1312303,262456,566522,498396,1087800,1011343,GCA_018687715.1,,,,,
1196606,354944,1007665,1225764,801924,1240299,1208964,1792658,477537,881193,690625,962255,1694628,977667,1265601,240257,549966,439833,1061834,887644,GCA_003573695.1,,59,,,
719752,246617,594656,666066,384952,657377,571010,962817,248214,427592,493191,607439,923652,661458,724686,123703,291184,286607,475491,556052,GCA_003073045.1,,,,,
520439,231211,595375,656901,426792,571457,742492,877751,255554,555919,437521,483801,823489,618369,634955,113523,356741,248925,636076,454413,GCA_029721355.1,,,,,
640650,164950,488659,620815,361178,622421,541387,874431,226471,375230,321258,545235,826125,427467,592502,117664,242819,211474,474348,459485,GCA_001876935.1,,6541,,,
715708,203982,575570,709397,466865,707763,664866,1057287,261637,495890,395128,573192,978716,538382,737373,139821,301674,271335,571744,532024,GCA_016808095.1,,,,,
2606570,751875,2123941,2586129,1667778,2540913,2473121,3882520,959484,1877553,1524651,2051978,3626011,1956720,2611397,508623,1111290,1014342,2118827,1950097,GCA_004193775.2,,,,,
383762,57546,267107,296904,177844,313307,225989,427732,98399,175416,188527,304606,408571,270789,289607,65563,132152,114931,235670,287679,GCA_025999795.1,,,,,
2098844,596625,1739675,2194019,1358072,2104023,2024487,3060653,814272,1372425,1126867,1824627,2948391,1689123,2204645,417248,892809,751656,1622565,1603924,GCA_016771965.1,,,,,
1254890,380993,810922,1213548,616423,1160369,917929,1785304,360102,558162,822160,1025656,1402498,885322,1067793,221827,422427,440320,695659,1105368,GCA_000803125.3,,844,,,
1071078,311277,1211806,1541094,1046393,872935,1747529,1751398,501703,1349121,887716,810775,1485532,1156675,1109095,175193,885658,394951,1588329,898340,GCA_026262505.1,,135,,,
554914,173168,492594,606508,347838,499138,593888,773577,196592,483818,392623,471326,763487,539227,528000,87129,282086,216091,541318,480515,GCA_905115235.1,,,,,
2477643,729581,1815833,2247412,1340052,2205345,1927445,3385135,881386,1407306,1411482,1869973,3118588,1676500,2191985,422803,933298,932211,1767623,1579619,GCA_020310875.1,,,,,
2031873,690497,1662434,2185793,1065498,1962136,1755363,2932808,740448,1191184,1548089,1788194,2849951,1836409,1994421,340712,794493,870402,1297414,1834493,GCA_019176455.1,,,,,
659553,182402,372566,444191,282043,478794,367618,722465,162113,249249,303745,549205,597389,428905,518440,93742,193111,207356,281334,451269,GCA_013339765.2,,,,,
525428,71356,328297,335428,200130,417145,269859,489662,128521,205150,231294,358346,468618,340933,358277,80440,145080,132499,256504,354807,GCA_004355905.1,,30,,,
2854886,855177,1717210,2467830,1006880,2777556,1831995,3267101,811140,1093960,1738842,2732536,3032501,2191622,2313381,521758,751725,982955,1355437,2428689,GCA_026652325.1,,,,,
465498,180603,524209,625761,418860,427704,679020,803910,219179,601965,400830,409002,772408,526841,502285,82719,305825,216803,656575,403399,GCA_917627325.4,,,,,
789678,199838,460206,519558,299789,541683,396425,807170,186935,280092,342014,635236,703099,513510,604950,105132,221758,228806,316853,531193,GCA_013339695.2,,,,,
769657,214460,580605,729190,469506,746939,651192,1106623,273707,468200,406459,616558,992457,546135,737890,149482,307595,265721,576360,553895,GCA_003952965.2,,806,,,
913986,247442,763614,923434,588080,913097,890862,1330236,339245,694393,527817,706360,1293822,710851,927757,171201,402540,359135,774457,699044,GCA_001865875.1,,11,,,
121020,44417,119359,118760,74525,113324,119068,187720,51446,96162,69006,106723,159651,112872,130340,20744,72033,51565,120940,84561,GCA_000165395.2,,,,,
1194532,344669,934516,1157516,784453,1224967,1067195,1831190,453364,789843,662360,947402,1600130,865521,1178027,256867,503486,438351,983711,895772,GCA_030254885.1,,34,,,
564617,184861,524251,681348,382020,484846,603463,713268,198731,435045,359719,463998,696337,487546,477369,102847,256618,177608,497745,423456,GCA_907165135.1,,20,,,
898079,300186,703964,932387,466626,868577,750659,1270455,319692,511669,646021,767197,1187084,772102,851029,154285,358469,354100,570192,784766,GCA_010015445.1,,,,,
1848311,565084,1587579,1827215,880580,1812325,1467104,2202066,642656,1042715,1270332,1522114,2082468,1756099,1772346,316669,745342,635305,1096719,1551281,GCA_927797965.1,,48,,,
505877,158760,456102,520963,332441,503700,467176,732804,196924,372123,360020,432756,702890,445946,483996,94692,218335,220041,414811,460856,GCA_007210705.1,,229,,,
67070,33109,116221,126720,97819,87906,155960,201570,40034,144514,62966,81986,172557,115782,122495,15793,84751,42401,129908,77764,GCA_000165365.1,,3,1,,
858819,247668,740681,873968,592398,906861,868667,1291614,348818,634696,493810,760898,1217015,736511,908738,175584,393410,339860,777956,720446,GCA_023525715.1,,25,,,
881573,260126,741008,886042,615176,890266,886716,1346226,349150,696873,521525,696871,1292130,710723,916153,173286,413491,364403,796022,679447,GCA_009771035.1,,168,,,
823563,236033,610876,769760,473376,661020,648133,991376,301221,453374,386948,694816,942114,662181,713306,129550,325655,269423,644184,611414,GCA_000180635.4,,,,,
1171049,322898,909841,1089031,699882,1099283,996928,1695447,424129,729957,623789,913631,1546372,798790,1077853,216030,455081,424594,911450,850064,GCA_020875875.1,,,,,
825716,272289,645120,858838,426690,795945,688418,1167038,294965,467274,595008,703065,1081898,698572,779283,140672,329341,323998,523003,716026,GCA_004354835.1,,,,,
795411,248001,587651,738369,522280,626634,683145,1013527,281911,497779,451346,694936,928103,643749,735472,128230,324938,273511,588657,603967,GCA_000757645.3,,,,,
740777,198630,589858,754590,430368,720899,666267,1020621,272092,482699,437763,585075,898522,551976,712871,143480,297519,276756,600187,521964,GCA_019776745.2,,,,,
767227,210391,567660,701577,490140,703923,650815,1102412,266561,479216,388817,626897,1005128,511935,684825,151231,303494,268570,623752,549045,GCA_022539455.1,,,,,
1178113,354749,1061956,1202338,809166,1202962,1230729,1797058,489562,899249,716913,1008211,1607072,998300,1253118,264167,560499,493707,1073282,934723,GCA_009363875.1,,,,,
36207,10370,30051,35609,24230,36411,35041,54089,14104,26500,20578,28818,50619,28683,38221,7201,16880,13298,31406,26840,GCA_009905375.1,,,,,
818214,227642,654764,810202,518853,781019,793765,1169800,300702,586430,469903,629494,1094015,616866,801302,154670,354167,289118,680197,597428,GCA_001879085.1,,102,,,
168333,30064,169738,190106,130624,150360,196198,269643,51004,164507,109090,121684,266196,162904,175353,29415,101744,60691,190051,125541,GCA_000209165.1,,,,,
152279,76636,224459,300124,167223,219240,376735,314791,90269,321815,126076,173926,301592,184089,198710,26720,162253,99626,250023,117770,GCA_000006355.3,4,,,,
