species	protein	reader_type	domain	sig_acc	start_aa	end_aa	total_aa
Nymphaea_colorata	XP_031485190.1	Tudor	Tudor	cd20404	88	138	1299
Nymphaea_colorata	XP_031485190.1	Tudor	MutS_V	PF00488	1043	1233	1299
Nymphaea_colorata	XP_031485190.1	Tudor	MutS_I	PF01624	339	452	1299
Paramecium_tetraurelia	XP_001425815.1	none	MutS_IV	PF05190	712	801	1109
Paramecium_tetraurelia	XP_001425815.1	none	MutS_I	PF01624	229	347	1109
Paramecium_tetraurelia	XP_001425815.1	none	MutS_III	PF05192	524	842	1109
Paramecium_tetraurelia	XP_001425815.1	none	MutS_V	PF00488	895	1078	1109
Paramecium_tetraurelia	XP_001425815.1	none	MutS_II	PF05188	360	495	1109
Petromyzon_marinus	XP_032811773.2	PWWP	MutS_IV	PF05190	981	1073	1417
Petromyzon_marinus	XP_032811773.2	PWWP	MutS_I	PF01624	424	542	1417
Petromyzon_marinus	XP_032811773.2	PWWP	MutS_V	PF00488	1188	1381	1417
Petromyzon_marinus	XP_032811773.2	PWWP	PWWP	cd05837	79	182	1417
Petromyzon_marinus	XP_032811773.2	PWWP	PWWP	PF00855	82	171	1417
Petromyzon_marinus	XP_032811773.2	PWWP	MutS_II	PF05188	584	641	1417
Petromyzon_marinus	XP_032811773.2	PWWP	MutS_III	PF05192	790	1113	1417
Petromyzon_marinus	XP_032811773.2	PWWP	PWWP	SM00293	79	141	1417
Physcomitrium_patens	PNR32598.1	Tudor	MutS_I	PF01624	456	569	1415
Physcomitrium_patens	PNR32598.1	Tudor	MutS_V	PF00488	1163	1355	1415
Physcomitrium_patens	PNR32598.1	Tudor	MutS_IV	PF05190	974	1062	1415
Physcomitrium_patens	PNR32598.1	Tudor	MutS_II	PF05188	582	737	1415
Physcomitrium_patens	PNR32598.1	Tudor	Tudor	cd20404	153	203	1415
Physcomitrium_patens	PNR32598.1	Tudor	MutS_III	PF05192	787	1105	1415
Phytophthora_infestans	KAF4047292.1	none	MutS_IV	PF05190	831	922	1263
Phytophthora_infestans	KAF4047292.1	none	MutS_III	PF05192	630	962	1263
Phytophthora_infestans	KAF4047292.1	none	MutS_I	PF01624	307	420	1263
Phytophthora_infestans	KAF4047292.1	none	MutS_II	PF05188	437	584	1263
Phytophthora_infestans	KAF4047292.1	none	MutS_V	PF00488	1026	1215	1263
Plasmodium_falciparum_3D7	XP_001351613.1	none	MutS_IV	PF05190	927	1017	1351
Plasmodium_falciparum_3D7	XP_001351613.1	none	MutS_III	PF05192	742	1057	1351
Plasmodium_falciparum_3D7	XP_001351613.1	none	MutS_V	PF00488	1122	1306	1351
Plasmodium_falciparum_3D7	XP_001351613.1	none	MutS_I	PF01624	406	523	1351
Populus_trichocarpa	KAI5565098.1	Tudor	MutS_III	PF05192	672	987	1303
Populus_trichocarpa	KAI5565098.1	Tudor	Tudor	cd20404	104	152	1303
Populus_trichocarpa	KAI5565098.1	Tudor	MutS_IV	PF05190	856	947	1303
Populus_trichocarpa	KAI5565098.1	Tudor	MutS_I	PF01624	343	458	1303
Populus_trichocarpa	KAI5565098.1	Tudor	MutS_II	PF05188	468	637	1303
Populus_trichocarpa	KAI5565098.1	Tudor	MutS_V	PF00488	1051	1240	1303
Porphyra_umbilicalis	OSX69653.1	none	MutS_I	PF01624	158	282	1154
Porphyra_umbilicalis	OSX69653.1	none	MutS_IV	PF05190	716	803	1154
Porphyra_umbilicalis	OSX69653.1	none	MutS_V	PF00488	919	1108	1154
Porphyra_umbilicalis	OSX69653.1	none	MutS_III	PF05192	520	846	1154
Saccharomyces_cerevisiae	NP_010382.3	none	MutS_III	PF05192	620	910	1243
Saccharomyces_cerevisiae	NP_010382.3	none	MutS_I	PF01624	312	426	1243
Saccharomyces_cerevisiae	NP_010382.3	none	MutS_II	PF05188	463	596	1243
Saccharomyces_cerevisiae	NP_010382.3	none	MutS_IV	PF05190	780	870	1243
Saccharomyces_cerevisiae	NP_010382.3	none	MutS_V	PF00488	979	1167	1243
Schizosaccharomyces_pombe	NP_588344.1	none	MutS_V	PF00488	1020	1209	1255
Schizosaccharomyces_pombe	NP_588344.1	none	MutS_IV	PF05190	835	923	1255
Schizosaccharomyces_pombe	NP_588344.1	none	MutS_III	PF05192	671	964	1255
Schizosaccharomyces_pombe	NP_588344.1	none	MutS_II	PF05188	502	646	1255
Schizosaccharomyces_pombe	NP_588344.1	none	MutS_I	PF01624	375	492	1255
Selaginella_moellendorffii	XP_024542030.1	none	MutS_II	PF05188	430	572	1211
Selaginella_moellendorffii	XP_024542030.1	none	MutS_III	PF05192	611	918	1211
Selaginella_moellendorffii	XP_024542030.1	none	MutS_I	PF01624	305	420	1211
Selaginella_moellendorffii	XP_024542030.1	none	MutS_V	PF00488	981	1172	1211
Selaginella_moellendorffii	XP_024542030.1	none	MutS_IV	PF05190	804	877	1211
Solanum_lycopersicum	XP_025886670.1	Tudor	MutS_III	PF05192	680	995	1313
Solanum_lycopersicum	XP_025886670.1	Tudor	MutS_V	PF00488	1059	1250	1313
Solanum_lycopersicum	XP_025886670.1	Tudor	MutS_I	PF01624	351	466	1313
Solanum_lycopersicum	XP_025886670.1	Tudor	MutS_IV	PF05190	864	953	1313
Solanum_lycopersicum	XP_025886670.1	Tudor	Tudor	cd20404	102	152	1313
Solanum_lycopersicum	XP_025886670.1	Tudor	MutS_II	PF05188	476	556	1313
Sorghum_bicolor	KXG35601.1	Tudor	MutS_III	PF05192	673	986	1305
Sorghum_bicolor	KXG35601.1	Tudor	Tudor	cd20404	100	150	1305
Sorghum_bicolor	KXG35601.1	Tudor	MutS_IV	PF05190	855	945	1305
Sorghum_bicolor	KXG35601.1	Tudor	MutS_V	PF00488	1049	1239	1305
Sorghum_bicolor	KXG35601.1	Tudor	Tudor	SM00333	96	154	1305
Sorghum_bicolor	KXG35601.1	Tudor	MutS_II	PF05188	484	642	1305
Sorghum_bicolor	KXG35601.1	Tudor	MutS_I	PF01624	358	473	1305
Sphagnum_fallax	KAH8952520.1	Tudor	Tudor	cd20404	92	142	1392
Sphagnum_fallax	KAH8952520.1	Tudor	MutS_II	PF05188	535	678	1392
Sphagnum_fallax	KAH8952520.1	Tudor	MutS_IV	PF05190	913	1002	1392
Sphagnum_fallax	KAH8952520.1	Tudor	MutS_III	PF05192	730	1045	1392
Sphagnum_fallax	KAH8952520.1	Tudor	MutS_V	PF00488	1106	1298	1392
Sphagnum_fallax	KAH8952520.1	Tudor	MutS_I	PF01624	402	515	1392
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	PWWP	cd05837	62	165	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	MutS_II	PF05188	576	746	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	MutS_III	PF05192	787	1112	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	MutS_IV	PF05190	983	1072	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	PWWP	SM00293	62	124	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	MutS_V	PF00488	1185	1379	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	MutS_I	PF01624	445	562	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	PWWP	PF00855	65	156	1415
Tetrahymena_thermophila_SB210	XP_001017234.1	none	MutS_V	PF00488	1000	1188	1233
Tetrahymena_thermophila_SB210	XP_001017234.1	none	MutS_III	PF05192	555	932	1233
Tetrahymena_thermophila_SB210	XP_001017234.1	none	MutS_IV	PF05190	807	891	1233
Tetrahymena_thermophila_SB210	XP_001017234.1	none	MutS_I	PF01624	266	379	1233
Thalassiosira_pseudonana	XP_002288822.1	none	MutS_III	PF05192	495	835	1099
Thalassiosira_pseudonana	XP_002288822.1	none	MutS_II	PF05188	315	387	1099
Thalassiosira_pseudonana	XP_002288822.1	none	MutS_I	PF01624	164	277	1099
Thalassiosira_pseudonana	XP_002288822.1	none	MutS_V	PF00488	904	1097	1099
Thalassiosira_pseudonana	XP_002288822.1	none	MutS_IV	PF05190	696	792	1099
Theobroma_cacao	XP_017983072.1	Tudor	Tudor	cd20404	100	150	1317
Theobroma_cacao	XP_017983072.1	Tudor	MutS_IV	PF05190	865	955	1317
Theobroma_cacao	XP_017983072.1	Tudor	MutS_V	PF00488	1060	1250	1317
Theobroma_cacao	XP_017983072.1	Tudor	Tudor	SM00333	95	154	1317
Theobroma_cacao	XP_017983072.1	Tudor	MutS_II	PF05188	478	567	1317
Theobroma_cacao	XP_017983072.1	Tudor	MutS_I	PF01624	355	468	1317
Theobroma_cacao	XP_017983072.1	Tudor	MutS_III	PF05192	681	996	1317
Trichoplax_adhaerens	RDD38147.1	PWWP	PWWP	cd05837	70	172	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	PWWP	SM00293	69	133	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	MutS_V	PF00488	1084	1278	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	PWWP	PF00855	73	163	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	MutS_I	PF01624	349	472	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	MutS_II	PF05188	487	643	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	MutS_III	PF05192	689	1016	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	MutS_IV	PF05190	884	976	1314
Vitis_vinifera	XP_002275930.1	Tudor	MutS_II	PF05188	460	622	1298
Vitis_vinifera	XP_002275930.1	Tudor	MutS_I	PF01624	335	450	1298
Vitis_vinifera	XP_002275930.1	Tudor	MutS_V	PF00488	1037	1228	1298
Vitis_vinifera	XP_002275930.1	Tudor	MutS_III	PF05192	658	973	1298
Vitis_vinifera	XP_002275930.1	Tudor	MutS_IV	PF05190	842	932	1298
Vitis_vinifera	XP_002275930.1	Tudor	Tudor	cd20404	97	147	1298
Xenopus_tropicalis	KAE8600724.1	PWWP	PWWP	PF00855	79	169	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	MutS_V	PF00488	1111	1303	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	PWWP	SM00293	76	138	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	MutS_III	PF05192	717	1042	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	MutS_IV	PF05190	910	1002	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	MutS_II	PF05188	517	677	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	PWWP	cd05837	76	179	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	MutS_I	PF01624	386	503	1339
Zea_mays	XP_020396805.1	Tudor	MutS_III	PF05192	671	984	1297
Zea_mays	XP_020396805.1	Tudor	MutS_V	PF00488	1047	1238	1297
Zea_mays	XP_020396805.1	Tudor	MutS_IV	PF05190	853	943	1297
Zea_mays	XP_020396805.1	Tudor	Tudor	SM00333	95	153	1297
Zea_mays	XP_020396805.1	Tudor	Tudor	cd20404	99	149	1297
Zea_mays	XP_020396805.1	Tudor	MutS_I	PF01624	356	471	1297
Zea_mays	XP_020396805.1	Tudor	MutS_II	PF05188	482	640	1297
Zostera_marina	KMZ67126.1	Tudor	Tudor	cd20404	61	111	1339
Zostera_marina	KMZ67126.1	Tudor	Tudor	SM00333	57	115	1339
Zostera_marina	KMZ67126.1	Tudor	MutS_I	PF01624	400	513	1339
Zostera_marina	KMZ67126.1	Tudor	MutS_V	PF00488	1082	1272	1339
Zostera_marina	KMZ67126.1	Tudor	MutS_II	PF05188	523	667	1339
Zostera_marina	KMZ67126.1	Tudor	MutS_IV	PF05190	889	978	1339
Zostera_marina	KMZ67126.1	Tudor	MutS_III	PF05192	703	1017	1339
