uniprot	embl	organism	tax_id	prot_len	gene	product	tudor_start	tudor_end	tudor_len	has_genomic_exons	n_total_exons	n_exons_in_tudor	break_from_tudor_start
A0A1J3F174	JAU37987.1	Noccaea caerulescens	107243	696			452	567	116	False	1	0	
A0A1J3FKL6	JAU43213.1	Noccaea caerulescens	107243	983			741	856	116	False	1	0	
A0A1J3GKP2	JAU54796.1	Noccaea caerulescens	107243	694			452	567	116	False	1	0	
A0A1J3GNU4	JAU56813.1	Noccaea caerulescens	107243	985			741	856	116	False	1	0	
A0A1J3HY23	JAU73143.1	Noccaea caerulescens	107243	76			1	50	50	False	1	0	
A0A1J3J299	JAU86679.1	Noccaea caerulescens	107243	1056			869	983	115	False	1	0	
A0A1J3JV99	JAU96326.1	Noccaea caerulescens	107243	696			452	567	116	False	1	0	
A0A1J3JVK5	JAU96535.1	Noccaea caerulescens	107243	983			741	856	116	False	1	0	
A0A1J4J331	OHS93830.1	Tritrichomonas foetus	1144522	830			621	729	109	False	1	0	
A0A1J4J5B5	OHS93335.1	Tritrichomonas foetus	1144522	876			714	793	80	False	1	0	
A0A1J4JDX8	OHS95460.1	Tritrichomonas foetus	1144522	833			617	722	106	False	1	0	
A0A1J4JEF5	OHS96671.1	Tritrichomonas foetus	1144522	849			687	745	59	False	1	0	
A0A1J4JGZ9	OHS96532.1	Tritrichomonas foetus	1144522	824			609	721	113	False	1	0	
A0A1J4K3E5	OHT05895.1	Tritrichomonas foetus	1144522	787			573	674	102	False	1	0	
A0A1J6IQ47	OIT07317.1	Nicotiana attenuata	49451	982			738	853	116	False	1	0	
A0A1J6J0Y6	OIT04627.1	Nicotiana attenuata	49451	980			736	851	116	False	1	0	
A0A1J7GRX2	OIV97041.1	Lupinus angustifolius	3871	1183			745	1054	310	True	19	5	56
A0A1J7JMZ3	OIW31248.1	Coniochaeta ligniaria NRRL 30616	1408157	880			642	765	124	False	1	0	
A0A1J8Q847	OJA17838.1	Rhizopogon vesiculosus	180088	1387			686	796	111	True	23	3	11
A0A1J9PSF7	OJD19353.1	Emergomyces pasteurianus Ep9510	1447872	883			650	773	124	True	2	1	
A0A1J9R4D6	OJD35090.1	Diplodia corticola	236234	880			650	772	123	True	3	1	
A0A1K0G241	SAM81373.1	Ustilago bromivora	307758	1030			784	913	130	False	1	0	
A0A1L0BKH7	SGZ51959.1	Sungouiella intermedia	45354	901			708	788	81	False	1	0	
A0A1L0D1X5	SGZ49976.1	Sungouiella intermedia	45354	901			708	788	81	False	1	0	
A0A1L7NZM8	BAW35372.1	Locusta migratoria	7004	901	LmTUDOR-SN		698	776	79	False	1	0	
A0A1L7T8I1	CVK91096.1	Fusarium mangiferae	192010	885			646	769	124	False	1	0	
A0A1L7VPL8	CZR42419.1	Fusarium proliferatum (strain ET1)	1227346	885			646	769	124	False	1	0	
A0A1L7XD11	CZR62930.1	Phialocephala subalpina	576137	981			755	875	121	True	2	1	
A0A1L8DGR0	JAV05642.1	Nyssomyia neivai	330878	916			712	793	82	False	1	0	
A0A1L8DHG7	JAV05893.1	Nyssomyia neivai	330878	1117			35	1009	975	False	1	0	
A0A1L8DLF5	JAV07299.1	Nyssomyia neivai	330878	536			270	372	103	False	1	0	
A0A1L8DLS9	JAV07300.1	Nyssomyia neivai	330878	533			270	372	103	False	1	0	
A0A1L8DN60	JAV07886.1	Nyssomyia neivai	330878	553			411	485	75	False	1	0	
A0A1L9MXY7	OJI81886.1	Aspergillus tubingensis (strain CBS 134.48)	767770	883			649	773	125	True	2	1	
A0A1L9P420	OJI96248.1	Aspergillus versicolor CBS 583.65	1036611	882			648	772	125	True	2	1	
A0A1L9S3I0	OJJ41703.1	Aspergillus wentii DTO 134E9	1073089	881			648	771	124	True	2	1	
A0A1L9SMB2	OJJ48399.1	Penicilliopsis zonata CBS 506.65	1073090	904			671	794	124	True	2	1	
A0A1L9TRZ4	OJJ62138.1	Aspergillus sydowii CBS 593.65	1036612	882			648	772	125	True	2	1	
A0A1L9ULF2	OJJ72472.1	Aspergillus brasiliensis (strain CBS 101740 / IMI 381727 / IBT 21946)	767769	883			649	773	125	True	2	1	
A0A1L9WU97	OJJ99703.1	Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)	690307	883			649	773	125	True	2	1	
A0A1M2V6E1	OJT03046.1	Trametes pubescens	154538	243			78	129	52	True	2	1	
A0A1M2VP28	OJT09282.1	Trametes pubescens	154538	903			686	795	110	True	17	3	46
A0A1M3TUG7	OJZ90459.1	Aspergillus luchuensis (strain CBS 106.47)	1137211	883			649	773	125	True	2	1	
A0A1P6BJD9	CTP81729.1	Brugia malayi	6279	570	Bma-tag-250		155	459	305	True	10	5	71
A0A1Q2YAL4	GAV26571.1	Pichia membranifaciens	4926	866			630	747	118	False	1	0	
A0A1Q3CRN3	GAV82791.1	Cephalotus follicularis	3775	990			747	862	116	True	16	2	56
A0A1Q3EVP5	JAV19381.1	Culex tarsalis	7177	448			243	361	119	False	1	0	
A0A1Q3EVV2	JAV19440.1	Culex tarsalis	7177	613			243	361	119	False	1	0	
A0A1Q3EW10	JAV19495.1	Culex tarsalis	7177	1821			2	1476	1475	False	1	0	
A0A1Q3EWK9	JAV19684.1	Culex tarsalis	7177	1991			677	1910	1234	False	1	0	
A0A1Q3EWL7	JAV19709.1	Culex tarsalis	7177	1963			649	1882	1234	False	1	0	
A0A1Q3EWU6	JAV19774.1	Culex tarsalis	7177	623			424	536	113	False	1	0	
A0A1Q3EX08	JAV19851.1	Culex tarsalis	7177	788			628	683	56	False	1	0	
A0A1Q3EX89	JAV19929.1	Culex tarsalis	7177	583			126	514	389	False	1	0	
A0A1Q3EXZ1	JAV20181.1	Culex tarsalis	7177	595			447	521	75	False	1	0	
A0A1Q3EY20	JAV20204.1	Culex tarsalis	7177	596			448	522	75	False	1	0	
A0A1Q3EZN1	JAV20763.1	Culex tarsalis	7177	1492			937	1058	122	False	1	0	
A0A1Q3F0I6	JAV21070.1	Culex tarsalis	7177	759			396	489	94	False	1	0	
A0A1Q3F148	JAV21283.1	Culex tarsalis	7177	743			380	473	94	False	1	0	
A0A1Q3F1Q3	JAV21486.1	Culex tarsalis	7177	922			714	795	82	False	1	0	
A0A1Q3F1R2	JAV21495.1	Culex tarsalis	7177	922			714	795	82	False	1	0	
A0A1Q3F2B9	JAV21679.1	Culex tarsalis	7177	636			451	566	116	False	1	0	
A0A1Q3F5P0	JAV22788.1	Culex tarsalis	7177	1848			146	1726	1581	False	1	0	
A0A1Q3F6B8	JAV23102.1	Culex tarsalis	7177	964			546	846	301	False	1	0	
A0A1Q3F6K2	JAV23182.1	Culex tarsalis	7177	1027			609	909	301	False	1	0	
A0A1Q3F7T4	JAV23616.1	Culex tarsalis	7177	1225			613	1151	539	False	1	0	
A0A1Q3FJE6	JAV27644.1	Culex tarsalis	7177	609			289	391	103	False	1	0	
A0A1Q3FVH9	JAV31620.1	Culex tarsalis	7177	618			429	540	112	False	1	0	
A0A1Q3FVI6	JAV31621.1	Culex tarsalis	7177	616			432	538	107	False	1	0	
A0A1Q3FVP7	JAV31618.1	Culex tarsalis	7177	579			426	537	112	False	1	0	
A0A1Q5THY5	OKO99832.1	Penicillium subrubescens	1316194	884			650	774	125	True	2	1	
A0A1Q8S4T1	OLN96381.1	Colletotrichum chlorophyti	708187	885			646	769	124	False	1	0	
A0A1R0H1P9	OLY83073.1	Smittium mucronatum	133383	896			657	775	119	False	1	0	
A0A1R1PQZ2	OMH83374.1	Zancudomyces culisetae	1213189	492			264	382	119	False	1	0	
A0A1R1PZA2	OMH86292.1	Zancudomyces culisetae	1213189	268			81	135	55	False	1	0	
A0A1R1X584	OMJ09806.1	Smittium culicis	133412	770			532	650	119	False	1	0	
A0A1R1XTP8	OMJ17978.1	Smittium culicis	133412	269			113	161	49	False	1	0	
A0A1R1Y3J6	OMJ21429.1	Smittium culicis	133412	268			112	158	47	False	1	0	
A0A1R1YAF6	OMJ23873.1	Smittium culicis	133412	898			660	778	119	True	2	1	
A0A1R3JIU0	OMO94776.1	Corchorus capsularis	210143	940			693	808	116	True	14	2	56
A0A1R3RJW8	OOF94763.1	Aspergillus carbonarius (strain ITEM 5010)	602072	882			648	772	125	True	2	1	
A0A1S0THD3	EFO13859.1	Loa loa	7209	158			48	131	84	True	2	2	35
A0A1S0TLX4	EFO16415.1	Loa loa	7209	546			391	491	101	True	10	3	31
A0A1S0TW69	EFO21012.2	Loa loa	7209	939			64	621	558	True	20	12	17
A0A1S0U320	EFO23599.2	Loa loa	7209	489			109	397	289	True	8	5	55
A0A1S0U8C4	EFO26779.1	Loa loa	7209	165			92	159	68	True	5	3	9
A0A1S0UGN5	EJD74528.1	Loa loa	7209	416			282	331	50	True	11	2	41
A0A1S0UHP5	EJD75222.1	Loa loa	7209	509			355	457	103	True	11	4	15
A0A1S0UI63	EJD75223.1	Loa loa	7209	483			50	161	112	True	10	4	19
A0A1S0UIG4	EJD75216.1	Loa loa	7209	555			399	499	101	True	11	2	47
A0A1S0UJ60	EJD74854.1	Loa loa	7209	637			35	559	525	True	12	11	47
A0A1S0UKD3	EJD76035.1	Loa loa	7209	1218			74	888	815	True	24	16	10
A0A1S4FIG8	EAT40131.1	Aedes aegypti	7159	527			11	137	127	True	3	1	
A0A1S4FY27	EAT34718.1	Aedes aegypti	7159	641			275	377	103	True	3	1	
A0A1S6ZGD6	AQX56728.1	Ajellomyces capsulatus	5037	69			1	55	55	False	1	0	
A0A1S6ZGD9	AQX56721.1	Ajellomyces capsulatus	5037	69			1	64	64	False	1	0	
A0A1S9DHE2	OOO08480.1	Aspergillus oryzae	5062	881			647	772	126	True	2	1	
A0A1S9RJP8	OOQ85675.1	Penicillium brasilianum	104259	883			649	773	125	True	2	1	
A0A1T3CKJ4	OPB41594.1	Trichoderma guizhouense	1491466	913			674	797	124	True	3	1	
A0A1V2LMN4	ONH74325.1	Pichia kudriavzevii	4909	860			623	741	119	False	1	0	
A0A1V4J4X0	OPJ67045.1	Patagioenas fasciata monilis	372326	786	TDRD3		646	698	53	False	1	0	
A0A1V4J5A0	OPJ67422.1	Patagioenas fasciata monilis	372326	1104	TDRD7		503	1026	524	True	17	8	10
A0A1V4J5F7	OPJ67421.1	Patagioenas fasciata monilis	372326	1103	TDRD7		503	1025	523	True	17	8	9
A0A1V4JHB6	OPJ71576.1	Patagioenas fasciata monilis	372326	533	TDRKH		299	383	85	True	12	2	55
A0A1V4JNB5	OPJ73671.1	Patagioenas fasciata monilis	372326	2313	TDRD6		6	1687	1682	False	1	0	
A0A1V4JPG0	OPJ73627.1	Patagioenas fasciata monilis	372326	1787	TDRD15		32	1695	1664	False	1	0	
A0A1V4JXJ7	OPJ76854.1	Patagioenas fasciata monilis	372326	738	TDRD5		311	426	116	True	12	3	30
A0A1V4JXK6	OPJ76853.1	Patagioenas fasciata monilis	372326	606	TDRD5		311	426	116	True	11	3	30
A0A1V4K0K7	OPJ77966.1	Patagioenas fasciata monilis	372326	1167	TDRD12		1	878	878	True	27	20	27
A0A1V4K3J6	OPJ78447.1	Patagioenas fasciata monilis	372326	975	AKAP1		831	907	77	True	12	3	5
A0A1V4KAC6	OPJ81416.1	Patagioenas fasciata monilis	372326	1210	TDRD9		741	841	101	True	34	3	5
A0A1V4KAK4	OPJ81415.1	Patagioenas fasciata monilis	372326	1265	TDRD9		796	896	101	True	35	4	5
A0A1V4KBB9	OPJ81167.1	Patagioenas fasciata monilis	372326	1638	RNF17		464	1596	1133	True	38	28	31
A0A1V4KC44	OPJ81943.1	Patagioenas fasciata monilis	372326	1062	STK31		82	156	75	True	28	3	22
A0A1V4KIJ8	OPJ84183.1	Patagioenas fasciata monilis	372326	1177	TDRD1		280	1058	779	True	26	17	54
A0A1V6P3K1	OQD71534.1	Penicillium polonicum	60169	887			653	777	125	True	2	1	
A0A1V6PC32	OQD74287.1	Penicillium decumbens	69771	883			649	773	125	True	2	1	
A0A1V6QFQ5	OQD88050.1	Penicillium antarcticum	416450	886			652	776	125	True	2	1	
A0A1V6RK55	OQE02221.1	Penicillium vulpinum	29845	886			652	776	125	True	2	1	
A0A1V6SSK2	OQE16996.1	Penicillium steckii	303698	885			651	775	125	True	2	1	
A0A1V6TEV5	OQE24882.1	Penicillium flavigenum	254877	887			653	777	125	True	2	1	
A0A1V6UNK2	OQE39994.1	Penicillium coprophilum	36646	887			653	777	125	True	2	1	
A0A1V6YZ15	CAG8087790.1	Penicillium nalgiovense	60175	887			653	777	125	True	2	1	
A0A1V8SAK9	OQN95911.1	Cryoendolithus antarcticus	1507870	898			663	787	125	False	1	0	
A0A1V8SHH5	OQN98598.1	Cryoendolithus antarcticus	1507870	898			677	792	116	False	1	0	
A0A1V9X157	OQR67234.1	Tropilaelaps mercedesae	418985	1150			622	738	117	True	6	2	37
A0A1V9X4N5	OQR68331.1	Tropilaelaps mercedesae	418985	673			484	558	75	True	5	1	
A0A1V9X609	OQR68937.1	Tropilaelaps mercedesae	418985	1430			207	1369	1163	True	5	5	66
A0A1V9X6G8	OQR68996.1	Tropilaelaps mercedesae	418985	182			41	75	35	True	2	1	
A0A1V9X869	OQR69606.1	Tropilaelaps mercedesae	418985	303			27	125	99	True	3	3	29
A0A1V9X9E4	OQR70164.1	Tropilaelaps mercedesae	418985	480			341	395	55	True	7	1	
A0A1V9XB02	OQR70538.1	Tropilaelaps mercedesae	418985	783			524	642	119	True	8	2	41
A0A1V9XBK0	OQR70897.1	Tropilaelaps mercedesae	418985	602			35	542	508	True	10	10	26
A0A1V9XCI0	OQR71275.1	Tropilaelaps mercedesae	418985	221			73	160	88	True	3	2	37
A0A1V9XMA5	OQR74616.1	Tropilaelaps mercedesae	418985	1189			450	758	309	True	10	4	176
A0A1V9XVH9	OQR77500.1	Tropilaelaps mercedesae	418985	760			622	673	52	True	8	2	43
A0A1V9XXL8	OQR78220.1	Tropilaelaps mercedesae	418985	925			712	821	110	True	6	1	
A0A1V9Y125	OQR79467.1	Tropilaelaps mercedesae	418985	466			278	393	116	True	2	1	
A0A1V9Y1C9	OQR79502.1	Tropilaelaps mercedesae	418985	611			292	388	97	True	7	1	
A0A1V9Y2B3	OQR79884.1	Tropilaelaps mercedesae	418985	469			341	405	65	True	10	2	29
A0A1V9YC11	OQR83254.1	Achlya hypogyna	1202772	885			663	775	113	True	3	1	
A0A1W0A2V7	OQS04612.1	Thraustotheca clavata	74557	886			665	777	113	True	3	1	
A0A1W0WFI1	OQV13949.1	Hypsibius exemplaris	2072580	836			499	763	265	True	14	7	25
A0A1W0WG05	OQV14140.1	Hypsibius exemplaris	2072580	962			415	908	494	True	13	6	19
A0A1W0WG21	OQV14139.1	Hypsibius exemplaris	2072580	954			415	900	486	True	13	6	19
A0A1W0WPT6	OQV17226.1	Hypsibius exemplaris	2072580	535			104	216	113	True	6	3	50
A0A1W0WQN3	OQV17515.1	Hypsibius exemplaris	2072580	652			462	582	121	True	6	2	54
A0A1W0X0B9	OQV20911.1	Hypsibius exemplaris	2072580	716			246	568	323	True	10	5	48
A0A1W0X0D9	OQV20931.1	Hypsibius exemplaris	2072580	1098			578	1034	457	True	18	10	65
A0A1W0X0U1	OQV20912.1	Hypsibius exemplaris	2072580	609			244	501	258	True	10	4	31
A0A1W0X289	OQV21599.1	Hypsibius exemplaris	2072580	615			236	555	320	True	10	5	52
A0A1W0X4T3	OQV22458.1	Hypsibius exemplaris	2072580	490			250	362	113	True	5	3	19
A0A1W2TIR8	GAP88073.1	Rosellinia necatrix	77044	884			645	768	124	False	1	0	
A0A1W5RU41	AQX83048.1	Oopsacas minuta	111878	1274			3	1273	1271	False	1	0	
A0A1W5RUX7	AQX83051.1	Oopsacas minuta	111878	1055			560	682	123	False	1	0	
A0A1W5RVV7	AQX83052.1	Oopsacas minuta	111878	1293			734	848	115	False	1	0	
A0A1W5RWT6	AQX83049.1	Oopsacas minuta	111878	632			23	578	556	False	1	0	
A0A1W5RZ32	AQX83050.1	Oopsacas minuta	111878	544			477	525	49	False	1	0	
A0A1W7R9I0	JAV47799.1	Hadrurus spadix	141984	899			694	774	81	False	1	0	
A0A1W7RFS5	JAV49986.1	Agkistrodon contortrix contortrix	8713	866			721	797	77	False	1	0	
A0A1X0NW15	ORC88399.1	Trypanosoma theileri	67003	918			688	810	123	False	1	0	
A0A1X0R446	ORE06810.1	Rhizopus microsporus var. microsporus	86635	882			649	765	117	True	4	1	
A0A1X2GBJ9	ORX49885.1	Hesseltinella vesiculosa	101127	896			666	785	120	True	11	2	90
A0A1X2HAJ0	ORY95214.1	Syncephalastrum racemosum	13706	894			663	781	119	True	12	2	89
A0A1X2IQX0	ORZ19881.1	Absidia repens	90262	902			672	789	118	True	13	3	51
A0A1X6NDT6	OSX66533.1	Postia placenta MAD-698-R-SB12	670580	902			685	791	107	True	18	3	8
A0A1X6PJI4	OSX81032.1	Porphyra umbilicalis	2786	981			725	776	52	True	2	1	
A0A1Y1ILB3	GAQ90229.1	Klebsormidium nitens	105231	991			752	868	117	True	17	3	12
A0A1Y1JFU1	GAW81130.1	Plasmodium gonderi	77519	1136			914	1029	116	True	2	1	
A0A1Y1JV41	JAV53179.1	Photinus pyralis	7054	758			10	571	562	False	1	0	
A0A1Y1JZG5	JAV53180.1	Photinus pyralis	7054	121			57	121	65	False	1	0	
A0A1Y1K0F8	JAV53175.1	Photinus pyralis	7054	2231			10	1911	1902	False	1	0	
A0A1Y1K1L9	JAV55343.1	Photinus pyralis	7054	456			267	366	100	False	1	0	
A0A1Y1K2T8	JAV53177.1	Photinus pyralis	7054	2227			10	1911	1902	False	1	0	
A0A1Y1KCS0	JAV59259.1	Photinus pyralis	7054	1362			427	1306	880	False	1	0	
A0A1Y1KM52	JAV62469.1	Photinus pyralis	7054	747			235	669	435	False	1	0	
A0A1Y1KQ45	JAV63537.1	Photinus pyralis	7054	595			443	518	76	False	1	0	
A0A1Y1KQB0	JAV62611.1	Photinus pyralis	7054	155			14	118	105	False	1	0	
A0A1Y1L4A2	JAV66406.1	Photinus pyralis	7054	345			106	229	124	False	1	0	
A0A1Y1LFW0	JAV72552.1	Photinus pyralis	7054	408			38	338	301	False	1	0	
A0A1Y1LIJ2	JAV73433.1	Photinus pyralis	7054	748			1	104	104	False	1	0	
A0A1Y1LIK3	JAV73431.1	Photinus pyralis	7054	1269			1	1255	1255	False	1	0	
A0A1Y1LKK3	JAV73439.1	Photinus pyralis	7054	1379			1	1261	1261	False	1	0	
A0A1Y1LM69	JAV73449.1	Photinus pyralis	7054	623			140	505	366	False	1	0	
A0A1Y1LNC7	JAV73435.1	Photinus pyralis	7054	513			140	499	360	False	1	0	
A0A1Y1LPA8	JAV73436.1	Photinus pyralis	7054	1593			1	1261	1261	False	1	0	
A0A1Y1LPB6	JAV73446.1	Photinus pyralis	7054	1492			1	1261	1261	False	1	0	
A0A1Y1LPC5	JAV73456.1	Photinus pyralis	7054	736			140	505	366	False	1	0	
A0A1Y1LV48	JAV77482.1	Photinus pyralis	7054	1781			526	1724	1199	False	1	0	
A0A1Y1LV58	JAV77483.1	Photinus pyralis	7054	1774			519	1717	1199	False	1	0	
A0A1Y1M8W0	JAV82229.1	Photinus pyralis	7054	1141			524	1066	543	False	1	0	
A0A1Y1MQ90	JAV87864.1	Photinus pyralis	7054	815			36	152	117	False	1	0	
A0A1Y1MQC6	JAV87862.1	Photinus pyralis	7054	1106			327	443	117	False	1	0	
A0A1Y1MQC8	JAV87863.1	Photinus pyralis	7054	620			384	500	117	False	1	0	
A0A1Y1MTS1	JAV87865.1	Photinus pyralis	7054	563			327	443	117	False	1	0	
A0A1Y1MV51	JAV87866.1	Photinus pyralis	7054	1163			384	500	117	False	1	0	
A0A1Y1N3R1	JAV92522.1	Photinus pyralis	7054	725			185	305	121	False	1	0	
A0A1Y1N6G7	JAV92520.1	Photinus pyralis	7054	1451			911	1031	121	False	1	0	
A0A1Y1NAS3	JAV95011.1	Photinus pyralis	7054	898			695	776	82	False	1	0	
A0A1Y1UP65	ORX39823.1	Kockovaella imperatae	4999	954			736	846	111	True	27	3	8
A0A1Y1VKP5	ORX57686.1	Piromyces finnis	1754191	250			87	135	49	False	1	0	
A0A1Y1XLQ8	ORX86672.1	Anaeromyces robustus	1754192	917			690	776	87	True	7	1	
A0A1Y1Z271	ORY04194.1	Clohesyomyces aquaticus	1231657	888			651	774	124	True	2	1	
A0A1Y1ZVS7	ORY13875.1	Neocallimastix californiae	1754190	918			692	776	85	True	7	1	
A0A1Y2BG31	ORY33774.1	Naematelia encephala	71784	952			734	846	113	True	26	3	8
A0A1Y2CSK1	ORY49982.1	Rhizoclosmatium globosum	329046	864			650	754	105	True	10	2	75
A0A1Y2E8S2	ORY67686.1	Pseudomassariella vexata	1141098	885			644	767	124	False	1	0	
A0A1Y2FYZ1	ORY89326.1	Leucosporidium creatinivorum	106004	909			691	799	109	True	12	3	47
A0A1Y2H208	ORZ27082.1	Lobosporangium transversale	64571	877			642	760	119	True	11	2	89
A0A1Y2HQ27	ORZ36054.1	Catenaria anguillulae PL171	765915	931			715	788	74	False	1	0	
A0A1Y2ITT1	OSD03611.1	Trametes coccinea (strain BRFM310)	1353009	246			82	133	52	True	2	1	
A0A1Y2IUS5	OSD03961.1	Trametes coccinea (strain BRFM310)	1353009	904			686	793	108	True	17	3	47
A0A1Y2M0Z5	OSS49127.1	Epicoccum nigrum	105696	885			652	774	123	True	2	1	
A0A1Y3AWF3	OTF72831.1	Euroglyphus maynei	6958	126			46	122	77	False	1	0	
A0A1Y3B4N5	OTF75781.1	Euroglyphus maynei	6958	228			35	146	112	True	2	2	48
A0A1Y3B4N7	OTF75769.1	Euroglyphus maynei	6958	180			6	115	110	True	2	2	60
A0A1Y3BDN8	OTF78972.1	Euroglyphus maynei	6958	387			180	303	124	False	1	0	
A0A1Y3BGB4	OTF79207.1	Euroglyphus maynei	6958	285			73	156	84	True	2	1	
A0A1Y3BS22	OTF83809.1	Euroglyphus maynei	6958	118			16	115	100	True	2	2	2
A0A1Y3DK43	OTN64992.1	Plasmodium knowlesi	5850	1067			846	960	115	True	2	1	
A0A1Y3EC07	OUC42210.1	Trichinella nativa	6335	258			42	160	119	False	1	0	
A0A1Y3EF49	OUC43754.1	Trichinella nativa	6335	577			453	532	80	True	13	1	
A0A1Y3EGR8	OUC43016.1	Trichinella nativa	6335	101			5	71	67	True	2	2	8
A0A1Y3EPY1	OUC46810.1	Trichinella nativa	6335	159			40	154	115	False	1	0	
A0A1Y3EUR7	OUC47547.1	Trichinella nativa	6335	197			2	90	89	True	3	2	57
A0A1Y3EVS6	OUC47168.1	Trichinella nativa	6335	258			42	160	119	False	1	0	
A0A1Y3EWK0	OUC49501.1	Trichinella nativa	6335	1224			737	818	82	True	22	2	64
A0A1Y3EYG5	OUC50035.1	Trichinella nativa	6335	420			73	375	303	True	12	8	30
A0A1Z5JH21	GAX13294.1	Fistulifera solaris	1519565	946			708	828	121	True	2	1	
A0A1Z5KM39	GAX27383.1	Fistulifera solaris	1519565	946			711	828	118	True	2	1	
A0A1Z5KV80	JAV98730.1	Ornithodoros moubata	6938	536			393	468	76	False	1	0	
A0A1Z5L152	JAW01035.1	Ornithodoros moubata	6938	805			386	508	123	False	1	0	
A0A1Z5L6B2	JAW02541.1	Ornithodoros moubata	6938	1331			905	1005	101	False	1	0	
A0A1Z5L758	JAW02831.1	Ornithodoros moubata	6938	450			270	369	100	False	1	0	
A0A1Z5L8E6	JAW03294.1	Ornithodoros moubata	6938	291			250	288	39	False	1	0	
A0A1Z5LBN1	JAW04806.1	Ornithodoros moubata	6938	637			2	286	285	False	1	0	
A0A1Z5LEE3	JAW05782.1	Ornithodoros moubata	6938	394			126	221	96	False	1	0	
A0A1Z5LEG9	JAW05755.1	Ornithodoros moubata	6938	349			92	193	102	False	1	0	
A0A1Z5LG21	JAW06240.1	Ornithodoros moubata	6938	1046			627	749	123	False	1	0	
A0A1Z5LGF5	JAW06390.1	Ornithodoros moubata	6938	908			704	782	79	False	1	0	
A0A1Z5LHB5	JAW06817.1	Ornithodoros moubata	6938	399			126	229	104	False	1	0	
A0A1Z5SL89	OTA17749.1	Hortaea werneckii EXF-2000	1157616	304			109	163	55	False	1	0	
A0A1Z5T3R3	OTA30674.1	Hortaea werneckii EXF-2000	1157616	886			665	779	115	False	1	0	
A0A1Z5T981	OTA32585.1	Hortaea werneckii EXF-2000	1157616	886			665	779	115	False	1	0	
A0A1Z8JJK3	OUT20755.1	Pichia kudriavzevii	4909	840			603	721	119	True	2	2	12
A0A200QH40	OVA09731.1	Macleaya cordata	56857	988			744	859	116	True	16	3	27
A0A200R3M7	OVA17327.1	Macleaya cordata	56857	998			754	869	116	True	16	2	56
A0A210PGL2	OWF35619.1	Mizuhopecten yessoensis	6573	2026			7	1426	1420	True	49	39	46
A0A210PIR7	OWF36372.1	Mizuhopecten yessoensis	6573	462			295	383	89	True	10	2	25
A0A210PZP4	OWF41971.1	Mizuhopecten yessoensis	6573	1516			462	1423	962	True	18	11	27
A0A210PZZ8	OWF42057.1	Mizuhopecten yessoensis	6573	1812			489	1625	1137	True	43	26	48
A0A210Q545	OWF43857.1	Mizuhopecten yessoensis	6573	1275			14	131	118	True	18	3	15
A0A210QQE9	OWF50918.1	Mizuhopecten yessoensis	6573	787			220	334	115	True	12	4	6
A0A210QZ16	OWF53967.1	Mizuhopecten yessoensis	6573	830			718	805	88	True	16	3	10
A0A210R536	OWF56024.1	Mizuhopecten yessoensis	6573	1692			577	1565	989	True	30	15	3
A0A212C3S3	OWK00658.1	Cervus elaphus hippelaphus	46360	310			254	306	53	False	1	0	
A0A212C4A4	OWK00828.1	Cervus elaphus hippelaphus	46360	510			6	510	505	False	1	0	
A0A212C4K4	OWK00931.1	Cervus elaphus hippelaphus	46360	322			1	280	280	False	1	0	
A0A212CFS4	OWK04886.1	Cervus elaphus hippelaphus	46360	158			11	149	139	False	1	0	
A0A212CH02	OWK05316.1	Cervus elaphus hippelaphus	46360	569			337	429	93	True	13	3	20
A0A212CJK1	OWK06226.1	Cervus elaphus hippelaphus	46360	869			43	92	50	False	1	0	
A0A212CNH4	OWK07588.1	Cervus elaphus hippelaphus	46360	389			106	388	283	True	9	5	60
A0A212CS17	OWK08644.1	Cervus elaphus hippelaphus	46360	653			149	242	94	True	11	3	20
A0A212D4M1	OWK13054.1	Cervus elaphus hippelaphus	46360	2035			2	1602	1601	True	4	1	
A0A212D8R8	OWK14647.1	Cervus elaphus hippelaphus	46360	454			398	454	57	True	7	2	5
A0A212EIJ5	OWR41298.1	Danaus plexippus plexippus	278856	597			451	526	76	True	7	1	
A0A212EJZ4	OWR41796.1	Danaus plexippus plexippus	278856	906			362	475	114	True	10	2	106
A0A212EKB0	OWR41929.1	Danaus plexippus plexippus	278856	1997			1659	1943	285	True	25	8	89
A0A212EKF6	OWR41964.1	Danaus plexippus plexippus	278856	473			94	205	112	True	5	1	
A0A212EN64	OWR42923.1	Danaus plexippus plexippus	278856	342			3	102	100	True	5	1	
A0A212EPH0	OWR43388.1	Danaus plexippus plexippus	278856	692			200	612	413	True	16	11	21
A0A212EQG9	OWR43736.1	Danaus plexippus plexippus	278856	487			28	166	139	True	2	1	
A0A212EQK0	OWR43749.1	Danaus plexippus plexippus	278856	895			691	771	81	True	10	2	67
A0A212F0W4	OWR47341.1	Danaus plexippus plexippus	278856	1732			1003	1365	363	True	3	1	
A0A212F726	OWR49546.1	Danaus plexippus plexippus	278856	1453			907	1001	95	True	27	3	1
A0A212FBP6	OWR51137.1	Danaus plexippus plexippus	278856	1714			461	1651	1191	True	22	12	45
A0A212FFX2	OWR52635.1	Danaus plexippus plexippus	278856	569			241	343	103	True	12	4	26
A0A212FIX7	OWR53698.1	Danaus plexippus plexippus	278856	1085			451	1007	557	True	19	11	77
